»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/4/2018 - 11:32:51
Configured:	06/03/18 07:31:29 PM
Executed:	06/04/18 11:32:19 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	6.20e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	2.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	70.00
Field:	7000.00 (kV/cm)
Hysteresis Period (ms):	4.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	801

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
 102	5.1000e-002	6910.652161	5.281710
 103	5.1500e-002	6843.681335	5.276954
 104	5.2000e-002	6773.666382	5.253175
 105	5.2500e-002	6709.899902	5.231434
 106	5.3000e-002	6634.757996	5.205617
 107	5.3500e-002	6570.510864	5.167570
 108	5.4000e-002	6500.656128	5.144470
 109	5.4500e-002	6431.442261	5.128844
 110	5.5000e-002	6362.068176	5.097591
 111	5.5500e-002	6291.572571	5.060903
 112	5.6000e-002	6222.038269	5.043918
 113	5.6500e-002	6149.459839	5.014703
 114	5.7000e-002	6081.047058	4.964427
 115	5.7500e-002	6012.313843	4.948121
 116	5.8000e-002	5942.459106	4.894448
 117	5.8500e-002	5874.206543	4.859799
 118	5.9000e-002	5805.633545	4.836699
 119	5.9500e-002	5734.016418	4.801370
 120	6.0000e-002	5665.924072	4.759246
 121	6.0500e-002	5603.759766	4.743620
 122	6.1000e-002	5525.733948	4.687229
 123	6.1500e-002	5454.116821	4.649182
 124	6.2000e-002	5382.019043	4.629480
 125	6.2500e-002	5314.407349	4.600944
 126	6.3000e-002	5245.513916	4.550668
 127	6.3500e-002	5176.780701	4.503789
 128	6.4000e-002	5107.406616	4.475254
 129	6.4500e-002	5041.877747	4.444001
 130	6.5000e-002	4970.420837	4.384214
 131	6.5500e-002	4895.759583	4.364511
 132	6.6000e-002	4827.507019	4.320349
 133	6.6500e-002	4760.215759	4.296570
 134	6.7000e-002	4686.355591	4.266676
 135	6.7500e-002	4616.821289	4.202133
 136	6.8000e-002	4550.170898	4.171559
 137	6.8500e-002	4480.636597	4.125360
 138	6.9000e-002	4411.262512	4.078480
 139	6.9500e-002	4343.330383	4.046548
 140	7.0000e-002	4269.470215	4.016654
 141	7.0500e-002	4204.261780	3.974531
 142	7.1000e-002	4131.843567	3.927652
 143	7.1500e-002	4060.386658	3.897079
 144	7.2000e-002	3991.333008	3.846123
 145	7.2500e-002	3921.157837	3.800603
 146	7.3000e-002	3848.739624	3.778183
 147	7.3500e-002	3780.967712	3.717715
 148	7.4000e-002	3713.516235	3.679668
 149	7.4500e-002	3645.423889	3.645698
 150	7.5000e-002	3574.768066	3.587269
 151	7.5500e-002	3506.034851	3.549222
 152	7.6000e-002	3433.135986	3.507779
 153	7.6500e-002	3366.325378	3.453426
 154	7.7000e-002	3292.785645	3.418776
 155	7.7500e-002	3221.649170	3.377332
 156	7.8000e-002	3154.518127	3.318224
 157	7.8500e-002	3087.547302	3.271345
 158	7.9000e-002	3014.968872	3.239413
 159	7.9500e-002	2949.119568	3.190495
 160	8.0000e-002	2876.541138	3.147693
 161	8.0500e-002	2807.167053	3.101493
 162	8.1000e-002	2737.472534	3.043064
 163	8.1500e-002	2665.054321	3.007735
 164	8.2000e-002	2594.238281	2.943191
 165	8.2500e-002	2524.063110	2.892236
 166	8.3000e-002	2457.252502	2.839242
 167	8.3500e-002	2388.038635	2.793722
 168	8.4000e-002	2318.183899	2.740728
 169	8.4500e-002	2253.295898	2.688414
 170	8.5000e-002	2178.634644	2.649687
 171	8.5500e-002	2107.978821	2.589900
 172	8.6000e-002	2040.527344	2.534868
 173	8.6500e-002	1965.866089	2.488668
 174	8.7000e-002	1895.690918	2.417330
 175	8.7500e-002	1829.521179	2.361619
 176	8.8000e-002	1757.263184	2.292319
 177	8.8500e-002	1693.496704	2.230493
 178	8.9000e-002	1623.321533	2.176141
 179	8.9500e-002	1548.980713	2.117032
 180	9.0000e-002	1481.208801	2.033465
 181	9.0500e-002	1414.237976	1.958730
 182	9.1000e-002	1337.814331	1.911172
 183	9.1500e-002	1272.605896	1.837796
 184	9.2000e-002	1200.187683	1.771214
 185	9.2500e-002	1132.736206	1.698518
 186	9.3000e-002	1059.356689	1.661150
 187	9.3500e-002	996.231079	1.541575
 188	9.4000e-002	922.531128	1.466160
 189	9.4500e-002	855.560303	1.391426
 190	9.5000e-002	785.385132	1.308538
 191	9.5500e-002	713.607788	1.234483
 192	9.6000e-002	643.432617	1.138686
 193	9.6500e-002	571.975708	1.080257
 194	9.7000e-002	501.960754	0.974270
 195	9.7500e-002	428.100586	0.884588
 196	9.8000e-002	365.615845	0.776562
 197	9.8500e-002	292.556763	0.724248
 198	9.9000e-002	224.464417	0.622337
 199	9.9500e-002	156.372070	0.544205
 200	1.0000e-001	83.152771	0.457241
 201	1.0050e-001	19.226074	0.368239
 202	1.0100e-001	-53.031921	0.288748
 203	1.0150e-001	-126.731873	0.233716
 204	1.0200e-001	-195.144653	0.150149
 205	1.0250e-001	-264.198303	0.092399
 206	1.0300e-001	-334.854126	0.016985
 207	1.0350e-001	-399.581909	-0.059108
 208	1.0400e-001	-471.839905	-0.122293
 209	1.0450e-001	-539.291382	-0.171890
 210	1.0500e-001	-611.709595	-0.204502
 211	1.0550e-001	-679.962158	-0.257495
 212	1.0600e-001	-752.380371	-0.305733
 213	1.0650e-001	-819.671631	-0.358727
 214	1.0700e-001	-891.128540	-0.404927
 215	1.0750e-001	-960.983276	-0.444332
 216	1.0800e-001	-1032.760620	-0.487814
 217	1.0850e-001	-1100.692749	-0.527220
 218	1.0900e-001	-1170.066833	-0.561870
 219	1.0950e-001	-1234.313965	-0.605352
 220	1.1000e-001	-1307.853699	-0.640001
 221	1.1050e-001	-1377.227783	-0.680766
 222	1.1100e-001	-1448.524475	-0.720171
 223	1.1150e-001	-1516.777039	-0.749386
 224	1.1200e-001	-1588.073730	-0.791509
 225	1.1250e-001	-1657.127380	-0.823441
 226	1.1300e-001	-1730.667114	-0.865565
 227	1.1350e-001	-1798.599243	-0.905650
 228	1.1400e-001	-1867.973328	-0.946414
 229	1.1450e-001	-1933.502197	-0.980384
 230	1.1500e-001	-2005.599976	-1.007561
 231	1.1550e-001	-2072.731018	-1.055799
 232	1.1600e-001	-2144.828796	-1.085013
 233	1.1650e-001	-2209.236145	-1.111510
 234	1.1700e-001	-2283.416748	-1.157030
 235	1.1750e-001	-2353.591919	-1.191001
 236	1.1800e-001	-2425.369263	-1.227689
 237	1.1850e-001	-2497.467041	-1.271171
 238	1.1900e-001	-2565.719604	-1.311256
 239	1.1950e-001	-2635.734558	-1.340470
 240	1.2000e-001	-2703.025818	-1.389387
 241	1.2050e-001	-2771.598816	-1.405693
 242	1.2100e-001	-2840.812683	-1.449855
 243	1.2150e-001	-2911.148071	-1.495375
 244	1.2200e-001	-2982.765198	-1.516436
 245	1.2250e-001	-3050.056458	-1.555842
 246	1.2300e-001	-3122.314453	-1.598645
 247	1.2350e-001	-3191.528320	-1.625821
 248	1.2400e-001	-3262.825012	-1.658433
 249	1.2450e-001	-3330.116272	-1.691044
 250	1.2500e-001	-3400.772095	-1.733167
 251	1.2550e-001	-3469.985962	-1.768497
 252	1.2600e-001	-3540.321350	-1.824208
 253	1.2650e-001	-3608.734131	-1.852064
 254	1.2700e-001	-3679.069519	-1.876522
 255	1.2750e-001	-3747.802734	-1.933592
 256	1.2800e-001	-3829.353333	-1.972319
 257	1.2850e-001	-3887.191772	-1.987945
 258	1.2900e-001	-3959.129333	-2.042298
 259	1.2950e-001	-4032.188416	-2.061321
 260	1.3000e-001	-4098.197937	-2.115674
 261	1.3050e-001	-4166.770935	-2.140812
 262	1.3100e-001	-4235.984802	-2.186332
 263	1.3150e-001	-4305.038452	-2.211470
 264	1.3200e-001	-4374.572754	-2.268540
 265	1.3250e-001	-4444.747925	-2.311343
 266	1.3300e-001	-4512.680054	-2.337160
 267	1.3350e-001	-4586.700439	-2.404421
 268	1.3400e-001	-4656.715393	-2.451301
 269	1.3450e-001	-4728.973389	-2.470324
 270	1.3500e-001	-4793.380737	-2.545059
 271	1.3550e-001	-4865.318298	-2.594655
 272	1.3600e-001	-4935.493469	-2.644932
 273	1.3650e-001	-5002.464294	-2.713552
 274	1.3700e-001	-5071.998596	-2.739369
 275	1.3750e-001	-5143.295288	-2.782851
 276	1.3800e-001	-5215.553284	-2.842639
 277	1.3850e-001	-5282.043457	-2.922130
 278	1.3900e-001	-5355.102539	-2.976482
 279	1.3950e-001	-5422.233582	-3.045782
 280	1.4000e-001	-5495.452881	-3.118478
 281	1.4050e-001	-5562.744141	-3.185060
 282	1.4100e-001	-5632.598877	-3.270665
 283	1.4150e-001	-5698.287964	-3.363744
 284	1.4200e-001	-5769.584656	-3.455464
 285	1.4250e-001	-5837.837219	-3.577078
 286	1.4300e-001	-5909.133911	-3.668798
 287	1.4350e-001	-5978.668213	-3.780221
 288	1.4400e-001	-6047.401428	-3.900476
 289	1.4450e-001	-6118.537903	-4.019372
 290	1.4500e-001	-6190.635681	-4.117207
 291	1.4550e-001	-6262.893677	-4.255126
 292	1.4600e-001	-6333.068848	-4.386931
 293	1.4650e-001	-6398.277283	-4.476613
 294	1.4700e-001	-6467.170715	-4.601624
 295	1.4750e-001	-6537.185669	-4.713726
 296	1.4800e-001	-6607.040405	-4.829225
 297	1.4850e-001	-6674.171448	-4.912792
 298	1.4900e-001	-6745.147705	-5.043238
 299	1.4950e-001	-6816.284180	-5.115256
 300	1.5000e-001	-6885.337830	-5.232793
 301	1.5050e-001	-6957.595825	-5.319757
 302	1.5100e-001	-6908.889771	-5.327231
 303	1.5150e-001	-6836.151123	-5.330628
 304	1.5200e-001	-6765.174866	-5.312963
 305	1.5250e-001	-6692.916870	-5.289184
 306	1.5300e-001	-6627.868652	-5.272878
 307	1.5350e-001	-6559.455872	-5.253175
 308	1.5400e-001	-6479.187012	-5.211731
 309	1.5450e-001	-6418.624878	-5.190670
 310	1.5500e-001	-6351.333618	-5.160776
 311	1.5550e-001	-6282.760620	-5.122729
 312	1.5600e-001	-6211.944580	-5.084003
 313	1.5650e-001	-6141.769409	-5.050032
 314	1.5700e-001	-6073.837280	-5.024894
 315	1.5750e-001	-6000.617981	-4.999756
 316	1.5800e-001	-5931.884766	-4.963748
 317	1.5850e-001	-5861.389160	-4.913472
 318	1.5900e-001	-5791.694641	-4.879501
 319	1.5950e-001	-5723.121643	-4.853684
 320	1.6000e-001	-5652.145386	-4.811561
 321	1.6050e-001	-5584.213257	-4.779628
 322	1.6100e-001	-5515.319824	-4.754490
 323	1.6150e-001	-5444.664001	-4.706932
 324	1.6200e-001	-5378.974915	-4.677717
 325	1.6250e-001	-5305.595398	-4.641029
 326	1.6300e-001	-5234.779358	-4.596868
 327	1.6350e-001	-5164.604187	-4.565615
 328	1.6400e-001	-5096.031189	-4.530966
 329	1.6450e-001	-5024.734497	-4.492239
 330	1.6500e-001	-4955.200195	-4.452834
 331	1.6550e-001	-4886.146545	-4.407313
 332	1.6600e-001	-4820.777893	-4.374702
 333	1.6650e-001	-4750.282288	-4.337335
 334	1.6700e-001	-4683.631897	-4.299288
 335	1.6750e-001	-4608.009338	-4.252409
 336	1.6800e-001	-4541.519165	-4.223874
 337	1.6850e-001	-4466.857910	-4.187186
 338	1.6900e-001	-4403.091431	-4.146421
 339	1.6950e-001	-4329.391479	-4.090030
 340	1.7000e-001	-4257.293701	-4.047907
 341	1.7050e-001	-4189.521790	-4.026166
 342	1.7100e-001	-4119.667053	-3.979966
 343	1.7150e-001	-4050.773621	-3.941920
 344	1.7200e-001	-3981.719971	-3.897758
 345	1.7250e-001	-3917.312622	-3.845444
 346	1.7300e-001	-3845.695496	-3.818947
 347	1.7350e-001	-3774.238586	-3.770030
 348	1.7400e-001	-3702.461243	-3.725868
 349	1.7450e-001	-3630.844116	-3.687821
 350	1.7500e-001	-3562.911987	-3.629392
 351	1.7550e-001	-3490.493774	-3.594063
 352	1.7600e-001	-3422.882080	-3.546505
 353	1.7650e-001	-3352.546692	-3.481282
 354	1.7700e-001	-3284.774780	-3.450029
 355	1.7750e-001	-3216.041565	-3.410623
 356	1.7800e-001	-3148.269653	-3.356950
 357	1.7850e-001	-3074.249268	-3.309392
 358	1.7900e-001	-3005.996704	-3.255719
 359	1.7950e-001	-2934.539795	-3.214275
 360	1.8000e-001	-2862.762451	-3.170793
 361	1.8050e-001	-2788.902283	-3.116440
 362	1.8100e-001	-2726.257324	-3.068202
 363	1.8150e-001	-2656.402588	-3.028117
 364	1.8200e-001	-2589.431763	-2.979879
 365	1.8250e-001	-2520.057678	-2.907862
 366	1.8300e-001	-2449.722290	-2.860983
 367	1.8350e-001	-2382.110596	-2.799836
 368	1.8400e-001	-2302.963257	-2.761110
 369	1.8450e-001	-2234.870911	-2.702002
 370	1.8500e-001	-2169.342041	-2.652405
 371	1.8550e-001	-2099.006653	-2.593976
 372	1.8600e-001	-2027.709961	-2.549815
 373	1.8650e-001	-1958.175659	-2.471003
 374	1.8700e-001	-1890.403748	-2.405780
 375	1.8750e-001	-1822.311401	-2.361619
 376	1.8800e-001	-1753.097534	-2.288922
 377	1.8850e-001	-1681.640625	-2.223699
 378	1.8900e-001	-1612.747192	-2.170705
 379	1.8950e-001	-1542.251587	-2.110238
 380	1.9000e-001	-1470.314026	-2.034824
 381	1.9050e-001	-1400.459290	-1.981830
 382	1.9100e-001	-1326.438904	-1.903699
 383	1.9150e-001	-1263.153076	-1.829643
 384	1.9200e-001	-1191.696167	-1.754908
 385	1.9250e-001	-1122.642517	-1.688326
 386	1.9300e-001	-1054.550171	-1.617668
 387	1.9350e-001	-985.015869	-1.536139
 388	1.9400e-001	-917.243958	-1.472275
 389	1.9450e-001	-844.345093	-1.366288
 390	1.9500e-001	-771.926880	-1.311256
 391	1.9550e-001	-703.033447	-1.230406
 392	1.9600e-001	-634.460449	-1.154313
 393	1.9650e-001	-562.042236	-1.076860
 394	1.9700e-001	-494.590759	-0.990575
 395	1.9750e-001	-426.818848	-0.915161
 396	1.9800e-001	-357.284546	-0.855373
 397	1.9850e-001	-287.269592	-0.772486
 398	1.9900e-001	-218.696594	-0.713377
 399	1.9950e-001	-145.477295	-0.632528
 400	2.0000e-001	-76.583862	-0.562549
 401	2.0050e-001	-6.408691	-0.531976
 402	2.0100e-001	60.562134	-0.476944
 403	2.0150e-001	134.101868	-0.419874
 404	2.0200e-001	200.592041	-0.377750
 405	2.0250e-001	270.446777	-0.344459
 406	2.0300e-001	339.981079	-0.296221
 407	2.0350e-001	408.714294	-0.258854
 408	2.0400e-001	477.767944	-0.233037
 409	2.0450e-001	549.865723	-0.201784
 410	2.0500e-001	614.593506	-0.156264
 411	2.0550e-001	689.735413	-0.129087
 412	2.0600e-001	758.628845	-0.098514
 413	2.0650e-001	829.605103	-0.062505
 414	2.0700e-001	900.100708	-0.028535
 415	2.0750e-001	968.513489	-0.010191
 416	2.0800e-001	1036.766052	0.029215
 417	2.0850e-001	1108.383179	0.069979
 418	2.0900e-001	1175.834656	0.084246
 419	2.0950e-001	1248.092651	0.110064
