»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.12.0
»»»  Vision Version:	5.12.5 (R)
»»»  Vision Compiled:	2/24/17
»»»  Driver Version:	5.12.4
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF0910-256
»»»  Tester S/N:	PMF0910-256
»»»  Internal Amp Type:	 RTI 100V      
»»»  Internal Amp S/N:	 iAB1-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	8/4/2017 - 8:50:21
Configured:	08/03/17 01:23:53 PM
Executed:	08/04/17 08:49:59 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	63
Lot Name:	
Wafer Name:	
Die Row/Column:	1/1
Capacitor Number:	1
Sample Area (cm2):	4.91e-006
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF0910-256
Tester Serial Number:	PMF0910-256
Return Signal Amp. Level:	20.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-2
Volts:	3.00
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	2.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	401

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
 106	5.3000e-002	-0.3024	23.799041
 107	5.3500e-002	-0.3637	21.891310
 108	5.4000e-002	-0.4215	19.715800
 109	5.4500e-002	-0.4807	17.277929
 110	5.5000e-002	-0.5384	14.716229
 111	5.5500e-002	-0.5991	11.923125
 112	5.6000e-002	-0.6617	9.058820
 113	5.6500e-002	-0.7223	6.216185
 114	5.7000e-002	-0.7811	3.478804
 115	5.7500e-002	-0.8424	0.883051
 116	5.8000e-002	-0.8984	-1.558690
 117	5.8500e-002	-0.9641	-3.872733
 118	5.9000e-002	-1.0197	-5.864822
 119	5.9500e-002	-1.0802	-7.777196
 120	6.0000e-002	-1.1413	-9.525498
 121	6.0500e-002	-1.2015	-11.196408
 122	6.1000e-002	-1.2615	-12.851064
 123	6.1500e-002	-1.3187	-14.284378
 124	6.2000e-002	-1.3798	-15.761805
 125	6.2500e-002	-1.4416	-17.185832
 126	6.3000e-002	-1.5010	-18.588962
 127	6.3500e-002	-1.5617	-19.961909
 128	6.4000e-002	-1.6216	-21.443206
 129	6.4500e-002	-1.6789	-22.938434
 130	6.5000e-002	-1.7371	-24.602378
 131	6.5500e-002	-1.7998	-26.552675
 132	6.6000e-002	-1.8588	-28.832665
 133	6.6500e-002	-1.9205	-31.374243
 134	6.7000e-002	-1.9792	-33.904211
 135	6.7500e-002	-2.0393	-36.057277
 136	6.8000e-002	-2.0987	-37.609776
 137	6.8500e-002	-2.1609	-38.730423
 138	6.9000e-002	-2.2192	-39.571682
 139	6.9500e-002	-2.2809	-40.214815
 140	7.0000e-002	-2.3412	-40.776687
 141	7.0500e-002	-2.4025	-41.278966
 142	7.1000e-002	-2.4611	-41.671347
 143	7.1500e-002	-2.5205	-42.028901
 144	7.2000e-002	-2.5805	-42.343890
 145	7.2500e-002	-2.6418	-42.631017
 146	7.3000e-002	-2.7007	-42.822177
 147	7.3500e-002	-2.7625	-43.055129
 148	7.4000e-002	-2.8188	-43.312073
 149	7.4500e-002	-2.8806	-43.511746
 150	7.5000e-002	-2.9427	-43.706776
 151	7.5500e-002	-3.0009	-43.887101
 152	7.6000e-002	-2.9370	-43.924249
 153	7.6500e-002	-2.8822	-43.812804
 154	7.7000e-002	-2.8185	-43.733863
 155	7.7500e-002	-2.7582	-43.654923
 156	7.8000e-002	-2.6993	-43.536512
 157	7.8500e-002	-2.6392	-43.477693
 158	7.9000e-002	-2.5797	-43.426614
 159	7.9500e-002	-2.5187	-43.259446
 160	8.0000e-002	-2.4599	-43.168122
 161	8.0500e-002	-2.3973	-43.014111
 162	8.1000e-002	-2.3390	-42.925109
 163	8.1500e-002	-2.2770	-42.801281
 164	8.2000e-002	-2.2188	-42.717697
 165	8.2500e-002	-2.1594	-42.616312
 166	8.3000e-002	-2.0972	-42.527310
 167	8.3500e-002	-2.0383	-42.346985
 168	8.4000e-002	-1.9796	-42.225479
 169	8.4500e-002	-1.9179	-42.055989
 170	8.5000e-002	-1.8582	-41.911264
 171	8.5500e-002	-1.7993	-41.797497
 172	8.6000e-002	-1.7390	-41.602467
 173	8.6500e-002	-1.6779	-41.460839
 174	8.7000e-002	-1.6166	-41.366419
 175	8.7500e-002	-1.5561	-41.138885
 176	8.8000e-002	-1.4952	-40.928376
 177	8.8500e-002	-1.4381	-40.722512
 178	8.9000e-002	-1.3788	-40.472533
 179	8.9500e-002	-1.3177	-40.220233
 180	9.0000e-002	-1.2582	-39.935428
 181	9.0500e-002	-1.1961	-39.578647
 182	9.1000e-002	-1.1390	-39.236571
 183	9.1500e-002	-1.0785	-38.788467
 184	9.2000e-002	-1.0188	-38.363581
 185	9.2500e-002	-0.9561	-37.830345
 186	9.3000e-002	-0.8994	-37.198820
 187	9.3500e-002	-0.8395	-36.583548
 188	9.4000e-002	-0.7777	-35.848317
 189	9.4500e-002	-0.7195	-35.052720
 190	9.5000e-002	-0.6583	-34.144129
 191	9.5500e-002	-0.5981	-33.293583
 192	9.6000e-002	-0.5389	-32.341652
 193	9.6500e-002	-0.4788	-31.356442
 194	9.7000e-002	-0.4158	-30.385937
 195	9.7500e-002	-0.3600	-29.237429
 196	9.8000e-002	-0.2978	-28.148513
 197	9.8500e-002	-0.2381	-27.068111
 198	9.9000e-002	-0.1765	-25.959073
 199	9.9500e-002	-0.1164	-24.848487
 200	1.0000e-001	-0.0581	-23.775050
 201	1.0050e-001	-0.0004	-22.638924
 202	1.0100e-001	0.0629	-21.525243
 203	1.0150e-001	0.1185	-20.471154
 204	1.0200e-001	0.1791	-19.384560
 205	1.0250e-001	0.2410	-18.294870
 206	1.0300e-001	0.3012	-17.223754
 207	1.0350e-001	0.3601	-16.157282
 208	1.0400e-001	0.4242	-15.031992
 209	1.0450e-001	0.4810	-13.902058
 210	1.0500e-001	0.5400	-12.805403
 211	1.0550e-001	0.5984	-11.642190
 212	1.0600e-001	0.6610	-10.437959
 213	1.0650e-001	0.7231	-9.327373
 214	1.0700e-001	0.7841	-8.202856
 215	1.0750e-001	0.8417	-7.026487
 216	1.0800e-001	0.9023	-5.973172
 217	1.0850e-001	0.9616	-4.895091
 218	1.0900e-001	1.0218	-3.731104
 219	1.0950e-001	1.0815	-2.622840
 220	1.1000e-001	1.1428	-1.544759
 221	1.1050e-001	1.2023	-0.332789
 222	1.1100e-001	1.2607	0.900851
 223	1.1150e-001	1.3198	2.119787
 224	1.1200e-001	1.3808	3.466421
 225	1.1250e-001	1.4419	5.027432
 226	1.1300e-001	1.5030	6.796630
 227	1.1350e-001	1.5609	8.665665
 228	1.1400e-001	1.6206	10.968873
 229	1.1450e-001	1.6813	13.925276
 230	1.1500e-001	1.7419	17.456706
 231	1.1550e-001	1.7992	21.782961
 232	1.1600e-001	1.8587	26.693530
 233	1.1650e-001	1.9192	31.511228
 234	1.1700e-001	1.9830	35.510111
 235	1.1750e-001	2.0456	38.088837
 236	1.1800e-001	2.1040	39.551560
 237	1.1850e-001	2.1610	40.508908
 238	1.1900e-001	2.2226	41.227112
 239	1.1950e-001	2.2828	41.632650
 240	1.2000e-001	2.3422	41.943769
 241	1.2050e-001	2.4014	42.210000
 242	1.2100e-001	2.4616	42.431343
 243	1.2150e-001	2.5208	42.614764
 244	1.2200e-001	2.5809	42.816759
 245	1.2250e-001	2.6420	42.991667
 246	1.2300e-001	2.7026	43.121687
 247	1.2350e-001	2.7637	43.260220
 248	1.2400e-001	2.8211	43.443641
 249	1.2450e-001	2.8824	43.589913
 250	1.2500e-001	2.9414	43.704454
 251	1.2550e-001	3.0038	43.848405
 252	1.2600e-001	2.9398	43.839117
 253	1.2650e-001	2.8793	43.737733
 254	1.2700e-001	2.8192	43.672723
 255	1.2750e-001	2.7610	43.621644
 256	1.2800e-001	2.7031	43.488528
 257	1.2850e-001	2.6398	43.458345
 258	1.2900e-001	2.5788	43.346126
 259	1.2950e-001	2.5182	43.250159
 260	1.3000e-001	2.4607	43.155740
 261	1.3050e-001	2.4020	43.127878
 262	1.3100e-001	2.3393	43.005598
 263	1.3150e-001	2.2809	42.964579
 264	1.3200e-001	2.2186	42.809794
 265	1.3250e-001	2.1588	42.705314
 266	1.3300e-001	2.0990	42.630243
 267	1.3350e-001	2.0365	42.477005
 268	1.3400e-001	1.9805	42.431343
 269	1.3450e-001	1.9174	42.341568
 270	1.3500e-001	1.8576	42.218513
 271	1.3550e-001	1.7987	42.122546
 272	1.3600e-001	1.7376	42.032771
 273	1.3650e-001	1.6788	41.909716
 274	1.3700e-001	1.6202	41.830776
 275	1.3750e-001	1.5573	41.724748
 276	1.3800e-001	1.5015	41.603241
 277	1.3850e-001	1.4384	41.487926
 278	1.3900e-001	1.3788	41.355584
 279	1.3950e-001	1.3190	41.217825
 280	1.4000e-001	1.2600	41.099414
 281	1.4050e-001	1.1981	40.915220
 282	1.4100e-001	1.1388	40.776687
 283	1.4150e-001	1.0790	40.628867
 284	1.4200e-001	1.0188	40.453185
 285	1.4250e-001	0.9577	40.296078
 286	1.4300e-001	0.8971	40.043004
 287	1.4350e-001	0.8402	39.828626
 288	1.4400e-001	0.7780	39.539951
 289	1.4450e-001	0.7169	39.233475
 290	1.4500e-001	0.6599	38.844190
 291	1.4550e-001	0.5990	38.443296
 292	1.4600e-001	0.5401	37.930956
 293	1.4650e-001	0.4789	37.384563
 294	1.4700e-001	0.4179	36.820370
 295	1.4750e-001	0.3585	36.204324
 296	1.4800e-001	0.2993	35.441231
 297	1.4850e-001	0.2389	34.685104
 298	1.4900e-001	0.1791	33.750200
 299	1.4950e-001	0.1178	32.905071
 300	1.5000e-001	0.0586	31.946175
 301	1.5050e-001	-0.0007	30.900599
 302	1.5100e-001	-0.0595	29.804718
 303	1.5150e-001	-0.1202	28.513033
 304	1.5200e-001	-0.1805	27.171817
 305	1.5250e-001	-0.2400	25.627058
 306	1.5300e-001	-0.2988	23.916678
 307	1.5350e-001	-0.3622	21.960964
 308	1.5400e-001	-0.4176	19.788550
 309	1.5450e-001	-0.4802	17.384731
 310	1.5500e-001	-0.5424	14.798266
 311	1.5550e-001	-0.6012	11.971109
 312	1.5600e-001	-0.6596	9.200449
 313	1.5650e-001	-0.7233	6.309830
 314	1.5700e-001	-0.7795	3.578640
 315	1.5750e-001	-0.8422	0.968183
 316	1.5800e-001	-0.8991	-1.435635
 317	1.5850e-001	-0.9615	-3.695503
 318	1.5900e-001	-1.0233	-5.785107
 319	1.5950e-001	-1.0799	-7.647951
 320	1.6000e-001	-1.1430	-9.390061
 321	1.6050e-001	-1.1986	-11.127528
 322	1.6100e-001	-1.2615	-12.731106
 323	1.6150e-001	-1.3200	-14.191507
 324	1.6200e-001	-1.3831	-15.740909
 325	1.6250e-001	-1.4413	-17.137848
 326	1.6300e-001	-1.5022	-18.523952
 327	1.6350e-001	-1.5610	-19.932500
 328	1.6400e-001	-1.6222	-21.337952
 329	1.6450e-001	-1.6789	-22.820797
 330	1.6500e-001	-1.7397	-24.469263
 331	1.6550e-001	-1.8002	-26.460578
 332	1.6600e-001	-1.8596	-28.773847
 333	1.6650e-001	-1.9199	-31.347155
 334	1.6700e-001	-1.9796	-34.014883
 335	1.6750e-001	-2.0422	-36.067339
 336	1.6800e-001	-2.1021	-37.602810
 337	1.6850e-001	-2.1605	-38.704883
 338	1.6900e-001	-2.2209	-39.486550
 339	1.6950e-001	-2.2836	-40.210946
 340	1.7000e-001	-2.3421	-40.764304
 341	1.7050e-001	-2.4017	-41.248782
 342	1.7100e-001	-2.4598	-41.671347
 343	1.7150e-001	-2.5229	-41.987883
 344	1.7200e-001	-2.5800	-42.295132
 345	1.7250e-001	-2.6414	-42.578390
 346	1.7300e-001	-2.7024	-42.800507
 347	1.7350e-001	-2.7632	-43.079121
 348	1.7400e-001	-2.8214	-43.297368
 349	1.7450e-001	-2.8814	-43.468406
 350	1.7500e-001	-2.9433	-43.628609
 351	1.7550e-001	-2.9996	-43.848405
 352	1.7600e-001	-2.9408	-43.829056
 353	1.7650e-001	-2.8805	-43.726124
 354	1.7700e-001	-2.8190	-43.637896
 355	1.7750e-001	-2.7604	-43.588365
 356	1.7800e-001	-2.6981	-43.501685
 357	1.7850e-001	-2.6395	-43.428936
 358	1.7900e-001	-2.5786	-43.349221
 359	1.7950e-001	-2.5222	-43.216106
 360	1.8000e-001	-2.4574	-43.072929
 361	1.8050e-001	-2.3982	-43.036555
 362	1.8100e-001	-2.3363	-42.921240
 363	1.8150e-001	-2.2789	-42.774967
 364	1.8200e-001	-2.2178	-42.686740
 365	1.8250e-001	-2.1573	-42.542015
 366	1.8300e-001	-2.0970	-42.408900
 367	1.8350e-001	-2.0389	-42.310611
 368	1.8400e-001	-1.9803	-42.145764
 369	1.8450e-001	-1.9182	-42.005683
 370	1.8500e-001	-1.8585	-41.847802
 371	1.8550e-001	-1.7971	-41.721652
 372	1.8600e-001	-1.7368	-41.575380
 373	1.8650e-001	-1.6798	-41.377254
 374	1.8700e-001	-1.6182	-41.168294
 375	1.8750e-001	-1.5573	-41.021248
 376	1.8800e-001	-1.4989	-40.817705
 377	1.8850e-001	-1.4378	-40.666789
 378	1.8900e-001	-1.3795	-40.445446
 379	1.8950e-001	-1.3209	-40.166832
 380	1.9000e-001	-1.2574	-39.868870
 381	1.9050e-001	-1.1972	-39.613474
 382	1.9100e-001	-1.1369	-39.223414
 383	1.9150e-001	-1.0774	-38.785372
 384	1.9200e-001	-1.0190	-38.303215
 385	1.9250e-001	-0.9574	-37.790101
 386	1.9300e-001	-0.8973	-37.193403
 387	1.9350e-001	-0.8382	-36.557235
 388	1.9400e-001	-0.7797	-35.843673
 389	1.9450e-001	-0.7180	-35.007832
 390	1.9500e-001	-0.6562	-34.133294
 391	1.9550e-001	-0.5983	-33.276556
 392	1.9600e-001	-0.5386	-32.301408
 393	1.9650e-001	-0.4774	-31.286015
 394	1.9700e-001	-0.4201	-30.262883
 395	1.9750e-001	-0.3577	-29.249812
 396	1.9800e-001	-0.2962	-28.089695
 397	1.9850e-001	-0.2375	-26.952022
 398	1.9900e-001	-0.1783	-25.919602
 399	1.9950e-001	-0.1186	-24.778060
 400	2.0000e-001	-0.0578	-23.684500
 401	2.0050e-001	0.0018	-22.597132

Center data before PMax,±Pr and ±Vc Calc.

PMax (µC/cm2):	4.38e+001
Pr (µC/cm2):	3.09e+001
-Pr (µC/cm2):	-2.26e+001
Vc:	1.22e+000
-Vc:	-8.65e-001
C (Max-Eff) (nF):	7.18e-002
Vert. (±Pr) Shift (µC/cm2):	4.16e+000
Horiz. Shift (±Vc):	1.76e-001
Offset (µC/cm2):	1.83e+001

A (Loop Area - µC/cm2·Volts):	1.53e+002



Hysteresis Version: 5.12.0 - Radiant Technologies, Inc., 1999 - 11/30/16

