»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/5/2018 - 6:9:5
Configured:	06/05/18 05:57:41 AM
Executed:	06/05/18 06:08:26 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	6.20e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	0.21 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	3.00
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	4.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	801

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
   1	5.0000e-004	19.897461	-41.309299
   2	1.0000e-003	22.666931	-41.309299
   3	1.5000e-003	25.711060	-41.086808
   4	2.0000e-003	28.854370	-41.092988
   5	2.5000e-003	32.012939	-40.913758
   6	3.0000e-003	34.843445	-40.827234
   7	3.5000e-003	37.925720	-40.672726
   8	4.0000e-003	41.030884	-40.524398
   9	4.5000e-003	43.975830	-40.345168
  10	5.0000e-003	46.958923	-39.986710
  11	5.5000e-003	50.033569	-39.739496
  12	6.0000e-003	53.283691	-39.356316
  13	6.5000e-003	55.900574	-39.121464
  14	7.0000e-003	58.845520	-38.682661
  15	7.5000e-003	61.798096	-38.138792
  16	8.0000e-003	64.933777	-37.594923
  17	8.5000e-003	67.741394	-36.908907
  18	9.0000e-003	70.770264	-36.315596
  19	9.5000e-003	74.020386	-35.567776
  20	1.0000e-002	76.866150	-34.616006
  21	1.0500e-002	79.582214	-33.645695
  22	1.1000e-002	82.603455	-32.483794
  23	1.1500e-002	85.510254	-31.408417
  24	1.2000e-002	88.729858	-30.147630
  25	1.2500e-002	91.674805	-28.701434
  26	1.3000e-002	94.566345	-27.211976
  27	1.3500e-002	97.434998	-25.549468
  28	1.4000e-002	100.425720	-23.683009
  29	1.4500e-002	103.691101	-21.853633
  30	1.5000e-002	106.689453	-19.733781
  31	1.5500e-002	109.329224	-17.700454
  32	1.6000e-002	112.358093	-15.456995
  33	1.6500e-002	115.188599	-12.978685
  34	1.7000e-002	118.049622	-10.630161
  35	1.7500e-002	120.819092	-8.151850
  36	1.8000e-002	124.107361	-5.451048
  37	1.8500e-002	127.006531	-2.787327
  38	1.9000e-002	129.920959	-0.043262
  39	1.9500e-002	133.033752	2.886212
  40	2.0000e-002	136.215210	5.568474
  41	2.0500e-002	138.847351	8.473227
  42	2.1000e-002	142.120361	11.347079
  43	2.1500e-002	144.737244	14.115865
  44	2.2000e-002	148.506165	16.878470
  45	2.2500e-002	151.138306	19.801765
  46	2.3000e-002	154.151917	22.397502
  47	2.3500e-002	157.096863	25.104484
  48	2.4000e-002	160.392761	27.582795
  49	2.4500e-002	163.375854	30.011663
  50	2.5000e-002	166.511536	32.477613
  51	2.5500e-002	169.456482	34.677809
  52	2.6000e-002	172.103882	36.884186
  53	2.6500e-002	175.605774	38.880431
  54	2.7000e-002	178.512573	40.783972
  55	2.7500e-002	181.373596	42.477381
  56	2.8000e-002	184.730530	44.003921
  57	2.8500e-002	187.660217	45.289429
  58	2.9000e-002	190.574646	46.358626
  59	2.9500e-002	193.862915	47.217691
  60	3.0000e-002	196.952820	47.730658
  61	3.0500e-002	199.905396	48.194183
  62	3.1000e-002	203.163147	48.527920
  63	3.1500e-002	206.108093	48.898740
  64	3.2000e-002	209.159851	49.059428
  65	3.2500e-002	212.036133	49.232477
  66	3.3000e-002	215.011597	49.473510
  67	3.3500e-002	217.765808	49.603297
  68	3.4000e-002	220.947266	49.856690
  69	3.4500e-002	224.105835	49.986477
  70	3.5000e-002	226.768494	50.190428
  71	3.5500e-002	229.866028	50.326395
  72	3.6000e-002	233.085632	50.480903
  73	3.6500e-002	235.794067	50.585969
  74	3.7000e-002	239.036560	50.740477
  75	3.7500e-002	241.897583	50.827001
  76	3.8000e-002	244.720459	51.123657
  77	3.8500e-002	247.688293	51.098936
  78	3.9000e-002	250.915527	51.315247
  79	3.9500e-002	253.402710	51.333788
  80	4.0000e-002	257.087708	51.494477
  81	4.0500e-002	259.757996	51.710788
  82	4.1000e-002	262.840271	51.729329
  83	4.1500e-002	265.953064	51.883837
  84	4.2000e-002	268.676758	52.069247
  85	4.2500e-002	271.896362	52.260837
  86	4.3000e-002	275.047302	52.161952
  87	4.3500e-002	277.885437	52.446247
  88	4.4000e-002	281.013489	52.440067
  89	4.4500e-002	283.988953	52.526591
  90	4.5000e-002	286.842346	52.699640
