»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V «««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»	 Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp Serial:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««

Stored:	5/23/2018 - 12:42:14
Configured:	05/23/18 12:21:47 PM
Executed:	05/23/18 12:25:48 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	1.00e-001
Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	190.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V Info ««««««««««««««««««««««««««««««««««
Task Name:	I/V-2
Max Volts:	3.00
Soak Time (ms):	100.00
Measure Time (ms):	100.00
Step Delay (ms):	0
Preset Pulse Volts:	3.00
Preset Pulse Width (ms):	0.40
Profile:	Unswitched Triangular
Plot:	ERROR - Unknown Plot Parameter

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««
Points:	98

Valid Data

Point	Field (kV/cm)	Current (Amps)	Resistance (Ohms)	Resistivity (Ohms·cm)
     1	0.000000	6.014666967988e-012	1.26846e+007	9.96252e+007
     2	12.500000	1.075772400499e-010	1.14394e+009	8.98452e+009
     3	25.000000	2.437273845153e-010	1.02329e+009	8.03696e+009
     4	37.500000	4.028062518172e-010	9.31310e+008	7.31451e+009
     5	50.000000	5.285967140409e-010	9.50288e+008	7.46357e+009
     6	62.500000	6.085135377329e-010	1.02433e+009	8.04512e+009
     7	75.000000	5.990989407256e-010	1.24763e+009	9.79886e+009
     8	87.500000	7.115119768599e-010	1.23065e+009	9.66556e+009
     9	100.000000	9.406758469003e-010	1.06435e+009	8.35938e+009
    10	112.500000	1.450743569906e-009	7.75380e+008	6.08984e+009
    11	125.000000	2.065402661793e-009	6.05504e+008	4.75563e+009
    12	137.500000	2.912484499479e-009	4.71912e+008	3.70639e+009
    13	150.000000	3.824678873558e-009	3.92154e+008	3.07998e+009
    14	162.500000	4.956887609821e-009	3.27808e+008	2.57461e+009
    15	175.000000	6.292958678161e-009	2.78166e+008	2.18472e+009
    16	187.500000	7.366690434705e-009	2.54286e+008	1.99716e+009
    17	200.000000	9.596989722476e-009	2.08507e+008	1.63761e+009
    18	212.500000	1.190957700813e-008	1.78397e+008	1.40113e+009
    19	225.000000	1.428031961607e-008	1.57361e+008	1.23591e+009
    20	237.500000	1.686946655827e-008	1.40753e+008	1.10547e+009
    21	250.000000	2.038101558481e-008	1.22693e+008	9.63632e+008
    22	262.500000	2.410314997014e-008	1.08858e+008	8.54972e+008
    23	275.000000	2.818528039820e-008	9.75205e+007	7.65926e+008
    24	287.500000	3.246531249130e-008	8.86049e+007	6.95903e+008
    25	300.000000	3.747508859495e-008	8.00133e+007	6.28424e+008
    26	287.500000	3.115256167301e-008	9.22064e+007	7.24189e+008
    27	275.000000	2.597215599164e-008	1.05883e+008	8.31607e+008
    28	262.500000	2.149786450187e-008	1.21905e+008	9.57442e+008
    29	250.000000	1.839424935486e-008	1.35908e+008	1.06742e+009
    30	237.500000	1.505762790678e-008	1.57760e+008	1.23905e+009
    31	225.000000	1.235206876385e-008	1.82229e+008	1.43122e+009
    32	212.500000	9.944572035995e-009	2.13924e+008	1.68016e+009
    33	200.000000	8.163187164881e-009	2.45101e+008	1.92503e+009
    34	187.500000	6.682993335756e-009	2.80597e+008	2.20381e+009
    35	175.000000	5.165419901306e-009	3.38664e+008	2.65987e+009
    36	162.500000	4.017516152038e-009	4.04608e+008	3.17779e+009
    37	150.000000	3.076322871563e-009	4.87972e+008	3.83253e+009
    38	137.500000	2.303200959209e-009	5.96187e+008	4.68245e+009
    39	125.000000	1.680461090447e-009	7.43389e+008	5.83858e+009
    40	112.500000	1.197639265015e-009	9.39501e+008	7.37884e+009
    41	100.000000	8.716746440117e-010	1.14816e+009	9.01767e+009
    42	87.500000	6.889331654658e-010	1.26811e+009	9.95972e+009
    43	75.000000	5.875089833041e-010	1.27925e+009	1.00472e+010
    44	62.500000	5.572743696583e-010	1.11729e+009	8.77516e+009
    45	50.000000	4.634743973900e-010	1.07937e+009	8.47736e+009
    46	37.500000	3.312461559601e-010	1.11661e+009	8.76986e+009
    47	25.000000	1.979543210686e-010	1.27070e+009	9.98010e+009
