»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.9.3
»»»  Vision Version:	5.9.8 (R)
»»»  Vision Compiled:	3/30/16
»»»  Driver Version:	5.9.8
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF0910-256
»»»  Tester S/N:	PMF0910-256
»»»  Internal Amp Type:	 RTI 100V      
»»»  Internal Amp S/N:	 iAB1-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	11/15/2016 - 8:29:59
Configured:	11/15/16 08:18:26 AM
Executed:	11/15/16 08:29:07 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	ba018b
Lot Name:	
Wafer Name:	
Die Row/Column:	1/1
Capacitor Number:	1
Sample Area (cm2):	1.23e-006
Sample Thickness (µm):	1.75e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF0910-256
Tester Serial Number:	PMF0910-256
Return Signal Amp. Level:	20.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	3.00
Field:	171.43 (kV/cm)
Hysteresis Period (ms):	1.30e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	261

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
 103	5.1500e-002	-2.5383	-58.842550
 104	5.2000e-002	-2.4473	-58.539158
 105	5.2500e-002	-2.3534	-58.362695
 106	5.3000e-002	-2.2593	-58.201712
 107	5.3500e-002	-2.1683	-57.991195
 108	5.4000e-002	-2.0751	-57.721857
 109	5.4500e-002	-1.9861	-57.396794
 110	5.5000e-002	-1.8919	-57.062444
 111	5.5500e-002	-1.7985	-56.867406
 112	5.6000e-002	-1.7102	-56.452564
 113	5.6500e-002	-1.6132	-56.164652
 114	5.7000e-002	-1.5209	-55.882931
 115	5.7500e-002	-1.4294	-55.557868
 116	5.8000e-002	-1.3368	-55.016097
 117	5.8500e-002	-1.2456	-54.749855
 118	5.9000e-002	-1.1538	-54.393834
 119	5.9500e-002	-1.0619	-53.839679
 120	6.0000e-002	-0.9688	-53.449604
 121	6.0500e-002	-0.8771	-53.037858
 122	6.1000e-002	-0.7854	-52.610632
 123	6.1500e-002	-0.6909	-51.954315
 124	6.2000e-002	-0.6001	-51.288710
 125	6.2500e-002	-0.5052	-50.607627
 126	6.3000e-002	-0.4145	-49.719122
 127	6.3500e-002	-0.3230	-48.774892
 128	6.4000e-002	-0.2293	-47.753266
 129	6.4500e-002	-0.1376	-46.586136
 130	6.5000e-002	-0.0471	-45.295172
 131	6.5500e-002	0.0450	-44.143522
 132	6.6000e-002	0.1394	-42.840175
 133	6.6500e-002	0.2332	-41.505869
 134	6.7000e-002	0.3215	-40.317069
 135	6.7500e-002	0.4156	-38.868217
 136	6.8000e-002	0.5096	-37.094304
 137	6.8500e-002	0.5990	-34.852919
 138	6.9000e-002	0.6917	-32.001654
 139	6.9500e-002	0.7867	-28.732451
 140	7.0000e-002	0.8756	-24.946244
 141	7.0500e-002	0.9689	-20.621362
 142	7.1000e-002	1.0622	-16.336725
 143	7.1500e-002	1.1540	-11.980884
 144	7.2000e-002	1.2477	-7.776739
 145	7.2500e-002	1.3383	-3.049398
 146	7.3000e-002	1.4288	1.170226
 147	7.3500e-002	1.5222	5.786117
 148	7.4000e-002	1.6164	10.773508
 149	7.4500e-002	1.7071	15.853775
 150	7.5000e-002	1.7994	21.296254
 151	7.5500e-002	1.8933	27.500309
 152	7.6000e-002	1.9830	35.407073
 153	7.6500e-002	2.0786	44.422147
 154	7.7000e-002	2.1702	52.201982
 155	7.7500e-002	2.2629	55.003713
 156	7.8000e-002	2.3562	56.043914
 157	7.8500e-002	2.4463	56.598069
 158	7.9000e-002	2.5391	57.242002
 159	7.9500e-002	2.6339	57.728049
 160	8.0000e-002	2.7241	58.229574
 161	8.0500e-002	2.8149	58.567020
 162	8.1000e-002	2.9082	58.966383
 163	8.1500e-002	3.0016	59.331692
 164	8.2000e-002	2.9046	59.337883
 165	8.2500e-002	2.8099	59.340979
 166	8.3000e-002	2.7164	59.161421
 167	8.3500e-002	2.6291	59.152133
 168	8.4000e-002	2.5309	58.845645
 169	8.4500e-002	2.4419	58.774441
 170	8.5000e-002	2.3499	58.570116
 171	8.5500e-002	2.2567	58.331737
 172	8.6000e-002	2.1635	58.164561
 173	8.6500e-002	2.0752	57.991195
 174	8.7000e-002	1.9778	57.783774
 175	8.7500e-002	1.8876	57.523724
 176	8.8000e-002	1.7963	56.672369
