»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.9.3
»»»  Vision Version:	5.9.8 (R)
»»»  Vision Compiled:	3/30/16
»»»  Driver Version:	5.9.8
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF0910-256
»»»  Tester S/N:	PMF0910-256
»»»  Internal Amp Type:	 RTI 100V      
»»»  Internal Amp S/N:	 iAB1-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	11/15/2016 - 8:25:57
Configured:	11/15/16 08:18:26 AM
Executed:	11/15/16 08:25:28 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	ba018b
Lot Name:	
Wafer Name:	
Die Row/Column:	1/1
Capacitor Number:	1
Sample Area (cm2):	1.23e-006
Sample Thickness (µm):	1.75e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF0910-256
Tester Serial Number:	PMF0910-256
Return Signal Amp. Level:	20.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	3.00
Field:	171.43 (kV/cm)
Hysteresis Period (ms):	2.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	401

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	5.0000e-004	-0.0029	-44.485611
   2	1.0000e-003	0.0575	-44.234849
   3	1.5000e-003	0.1194	-44.005757
   4	2.0000e-003	0.1788	-43.847869
   5	2.5000e-003	0.2377	-43.637352
   6	3.0000e-003	0.2962	-43.151306
   7	3.5000e-003	0.3602	-42.383539
   8	4.0000e-003	0.4202	-41.751988
   9	4.5000e-003	0.4797	-40.717979
  10	5.0000e-003	0.5379	-39.526083
  11	5.5000e-003	0.6007	-38.306323
  12	6.0000e-003	0.6602	-36.674818
  13	6.5000e-003	0.7206	-34.854466
  14	7.0000e-003	0.7805	-32.863844
  15	7.5000e-003	0.8398	-30.671992
  16	8.0000e-003	0.8984	-28.247953
  17	8.5000e-003	0.9600	-25.523618
  18	9.0000e-003	1.0197	-22.817857
  19	9.5000e-003	1.0792	-20.124480
  20	1.0000e-002	1.1392	-17.397049
  21	1.0500e-002	1.1987	-14.719151
  22	1.1000e-002	1.2590	-11.920515
  23	1.1500e-002	1.3182	-9.007334
  24	1.2000e-002	1.3789	-6.221082
  25	1.2500e-002	1.4377	-3.193355
  26	1.3000e-002	1.4990	0.097519
  27	1.3500e-002	1.5598	3.335763
  28	1.4000e-002	1.6189	6.846441
  29	1.4500e-002	1.6778	10.276627
  30	1.5000e-002	1.7391	14.025684
  31	1.5500e-002	1.8004	18.180295
  32	1.6000e-002	1.8569	22.746653
  33	1.6500e-002	1.9189	27.994094
  34	1.7000e-002	1.9802	34.052645
  35	1.7500e-002	2.0405	40.882059
  36	1.8000e-002	2.1001	47.987002
  37	1.8500e-002	2.1628	52.912476
  38	1.9000e-002	2.2181	55.113615
  39	1.9500e-002	2.2792	56.017599
  40	2.0000e-002	2.3396	56.652246
  41	2.0500e-002	2.3972	57.166154
  42	2.1000e-002	2.4605	57.615051
  43	2.1500e-002	2.5214	57.924634
  44	2.2000e-002	2.5793	58.367339
  45	2.2500e-002	2.6414	58.649060
  46	2.3000e-002	2.7007	59.001985
  47	2.3500e-002	2.7589	59.271323
  48	2.4000e-002	2.8201	59.460169
  49	2.4500e-002	2.8785	59.803807
  50	2.5000e-002	2.9416	60.039090
  51	2.5500e-002	3.0015	60.342482
  52	2.6000e-002	2.9403	60.357961
  53	2.6500e-002	2.8773	60.274374
  54	2.7000e-002	2.8189	60.317715
  55	2.7500e-002	2.7583	60.206265
  56	2.8000e-002	2.6962	60.141253
  57	2.8500e-002	2.6382	60.051473
  58	2.9000e-002	2.5747	59.933832
  59	2.9500e-002	2.5182	59.782136
  60	3.0000e-002	2.4567	59.692356
  61	3.0500e-002	2.3966	59.500415
  62	3.1000e-002	2.3350	59.348719
  63	3.1500e-002	2.2746	59.215598
  64	3.2000e-002	2.2149	59.150585
  65	3.2500e-002	2.1577	59.042231
  66	3.3000e-002	2.0939	58.936973
  67	3.3500e-002	2.0341	58.813139
  68	3.4000e-002	1.9759	58.698593
  69	3.4500e-002	1.9190	58.577856
  70	3.5000e-002	1.8536	58.413776
  71	3.5500e-002	1.7934	58.237314
  72	3.6000e-002	1.7368	58.026797
  73	3.6500e-002	1.6746	57.850334
  74	3.7000e-002	1.6171	57.797705
  75	3.7500e-002	1.5557	57.633626
  76	3.8000e-002	1.4973	57.441684
  77	3.8500e-002	1.4349	57.246646
  78	3.9000e-002	1.3768	57.036129
  79	3.9500e-002	1.3161	56.819421
  80	4.0000e-002	1.2589	56.621287
  81	4.0500e-002	1.1967	56.364333
  82	4.1000e-002	1.1353	56.212637
  83	4.1500e-002	1.0747	56.085708
  84	4.2000e-002	1.0181	55.800891
  85	4.2500e-002	0.9554	55.584182
  86	4.3000e-002	0.8957	55.376761
  87	4.3500e-002	0.8363	55.122903
  88	4.4000e-002	0.7755	54.757594
  89	4.4500e-002	0.7146	54.454202
  90	4.5000e-002	0.6538	54.126044
  91	4.5500e-002	0.5985	53.847419
  92	4.6000e-002	0.5373	53.367564
  93	4.6500e-002	0.4753	52.986776
  94	4.7000e-002	0.4153	52.513113
  95	4.7500e-002	0.3568	51.912521
  96	4.8000e-002	0.2964	51.243821
  97	4.8500e-002	0.2353	50.460574
  98	4.9000e-002	0.1773	49.296540
  99	4.9500e-002	0.1151	48.197518
 100	5.0000e-002	0.0562	46.764146
 101	5.0500e-002	-0.0044	45.114066
 102	5.1000e-002	-0.0612	43.077006
 103	5.1500e-002	-0.1230	40.538421
 104	5.2000e-002	-0.1829	37.470448
 105	5.2500e-002	-0.2415	33.786403
 106	5.3000e-002	-0.3047	29.387221
 107	5.3500e-002	-0.3621	24.793000
 108	5.4000e-002	-0.4247	19.913963
 109	5.4500e-002	-0.4842	15.016351
 110	5.5000e-002	-0.5421	10.465473
 111	5.5500e-002	-0.6007	5.728844
 112	5.6000e-002	-0.6640	1.338949
 113	5.6500e-002	-0.7218	-2.660871
 114	5.7000e-002	-0.7843	-6.564720
 115	5.7500e-002	-0.8418	-10.044439
 116	5.8000e-002	-0.9010	-13.177425
 117	5.8500e-002	-0.9645	-16.319698
 118	5.9000e-002	-1.0239	-19.074992
 119	5.9500e-002	-1.0847	-21.771465
 120	6.0000e-002	-1.1414	-24.245037
 121	6.0500e-002	-1.1993	-26.607160
 122	6.1000e-002	-1.2658	-29.077637
 123	6.1500e-002	-1.3219	-31.328310
 124	6.2000e-002	-1.3833	-33.656378
 125	6.2500e-002	-1.4437	-36.006117
 126	6.3000e-002	-1.5031	-38.427061
 127	6.3500e-002	-1.5645	-41.043042
 128	6.4000e-002	-1.6232	-44.206986
 129	6.4500e-002	-1.6823	-47.086113
 130	6.5000e-002	-1.7427	-49.370840
 131	6.5500e-002	-1.8049	-51.144754
 132	6.6000e-002	-1.8633	-52.522401
 133	6.6500e-002	-1.9262	-53.367564
 134	6.7000e-002	-1.9838	-54.187961
 135	6.7500e-002	-2.0441	-54.739019
 136	6.8000e-002	-2.1038	-55.302461
 137	6.8500e-002	-2.1664	-55.862808
 138	6.9000e-002	-2.2259	-56.271458
 139	6.9500e-002	-2.2855	-56.692492
 140	7.0000e-002	-2.3420	-57.159963
 141	7.0500e-002	-2.4058	-57.577901
 142	7.1000e-002	-2.4638	-57.887484
 143	7.1500e-002	-2.5249	-58.237314
 144	7.2000e-002	-2.5841	-58.543801
 145	7.2500e-002	-2.6450	-58.649060
 146	7.3000e-002	-2.7045	-59.243460
 147	7.3500e-002	-2.7644	-59.593290
 148	7.4000e-002	-2.8262	-59.893586
 149	7.4500e-002	-2.8831	-60.224840
 150	7.5000e-002	-2.9444	-60.670641
 151	7.5500e-002	-3.0045	-60.844007
 152	7.6000e-002	-2.9420	-60.794474
 153	7.6500e-002	-2.8831	-60.816145
 154	7.7000e-002	-2.8212	-60.698503
 155	7.7500e-002	-2.7600	-60.531328
 156	7.8000e-002	-2.6991	-60.549903
 157	7.8500e-002	-2.6415	-60.348674
 158	7.9000e-002	-2.5828	-60.407494
 159	7.9500e-002	-2.5197	-60.212457
 160	8.0000e-002	-2.4626	-60.088623
 161	8.0500e-002	-2.4000	-59.918352
 162	8.1000e-002	-2.3402	-59.769752
 163	8.1500e-002	-2.2816	-59.413731
 164	8.2000e-002	-2.2215	-59.494223
 165	8.2500e-002	-2.1588	-59.262035
 166	8.3000e-002	-2.1017	-59.150585
 167	8.3500e-002	-2.0412	-59.029848
 168	8.4000e-002	-1.9792	-58.921493
 169	8.4500e-002	-1.9230	-58.831714
 170	8.5000e-002	-1.8606	-58.707881
 171	8.5500e-002	-1.8006	-58.432351
 172	8.6000e-002	-1.7418	-58.252793
 173	8.6500e-002	-1.6808	-58.067043
 174	8.7000e-002	-1.6195	-57.751267
 175	8.7500e-002	-1.5604	-57.553134
 176	8.8000e-002	-1.4987	-57.348809
 177	8.8500e-002	-1.4421	-57.135196
 178	8.9000e-002	-1.3791	-56.940158
 179	8.9500e-002	-1.3181	-56.711067
 180	9.0000e-002	-1.2644	-56.392196
 181	9.0500e-002	-1.1992	-55.875191
 182	9.1000e-002	-1.1401	-55.977354
 183	9.1500e-002	-1.0799	-55.788508
 184	9.2000e-002	-1.0201	-55.389145
 185	9.2500e-002	-0.9604	-55.082657
 186	9.3000e-002	-0.9035	-54.875236
 187	9.3500e-002	-0.8388	-54.398477
 188	9.4000e-002	-0.7818	-54.243686
 189	9.4500e-002	-0.7185	-53.890760
 190	9.5000e-002	-0.6596	-53.475918
 191	9.5500e-002	-0.6021	-53.027022
 192	9.6000e-002	-0.5405	-52.534784
 193	9.6500e-002	-0.4789	-52.092080
 194	9.7000e-002	-0.4224	-52.017780
 195	9.7500e-002	-0.3613	-50.993058
 196	9.8000e-002	-0.3014	-50.392466
 197	9.8500e-002	-0.2405	-49.745436
 198	9.9000e-002	-0.1803	-49.206761
 199	9.9500e-002	-0.1194	-48.194423
 200	1.0000e-001	-0.0604	-47.634076
 201	1.0050e-001	-0.0027	-46.816776
 202	1.0100e-001	0.0600	-46.222375
 203	1.0150e-001	0.1171	-45.389595
 204	1.0200e-001	0.1793	-44.646595
 205	1.0250e-001	0.2382	-43.850965
 206	1.0300e-001	0.2988	-43.188456
 207	1.0350e-001	0.3603	-42.210172
 208	1.0400e-001	0.4218	-41.120438
 209	1.0450e-001	0.4799	-39.860433
 210	1.0500e-001	0.5379	-38.427061
 211	1.0550e-001	0.6017	-36.718160
 212	1.0600e-001	0.6586	-34.860658
 213	1.0650e-001	0.7174	-32.709052
 214	1.0700e-001	0.7773	-30.396463
 215	1.0750e-001	0.8414	-27.870261
 216	1.0800e-001	0.8981	-25.065434
 217	1.0850e-001	0.9589	-22.338003
 218	1.0900e-001	1.0191	-19.310275
 219	1.0950e-001	1.0806	-16.434244
 220	1.1000e-001	1.1394	-13.657279
 221	1.1050e-001	1.1973	-10.836973
 222	1.1100e-001	1.2612	-8.152883
 223	1.1150e-001	1.3181	-5.088006
 224	1.1200e-001	1.3778	-2.190304
 225	1.1250e-001	1.4391	0.794082
 226	1.1300e-001	1.4973	4.078764
 227	1.1350e-001	1.5565	7.301529
 228	1.1400e-001	1.6173	10.722427
 229	1.1450e-001	1.6790	14.301213
 230	1.1500e-001	1.7373	18.000737
 231	1.1550e-001	1.7992	21.988173
 232	1.1600e-001	1.8595	26.430697
 233	1.1650e-001	1.9182	31.637893
 234	1.1700e-001	1.9770	37.547844
 235	1.1750e-001	2.0404	44.414407
 236	1.1800e-001	2.0972	50.739200
 237	1.1850e-001	2.1585	54.364423
 238	1.1900e-001	2.2201	55.903054
