»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V «««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.12.0
»»»  Vision Version:	5.12.5 (R)
»»»	 Vision Compiled:	2/24/17
»»»  Driver Version:	5.12.4
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF0910-256
»»»  Tester S/N:	PMF0910-256
»»»  Internal Amp Type:	 RTI 100V      
»»»  Internal Amp Serial:	 iAB1-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««

Stored:	8/4/2017 - 8:22:36
Configured:	08/04/17 08:08:27 AM
Executed:	08/04/17 08:09:51 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««
Sample Name:	63
Lot Name:	
Wafer Name:	
Die Row/Column:	1/1
Capacitor Number:	1
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	1.00e-001
Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF0910-256
Tester Serial Number:	PMF0910-256
Return Signal Amp. Level:	190.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V Info ««««««««««««««««««««««««««««««««««
Task Name:	IV
Max Volts:	4.00
Soak Time (ms):	100.00
Measure Time (ms):	100.00
Step Delay (ms):	0
Preset Monopolar Triangle Volts:	5.00
Preset Period (ms):	2.00
Profile:	Unswitched Triangular
Plot:	ERROR - Unknown Plot Parameter

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««
Points:	98

Valid Data

Point	Drive Voltage	Current (Amps)	Resistance (Ohms)	Resistivity (Ohms·cm)
     1	0.000000	2.319363960130e-012	3.61838e+008	2.84187e+009
     2	0.166667	2.551442195266e-011	6.55458e+009	5.14797e+010
     3	0.333333	4.767571749522e-011	7.00277e+009	5.49998e+010
     4	0.500000	7.646178540064e-011	6.52265e+009	5.12289e+010
     5	0.666667	1.280646276849e-010	5.20563e+009	4.08850e+010
     6	0.833333	2.976041921741e-010	2.80279e+009	2.20131e+010
     7	1.000000	4.934348386082e-010	2.02271e+009	1.58864e+010
     8	1.166667	3.463526955958e-010	3.36827e+009	2.64544e+010
     9	1.333333	1.295348648843e-010	1.03013e+010	8.09066e+010
    10	1.500000	7.393360778096e-011	2.02742e+010	1.59234e+011
    11	1.666667	6.540579416970e-011	2.54827e+010	2.00141e+011
    12	1.833333	5.865956831203e-011	3.12540e+010	2.45469e+011
    13	2.000000	5.835547310499e-011	3.42722e+010	2.69174e+011
    14	2.166667	5.756884060082e-011	3.76269e+010	2.95522e+011
    15	2.333333	6.158304481655e-011	3.78948e+010	2.97626e+011
    16	2.500000	7.313064079463e-011	3.41948e+010	2.68566e+011
    17	2.666667	7.112785886366e-011	3.75110e+010	2.94611e+011
    18	2.833333	7.674786809597e-011	3.69104e+010	2.89894e+011
    19	3.000000	8.296786439089e-011	3.61424e+010	2.83862e+011
    20	3.166667	8.855071452881e-011	3.57687e+010	2.80927e+011
    21	3.333333	9.887004243822e-011	3.37254e+010	2.64879e+011
    22	3.500000	1.149367276753e-010	3.04481e+010	2.39139e+011
    23	3.666667	1.151672289637e-010	3.18399e+010	2.50071e+011
    24	3.833333	1.314229855702e-010	2.91654e+010	2.29065e+011
    25	4.000000	1.423063580986e-010	2.80940e+010	2.20650e+011
    26	3.833333	1.086680602378e-010	3.52803e+010	2.77092e+011
    27	3.666667	8.720323646816e-011	4.20642e+010	3.30372e+011
    28	3.500000	7.206215658652e-011	4.86071e+010	3.81760e+011
    29	3.333333	6.072037669544e-011	5.48969e+010	4.31160e+011
    30	3.166667	5.468000252078e-011	5.79334e+010	4.55009e+011
    31	3.000000	4.863840911044e-011	6.16960e+010	4.84560e+011
    32	2.833333	4.438595788138e-011	6.38425e+010	5.01419e+011
    33	2.666667	4.175070170294e-011	6.38958e+010	5.01838e+011
    34	2.500000	4.043504419002e-011	6.18351e+010	4.85653e+011
    35	2.333333	3.962524171073e-011	5.88706e+010	4.62370e+011
    36	2.166667	3.982975985437e-011	5.43600e+010	4.26943e+011
    37	2.000000	4.012740729002e-011	4.97987e+010	3.91119e+011
    38	1.833333	4.168712168842e-011	4.39841e+010	3.45451e+011
    39	1.666667	4.360675339119e-011	3.82006e+010	3.00027e+011
    40	1.500000	4.853072762282e-011	3.08928e+010	2.42632e+011
    41	1.333333	5.961928387027e-011	2.23689e+010	1.75685e+011
    42	1.166667	9.919122663676e-011	1.17712e+010	9.24512e+010
    43	1.000000	1.930500213011e-010	5.17755e+009	4.06645e+010
    44	0.833333	1.563476957107e-010	5.33163e+009	4.18746e+010
    45	0.666667	8.654219805587e-011	7.71471e+009	6.05914e+010
    46	0.500000	5.502023389190e-011	9.10753e+009	7.15306e+010
    47	0.333333	3.484786555799e-011	9.51051e+009	7.46955e+010
    48	0.166667	1.717705505612e-011	9.68717e+009	7.60831e+010
    49	-0.000000	5.126909367400e-013	2.97622e+008	2.33752e+009
    50	0.000000	1.791407341656e-012	8.09188e+008	6.35536e+009
    51	-0.166667	1.795650303203e-011	9.28792e+009	7.29473e+010
    52	-0.333333	3.444896751391e-011	9.65607e+009	7.58388e+010
    53	-0.500000	4.849053411601e-011	1.02883e+010	8.08045e+010
    54	-0.666667	6.379481070090e-011	1.04548e+010	8.21120e+010
    55	-0.833333	7.884921134328e-011	1.05526e+010	8.28799e+010
    56	-1.000000	9.133378203518e-011	1.09437e+010	8.59516e+010
    57	-1.166667	9.456116006065e-011	1.23250e+010	9.68006e+010
    58	-1.333333	8.431440920444e-011	1.58181e+010	1.24235e+011
    59	-1.500000	7.322565031450e-011	2.04702e+010	1.60773e+011
    60	-1.666667	6.375073552317e-011	2.61347e+010	2.05262e+011
    61	-1.833333	5.648008968933e-011	3.24559e+010	2.54909e+011
    62	-2.000000	4.837662955234e-011	4.13448e+010	3.24722e+011
    63	-2.166667	4.197545476209e-011	5.16121e+010	4.05362e+011
    64	-2.333333	3.916799728122e-011	5.95365e+010	4.67599e+011
    65	-2.500000	3.922558308767e-011	6.37203e+010	5.00459e+011
    66	-2.666667	4.050669233221e-011	6.58506e+010	5.17190e+011
    67	-2.833333	4.358377663743e-011	6.50158e+010	5.10634e+011
    68	-3.000000	4.805831216771e-011	6.24089e+010	4.90160e+011
    69	-3.166667	5.512444422666e-011	5.74636e+010	4.51319e+011
    70	-3.333333	6.316727881388e-011	5.27969e+010	4.14667e+011
    71	-3.500000	7.651118613351e-011	4.57338e+010	3.59193e+011
    72	-3.666667	9.799783682859e-011	3.74082e+010	2.93804e+011
    73	-3.833333	1.299135478423e-010	2.95319e+010	2.31944e+011
    74	-4.000000	1.746150039014e-010	2.29190e+010	1.80006e+011
    75	-3.833333	1.018635418183e-010	3.76363e+010	2.95596e+011
    76	-3.666667	6.499523936383e-011	5.64100e+010	4.43044e+011
    77	-3.500000	4.424246011392e-011	7.90988e+010	6.21242e+011
    78	-3.333333	3.296298007534e-011	1.01113e+011	7.94139e+011
    79	-3.166667	2.574963966377e-011	1.22999e+011	9.66037e+011
    80	-3.000000	2.257976554921e-011	1.32941e+011	1.04412e+012
    81	-2.833333	2.078649181760e-011	1.36328e+011	1.07072e+012
    82	-2.666667	1.957962335788e-011	1.36202e+011	1.06973e+012
    83	-2.500000	1.894567098376e-011	1.31928e+011	1.03616e+012
    84	-2.333333	1.903131710057e-011	1.22615e+011	9.63019e+011
