»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V «««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»	 Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp Serial:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««

Stored:	5/23/2018 - 13:2:48
Configured:	05/23/18 12:21:47 PM
Executed:	05/23/18 12:46:38 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	1.00e-001
Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	190.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V Info ««««««««««««««««««««««««««««««««««
Task Name:	I/V-2
Max Volts:	3.00
Soak Time (ms):	100.00
Measure Time (ms):	100.00
Step Delay (ms):	0
Preset Pulse Volts:	3.00
Preset Pulse Width (ms):	0.40
Profile:	Unswitched Triangular
Plot:	ERROR - Unknown Plot Parameter

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««
Points:	98

Valid Data

Point	Field (kV/cm)	Current (Amps)	Resistance (Ohms)	Resistivity (Ohms·cm)
    65	-187.500000	4.166918435976e-009	4.48856e+008	3.52531e+009
    66	-200.000000	4.855775453524e-009	4.11702e+008	3.23350e+009
    67	-212.500000	6.305149032164e-009	3.37355e+008	2.64959e+009
    68	-225.000000	9.349709908718e-009	2.40688e+008	1.89037e+009
    69	-237.500000	1.046912474218e-008	2.26817e+008	1.78142e+009
    70	-250.000000	1.085864141292e-008	2.30358e+008	1.80923e+009
    71	-262.500000	1.584658451737e-008	1.65389e+008	1.29896e+009
    72	-275.000000	1.608366521412e-008	1.70958e+008	1.34271e+009
    73	-287.500000	1.723419364590e-008	1.66996e+008	1.31158e+009
    74	-300.000000	2.070563971710e-008	1.44882e+008	1.13790e+009
    75	-287.500000	1.602960629914e-008	1.79459e+008	1.40947e+009
    76	-275.000000	1.510056339830e-008	1.82103e+008	1.43024e+009
    77	-262.500000	1.251735996968e-008	2.09621e+008	1.64636e+009
    78	-250.000000	1.054015448624e-008	2.37456e+008	1.86498e+009
    79	-237.500000	8.708631774157e-009	2.72783e+008	2.14244e+009
    80	-225.000000	7.648408519628e-009	2.93967e+008	2.30882e+009
    81	-212.500000	7.384862814553e-009	2.87288e+008	2.25636e+009
    82	-200.000000	5.674660533456e-009	3.51914e+008	2.76393e+009
    83	-187.500000	5.011793866622e-009	3.74270e+008	2.93951e+009
    84	-175.000000	4.089241016920e-009	4.27755e+008	3.35958e+009
    85	-162.500000	3.088996702778e-009	5.26747e+008	4.13707e+009
    86	-150.000000	2.662399666152e-009	5.62920e+008	4.42117e+009
    87	-137.500000	2.039432174169e-009	6.74529e+008	5.29775e+009
    88	-125.000000	1.700442567746e-009	7.34205e+008	5.76645e+009
    89	-112.500000	1.310903627341e-009	8.57570e+008	6.73535e+009
    90	-100.000000	9.627550040631e-010	1.03685e+009	8.14340e+009
    91	-87.500000	7.859011254953e-010	1.11310e+009	8.74229e+009
    92	-75.000000	5.347212169987e-010	1.39855e+009	1.09842e+010
