»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	5/16/2018 - 10:3:37
Configured:	05/15/18 08:22:15 PM
Executed:	05/16/18 10:02:57 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	0.21 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Field (kV/cm):	0.03
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	4.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	801

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
   1	5.0000e-004	0.312805	-33.995413
   2	1.0000e-003	3.189087	-33.770989
   3	1.5000e-003	6.172180	-33.746595
   4	2.0000e-003	9.178162	-33.624625
   5	2.5000e-003	12.382507	-33.444110
   6	3.0000e-003	15.312195	-33.175776
   7	3.5000e-003	18.363953	-32.995261
   8	4.0000e-003	21.003723	-32.819624
   9	4.5000e-003	23.986816	-32.370776
  10	5.0000e-003	26.969910	-31.985351
  11	5.5000e-003	30.143738	-31.385260
  12	6.0000e-003	33.012390	-30.897381
  13	6.5000e-003	35.820007	-30.263138
  14	7.0000e-003	38.787842	-29.506926
  15	7.5000e-003	41.389465	-28.604349
  16	8.0000e-003	44.708252	-27.813985
  17	8.5000e-003	47.630310	-26.872379
  18	9.0000e-003	51.155090	-25.545348
  19	9.5000e-003	53.504944	-24.520802
  20	1.0000e-002	56.938171	-23.315740
  21	1.0500e-002	59.494019	-21.866740
  22	1.1000e-002	62.522888	-20.246981
  23	1.1500e-002	65.628052	-18.495495
  24	1.2000e-002	68.595886	-16.543979
  25	1.2500e-002	71.281433	-14.363160
  26	1.3000e-002	74.272156	-12.075007
  27	1.3500e-002	77.095032	-9.538036
  28	1.4000e-002	79.818726	-6.732731
  29	1.4500e-002	82.923889	-3.639578
  30	1.5000e-002	85.670471	-0.375667
  31	1.5500e-002	88.806152	3.283426
  32	1.6000e-002	91.918945	7.132792
  33	1.6500e-002	93.780518	11.138279
  34	1.7000e-002	97.297668	15.231584
  35	1.7500e-002	100.471497	19.827405
  36	1.8000e-002	103.530884	24.164650
  37	1.8500e-002	106.727600	28.501895
  38	1.9000e-002	109.733582	32.648867
  39	1.9500e-002	112.648010	36.468960
  40	2.0000e-002	116.172791	39.649931
  41	2.0500e-002	119.468689	41.879539
  42	2.1000e-002	123.016357	43.104115
  43	2.1500e-002	126.037598	43.782267
  44	2.2000e-002	129.234314	44.167691
  45	2.2500e-002	132.011414	44.572631
  46	2.3000e-002	135.231018	44.933662
  47	2.3500e-002	138.359070	45.138571
  48	2.4000e-002	141.326904	45.475207
  49	2.4500e-002	144.241333	45.621571
  50	2.5000e-002	146.560669	45.865511
  51	2.5500e-002	150.077820	46.177753
  52	2.6000e-002	153.526306	46.343632
  53	2.6500e-002	155.998230	46.553420
  54	2.7000e-002	158.714294	46.733935
  55	2.7500e-002	162.124634	46.977875
