»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2018 - 5:35:17
Configured:	06/19/18 05:20:53 AM
Executed:	06/19/18 05:34:56 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	6.20e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	2.0 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	3.00
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	2.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	401

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
   1	5.0000e-004	0.343323	-32.455274
   2	1.0000e-003	5.874634	-32.358119
   3	1.5000e-003	11.665344	-32.228352
   4	2.0000e-003	17.906189	-32.044912
   5	2.5000e-003	23.635864	-31.830220
   6	3.0000e-003	29.640198	-31.521769
   7	3.5000e-003	35.919189	-31.084231
   8	4.0000e-003	41.496277	-30.544102
   9	4.5000e-003	47.599792	-29.773654
  10	5.0000e-003	53.016663	-28.754544
  11	5.5000e-003	59.364319	-27.441250
  12	6.0000e-003	65.261841	-25.749527
  13	6.5000e-003	70.793152	-23.642006
  14	7.0000e-003	76.927185	-21.075886
  15	7.5000e-003	82.923889	-18.099403
  16	8.0000e-003	88.775635	-14.739056
  17	8.5000e-003	94.581604	-11.060747
  18	9.0000e-003	100.700378	-7.057680
  19	9.5000e-003	106.513977	-2.818860
  20	1.0000e-002	112.792969	1.587774
  21	1.0500e-002	118.598938	6.077296
  22	1.1000e-002	124.641418	10.619811
  23	1.1500e-002	130.363464	15.116127
  24	1.2000e-002	136.512756	19.481997
  25	1.2500e-002	142.555237	23.630456
  26	1.3000e-002	149.162292	27.422227
  27	1.3500e-002	155.136108	30.733657
  28	1.4000e-002	161.293030	33.350732
  29	1.4500e-002	167.823792	34.926277
  30	1.5000e-002	173.957825	35.643731
  31	1.5500e-002	179.504395	35.978679
  32	1.6000e-002	185.737610	36.204242
  33	1.6500e-002	191.757202	36.383605
  34	1.7000e-002	197.593689	36.554137
  35	1.7500e-002	203.720093	36.672353
  36	1.8000e-002	210.189819	36.825220
  37	1.8500e-002	216.003418	36.950910
  38	1.9000e-002	221.847534	37.083395
  39	1.9500e-002	227.920532	37.197535
  40	2.0000e-002	233.558655	37.307599
  41	2.0500e-002	239.662170	37.406792
  42	2.1000e-002	245.872498	37.527727
  43	2.1500e-002	251.686096	37.631676
  44	2.2000e-002	257.865906	37.741740
  45	2.2500e-002	263.626099	37.802207
