»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V «««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»	 Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp Serial:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««

Stored:	5/15/2018 - 20:43:46
Configured:	05/15/18 08:28:54 PM
Executed:	05/15/18 08:29:57 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	1.00e-001
Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	190.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V Info ««««««««««««««««««««««««««««««««««
Task Name:	I/V-2
Max Volts:	3.00
Soak Time (ms):	100.00
Measure Time (ms):	100.00
Step Delay (ms):	0
Preset Pulse Volts:	3.00
Preset Pulse Width (ms):	0.40
Profile:	Unswitched Triangular
Plot:	ERROR - Unknown Plot Parameter

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««
Points:	98

Valid Data

Point	Field (kV/cm)	Current (Amps)	Resistance (Ohms)	Resistivity (Ohms·cm)
     1	0.000000	6.957948139664e-012	2.85090e+008	2.23910e+009
     2	12.500000	4.806800743876e-011	2.56493e+009	2.01450e+010
     3	25.000000	1.214783813387e-010	2.06878e+009	1.62482e+010
     4	37.500000	1.934853502563e-010	1.93056e+009	1.51626e+010
     5	50.000000	2.638412702609e-010	1.89866e+009	1.49121e+010
     6	62.500000	2.990246788899e-010	2.09038e+009	1.64179e+010
     7	75.000000	3.240888880237e-010	2.31738e+009	1.82007e+010
     8	87.500000	3.815375278129e-010	2.29779e+009	1.80469e+010
     9	100.000000	4.069978789095e-010	2.46110e+009	1.93295e+010
    10	112.500000	4.416920277121e-010	2.55158e+009	2.00401e+010
    11	125.000000	4.713736734821e-010	2.65296e+009	2.08363e+010
    12	137.500000	6.083832218512e-010	2.25904e+009	1.77425e+010
    13	150.000000	6.381668612417e-010	2.34812e+009	1.84421e+010
    14	162.500000	6.762825860178e-010	2.40169e+009	1.88629e+010
    15	175.000000	7.862216941056e-010	2.22510e+009	1.74759e+010
    16	187.500000	9.096634790690e-010	2.06011e+009	1.61801e+010
    17	200.000000	1.068819786302e-009	1.86670e+009	1.46610e+010
    18	212.500000	1.192129296383e-009	1.78171e+009	1.39935e+010
    19	225.000000	1.282167985349e-009	1.75536e+009	1.37866e+010
    20	237.500000	1.512490200374e-009	1.57038e+009	1.23338e+010
    21	250.000000	1.329331060873e-009	1.87961e+009	1.47625e+010
    22	262.500000	1.969406068942e-009	1.33349e+009	1.04733e+010
    23	275.000000	2.148654481293e-009	1.27998e+009	1.00530e+010
    24	287.500000	2.007380128899e-009	1.43164e+009	1.12441e+010
    25	300.000000	2.047067407389e-009	1.46422e+009	1.15000e+010
    26	287.500000	1.925155562972e-009	1.49235e+009	1.17209e+010
    27	275.000000	2.007377742013e-009	1.37007e+009	1.07605e+010
    28	262.500000	1.624323161787e-009	1.61580e+009	1.26905e+010
    29	250.000000	1.598593673401e-009	1.56282e+009	1.22744e+010
