»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/5/2018 - 6:9:31
Configured:	06/05/18 05:57:41 AM
Executed:	06/05/18 06:09:10 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	6.20e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	0.21 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	3.00
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	2.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	401

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
   1	5.0000e-004	20.172119	-41.463807
   2	1.0000e-003	26.329041	-41.278398
   3	1.5000e-003	31.982422	-40.932299
   4	2.0000e-003	38.566589	-40.790152
   5	2.5000e-003	43.998718	-40.456414
   6	3.0000e-003	50.041199	-40.159759
   7	3.5000e-003	56.159973	-39.720956
   8	4.0000e-003	62.339783	-39.022579
   9	4.5000e-003	67.520142	-38.293300
  10	5.0000e-003	74.058533	-37.452776
  11	5.5000e-003	79.734802	-36.247612
  12	6.0000e-003	85.929871	-35.060990
  13	6.5000e-003	91.804504	-33.447925
  14	7.0000e-003	97.801208	-31.581466
  15	7.5000e-003	103.591919	-29.554319
  16	8.0000e-003	109.489441	-27.230517
  17	8.5000e-003	115.547180	-24.702763
  18	9.0000e-003	121.414185	-21.668223
  19	9.5000e-003	127.273560	-18.491536
  20	1.0000e-002	133.445740	-15.086176
  21	1.0500e-002	139.297485	-11.532488
  22	1.1000e-002	145.408630	-7.595621
  23	1.1500e-002	150.703430	-3.528966
  24	1.2000e-002	157.188416	0.611852
  25	1.2500e-002	162.773132	4.913359
  26	1.3000e-002	168.830872	9.394096
  27	1.3500e-002	175.010681	13.887193
  28	1.4000e-002	181.015015	18.306126
  29	1.4500e-002	186.752319	22.978452
  30	1.5000e-002	193.061829	27.304680
  31	1.5500e-002	198.860168	31.729794
  32	1.6000e-002	204.978943	35.858252
  33	1.6500e-002	211.112976	39.634431
  34	1.7000e-002	217.514038	43.268463
  35	1.7500e-002	223.678589	46.278281
  36	1.8000e-002	229.820251	48.354871
  37	1.8500e-002	236.175537	49.621838
  38	1.9000e-002	242.385864	50.394379
  39	1.9500e-002	248.466492	50.771378
  40	2.0000e-002	253.952026	51.043313
  41	2.0500e-002	259.857178	51.389411
  42	2.1000e-002	266.410828	51.469755
  43	2.1500e-002	272.140503	51.908558
  44	2.2000e-002	278.221130	52.242296
  45	2.2500e-002	284.622192	52.310280
