»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V «««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.12.0
»»»  Vision Version:	5.12.5 (R)
»»»	 Vision Compiled:	2/24/17
»»»  Driver Version:	5.12.4
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF0910-256
»»»  Tester S/N:	PMF0910-256
»»»  Internal Amp Type:	 RTI 100V      
»»»  Internal Amp Serial:	 iAB1-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««

Stored:	8/3/2017 - 12:49:35
Configured:	08/03/17 12:35:50 PM
Executed:	08/03/17 12:36:28 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««
Sample Name:	63
Lot Name:	
Wafer Name:	
Die Row/Column:	1/1
Capacitor Number:	1
Sample Area (cm2):	1.96e-005
Sample Thickness (µm):	1.00e-001
Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF0910-256
Tester Serial Number:	PMF0910-256
Return Signal Amp. Level:	190.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V Info ««««««««««««««««««««««««««««««««««
Task Name:	IV
Max Volts:	4.00
Soak Time (ms):	100.00
Measure Time (ms):	100.00
Step Delay (ms):	0
Preset Monopolar Triangle Volts:	5.00
Preset Period (ms):	2.00
Profile:	Unswitched Triangular
Plot:	ERROR - Unknown Plot Parameter

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««
Points:	98

Valid Data

Point	Drive Voltage	Current (Amps)	Resistance (Ohms)	Resistivity (Ohms·cm)
    65	-2.500000	4.350739146688e-011	5.74527e+010	1.12803e+011
    66	-2.666667	3.709336399807e-011	7.18937e+010	1.41156e+011
    67	-2.833333	5.285743423895e-011	5.36104e+010	1.05259e+011
    68	-3.000000	4.190907567113e-011	7.15679e+010	1.40516e+011
    69	-3.166667	4.993176078533e-011	6.34564e+010	1.24590e+011
    70	-3.333333	4.274688504723e-011	7.79861e+010	1.53118e+011
    71	-3.500000	4.889205469667e-011	7.15860e+010	1.40552e+011
    72	-3.666667	5.260417585657e-011	6.96975e+010	1.36844e+011
    73	-3.833333	2.689092714994e-011	1.42533e+011	2.79850e+011
    74	-4.000000	2.766854277154e-011	1.44561e+011	2.83831e+011
    75	-3.833333	9.325312577488e-011	4.11049e+010	8.07054e+010
    76	-3.666667	5.726211820010e-011	6.40147e+010	1.25687e+011
    77	-3.500000	7.350897126059e-011	4.76317e+010	9.35201e+010
    78	-3.333333	5.341690819140e-011	6.23998e+010	1.22516e+011
    79	-3.166667	5.919056837320e-011	5.35290e+010	1.05099e+011
    80	-3.000000	4.370903251549e-011	6.86678e+010	1.34822e+011
    81	-2.833333	3.997403404382e-011	7.09327e+010	1.39269e+011
    82	-2.666667	4.043266334073e-011	6.59711e+010	1.29528e+011
    83	-2.500000	3.594251294020e-011	6.95852e+010	1.36624e+011
    84	-2.333333	3.465349726004e-011	6.72992e+010	1.32135e+011
    85	-2.166667	2.504305996652e-011	8.65209e+010	1.69875e+011
    86	-2.000000	2.391884249646e-011	8.36339e+010	1.64207e+011
    87	-1.833333	1.889614968202e-011	9.70584e+010	1.90564e+011
    88	-1.666667	1.676301137540e-011	9.93646e+010	1.95092e+011
    89	-1.500000	1.496066690045e-011	1.00223e+011	1.96778e+011
    90	-1.333333	1.443397814587e-011	9.22992e+010	1.81220e+011
    91	-1.166667	1.399532989456e-011	8.32972e+010	1.63546e+011
    92	-1.000000	1.478531746832e-011	6.76336e+010	1.32792e+011
    93	-0.833333	1.578848444416e-011	5.27344e+010	1.03539e+011
    94	-0.666667	1.555719523042e-011	4.28912e+010	8.42126e+010
    95	-0.500000	1.467595732767e-011	3.41390e+010	6.70285e+010
    96	-0.333333	1.128900226289e-011	2.94998e+010	5.79199e+010
    97	-0.166667	4.267652992489e-012	3.90797e+010	7.67291e+010
    98	0.000000	1.135091481887e-012	2.01642e+008	3.95903e+008



I/V Version: 5.12.0 - Radiant Technologies, Inc., 2001 - 11/30/16

