»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.12.0
»»»  Vision Version:	5.12.5 (R)
»»»  Vision Compiled:	2/24/17
»»»  Driver Version:	5.12.4
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF0910-256
»»»  Tester S/N:	PMF0910-256
»»»  Internal Amp Type:	 RTI 100V      
»»»  Internal Amp S/N:	 iAB1-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2017 - 11:0:42
Configured:	06/19/17 10:57:34 AM
Executed:	06/19/17 10:59:29 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF0910-256
Tester Serial Number:	PMF0910-256
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-2
Volts:	3.00
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	2.00e+000
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	1.0000e-003	0.0005	-15.192010
   2	2.0000e-003	0.0098	-15.143051
   3	3.0000e-003	0.0253	-15.101624
   4	4.0000e-003	0.0343	-15.056970
   5	5.0000e-003	0.0487	-15.003169
   6	6.0000e-003	0.0581	-14.926772
   7	7.0000e-003	0.0729	-14.846070
   8	8.0000e-003	0.0830	-14.761603
   9	9.0000e-003	0.0954	-14.645931
  10	1.0000e-002	0.1073	-14.504435
  11	1.1000e-002	0.1208	-14.346261
  12	1.2000e-002	0.1327	-14.167642
  13	1.3000e-002	0.1413	-13.973421
  14	1.4000e-002	0.1551	-13.744767
  15	1.5000e-002	0.1681	-13.478453
  16	1.6000e-002	0.1814	-13.208373
  17	1.7000e-002	0.1901	-12.916773
  18	1.8000e-002	0.2041	-12.590201
  19	1.9000e-002	0.2132	-12.252332
  20	2.0000e-002	0.2264	-11.899937
  21	2.1000e-002	0.2380	-11.503425
  22	2.2000e-002	0.2496	-11.113369
  23	2.3000e-002	0.2641	-10.693184
  24	2.4000e-002	0.2763	-10.237491
  25	2.5000e-002	0.2855	-9.780722
  26	2.6000e-002	0.2985	-9.319111
  27	2.7000e-002	0.3114	-8.816611
  28	2.8000e-002	0.3222	-8.304427
  29	2.9000e-002	0.3361	-7.784173
  30	3.0000e-002	0.3481	-7.256925
  31	3.1000e-002	0.3594	-6.702239
  32	3.2000e-002	0.3708	-6.145400
  33	3.3000e-002	0.3831	-5.569731
  34	3.4000e-002	0.3934	-4.974694
  35	3.5000e-002	0.4072	-4.378043
  36	3.6000e-002	0.4171	-3.760947
  37	3.7000e-002	0.4295	-3.145466
  38	3.8000e-002	0.4439	-2.506312
  39	3.9000e-002	0.4526	-1.863392
  40	4.0000e-002	0.4654	-1.217244
  41	4.1000e-002	0.4761	-0.546885
  42	4.2000e-002	0.4900	0.113251
  43	4.3000e-002	0.5028	0.777691
  44	4.4000e-002	0.5157	1.470108
  45	4.5000e-002	0.5274	2.149074
  46	4.6000e-002	0.5369	2.833421
  47	4.7000e-002	0.5508	3.522609
  48	4.8000e-002	0.5627	4.213950
  49	4.9000e-002	0.5729	4.906905
  50	5.0000e-002	0.5881	5.601474
  51	5.1000e-002	0.5978	6.274522
  52	5.2000e-002	0.6129	6.973395
  53	5.3000e-002	0.6210	7.652361
  54	5.4000e-002	0.6353	8.346392
  55	5.5000e-002	0.6462	9.030200
  56	5.6000e-002	0.6590	9.703249
  57	5.7000e-002	0.6701	10.370917
  58	5.8000e-002	0.6815	11.027287
  59	5.9000e-002	0.6940	11.675049
  60	6.0000e-002	0.7086	12.309899
  61	6.1000e-002	0.7198	12.954971
  62	6.2000e-002	0.7319	13.575295
  63	6.3000e-002	0.7444	14.194542
  64	6.4000e-002	0.7545	14.794960
  65	6.5000e-002	0.7674	15.378699
  66	6.6000e-002	0.7787	15.962976
  67	6.7000e-002	0.7902	16.530574
  68	6.8000e-002	0.8047	17.107319
  69	6.9000e-002	0.8160	17.665234
  70	7.0000e-002	0.8267	18.198400
  71	7.1000e-002	0.8408	18.742865
  72	7.2000e-002	0.8489	19.274417
  73	7.3000e-002	0.8647	19.783911
  74	7.4000e-002	0.8772	20.294480
  75	7.5000e-002	0.8880	20.792138
  76	7.6000e-002	0.8985	21.284416
  77	7.7000e-002	0.9097	21.765395
  78	7.8000e-002	0.9232	22.222702
  79	7.9000e-002	0.9347	22.694536
  80	8.0000e-002	0.9510	23.151305
  81	8.1000e-002	0.9571	23.602694
