»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	8/1/2018 - 14:36:34
Configured:	08/01/18 01:24:35 PM
Executed:	08/01/18 02:36:13 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	6.20e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	2.0 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	3.00
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	2.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	401

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
   1	5.0000e-004	0.038147	-19.022038
   2	1.0000e-003	5.958557	-18.767260
   3	1.5000e-003	12.107849	-18.421442
   4	2.0000e-003	17.890930	-18.031463
   5	2.5000e-003	24.024963	-17.567428
   6	3.0000e-003	29.937744	-16.952564
   7	3.5000e-003	35.720825	-16.186193
   8	4.0000e-003	41.687012	-15.264238
   9	4.5000e-003	47.637939	-14.192134
  10	5.0000e-003	53.672791	-12.939986
  11	5.5000e-003	59.867859	-11.549920
  12	6.0000e-003	65.864563	-9.968260
  13	6.5000e-003	71.395874	-8.225581
  14	7.0000e-003	77.438354	-6.318485
  15	7.5000e-003	83.412170	-4.240859
  16	8.0000e-003	89.698792	-2.010365
  17	8.5000e-003	95.252991	0.346498
  18	9.0000e-003	101.539612	2.797798
  19	9.5000e-003	107.238770	5.370713
  20	1.0000e-002	113.418579	7.978956
  21	1.0500e-002	119.300842	10.648346
  22	1.1000e-002	125.144958	13.365975
  23	1.1500e-002	131.111145	16.101267
  24	1.2000e-002	137.100220	18.936433
  25	1.2500e-002	143.150330	21.843616
  26	1.3000e-002	149.078369	24.868336
  27	1.3500e-002	155.181885	27.996326
  28	1.4000e-002	160.972595	31.194295
  29	1.4500e-002	166.915894	34.473113
  30	1.5000e-002	173.126221	37.846369
  31	1.5500e-002	179.153442	41.218266
  32	1.6000e-002	185.150146	44.533772
  33	1.6500e-002	191.207886	47.756200
  34	1.7000e-002	197.311401	50.735400
  35	1.7500e-002	203.247070	53.229503
  36	1.8000e-002	209.625244	55.130484
  37	1.8500e-002	215.660095	56.316049
  38	1.9000e-002	221.771240	57.043694
  39	1.9500e-002	227.989197	57.564120
  40	2.0000e-002	234.092712	57.994864
  41	2.0500e-002	239.776611	58.376011
  42	2.1000e-002	245.872498	58.760555
  43	2.1500e-002	251.945496	59.106374
  44	2.2000e-002	257.911682	59.475971
  45	2.2500e-002	263.923645	59.837416
