»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V «««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»	 Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp Serial:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««

Stored:	5/15/2018 - 21:0:8
Configured:	05/15/18 08:28:54 PM
Executed:	05/15/18 08:45:35 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	1.00e-001
Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	190.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V Info ««««««««««««««««««««««««««««««««««
Task Name:	I/V-2
Max Volts:	3.00
Soak Time (ms):	100.00
Measure Time (ms):	100.00
Step Delay (ms):	0
Preset Pulse Volts:	3.00
Preset Pulse Width (ms):	0.40
Profile:	Unswitched Triangular
Plot:	ERROR - Unknown Plot Parameter

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««
Points:	98

Valid Data

Point	Field (kV/cm)	Current (Amps)	Resistance (Ohms)	Resistivity (Ohms·cm)
     1	0.000000	1.514920327088e-012	1.61157e+009	1.26573e+010
     2	12.500000	5.108915555245e-011	2.42968e+009	1.90827e+010
     3	25.000000	1.282334055491e-010	1.93660e+009	1.52101e+010
     4	37.500000	1.966757476349e-010	1.89730e+009	1.49014e+010
     5	50.000000	2.481424903142e-010	2.01325e+009	1.58121e+010
     6	62.500000	2.742595124491e-010	2.27441e+009	1.78632e+010
     7	75.000000	3.291038489742e-010	2.28091e+009	1.79143e+010
     8	87.500000	3.689007672866e-010	2.37113e+009	1.86228e+010
     9	100.000000	3.807178448477e-010	2.62437e+009	2.06118e+010
    10	112.500000	4.694262809201e-010	2.39758e+009	1.88306e+010
    11	125.000000	5.937248842847e-010	2.10471e+009	1.65304e+010
    12	137.500000	5.277735726268e-010	2.60407e+009	2.04524e+010
    13	150.000000	7.113969558591e-010	2.10522e+009	1.65344e+010
    14	162.500000	8.690765639920e-010	1.87031e+009	1.46894e+010
    15	175.000000	8.993622435376e-010	1.94543e+009	1.52794e+010
    16	187.500000	9.744603048959e-010	1.92399e+009	1.51110e+010
    17	200.000000	1.313099220424e-009	1.52216e+009	1.19551e+010
    18	212.500000	1.303814471349e-009	1.63055e+009	1.28063e+010
    19	225.000000	1.388575690507e-009	1.61931e+009	1.27181e+010
    20	237.500000	1.889851905080e-009	1.25653e+009	9.86876e+009
    21	250.000000	1.819956922887e-009	1.37416e+009	1.07927e+010
    22	262.500000	2.669534730236e-009	9.82649e+008	7.71772e+009
    23	275.000000	2.758666737245e-009	9.96449e+008	7.82611e+009
    24	287.500000	3.365123638629e-009	8.54302e+008	6.70969e+009
    25	300.000000	4.350435473784e-009	6.89541e+008	5.41565e+009
    26	287.500000	3.516695438534e-009	8.17590e+008	6.42135e+009
    27	275.000000	3.557955877517e-009	7.72899e+008	6.07035e+009
    28	262.500000	2.634595355489e-009	9.95680e+008	7.82007e+009
    29	250.000000	2.211153084288e-009	1.13022e+009	8.87673e+009
