»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	5/8/2018 - 13:13:20
Configured:	05/08/18 01:03:24 PM
Executed:	05/08/18 01:12:51 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	8.00e-002

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	0.21 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	2.40
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	4.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	801

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
   1	5.0000e-004	-0.162125	-40.672038
   2	1.0000e-003	3.395081	-40.608614
   3	1.5000e-003	5.989075	-40.584220
   4	2.0000e-003	9.050369	-40.554947
   5	2.5000e-003	11.920929	-40.481765
   6	3.0000e-003	15.268326	-40.486644
   7	3.5000e-003	17.948151	-40.359795
   8	4.0000e-003	21.276474	-40.286614
   9	4.5000e-003	24.089813	-40.320765
  10	5.0000e-003	27.036667	-40.262220
  11	5.5000e-003	29.935837	-40.096341
  12	6.0000e-003	33.006668	-40.135371
  13	6.5000e-003	35.943985	-40.047553
  14	7.0000e-003	38.967133	-39.949977
  15	7.5000e-003	41.837692	-39.837765
  16	8.0000e-003	45.242310	-39.759704
  17	8.5000e-003	48.074722	-39.676765
  18	9.0000e-003	50.859451	-39.549916
  19	9.5000e-003	54.359436	-39.374280
  20	1.0000e-002	57.344437	-39.227916
  21	1.0500e-002	59.690475	-39.027886
  22	1.1000e-002	62.866211	-38.891279
  23	1.1500e-002	66.270828	-38.681491
  24	1.2000e-002	68.836212	-38.579037
  25	1.2500e-002	71.897507	-38.276552
  26	1.3000e-002	74.977875	-38.100915
  27	1.3500e-002	77.762604	-37.861855
  28	1.4000e-002	80.909729	-37.652067
  29	1.4500e-002	83.932877	-37.427642
  30	1.5000e-002	87.099075	-36.998309
  31	1.5500e-002	89.921951	-36.920248
  32	1.6000e-002	93.345642	-36.393339
  33	1.6500e-002	96.063614	-36.046944
  34	1.7000e-002	99.029541	-35.773732
  35	1.7500e-002	101.776123	-35.290732
  36	1.8000e-002	104.932785	-34.866277
  37	1.8500e-002	107.431412	-34.290580
  38	1.9000e-002	110.797882	-33.763670
  39	1.9500e-002	113.716125	-33.148943
  40	2.0000e-002	116.910934	-32.602518
  41	2.0500e-002	119.857788	-31.904851
  42	2.1000e-002	122.833252	-31.090093
  43	2.1500e-002	126.008987	-30.246062
  44	2.2000e-002	128.669739	-29.436183
  45	2.2500e-002	131.549835	-28.518971
  46	2.3000e-002	134.525299	-27.450515
  47	2.3500e-002	137.405396	-26.308878
  48	2.4000e-002	140.323639	-25.045272
  49	2.4500e-002	143.871307	-23.757271
  50	2.5000e-002	146.541595	-22.244846
  51	2.5500e-002	149.450302	-20.717784
  52	2.6000e-002	152.120590	-18.946783
  53	2.6500e-002	155.324936	-17.058691
  54	2.7000e-002	157.957077	-14.970569
  55	2.7500e-002	161.199570	-12.760477
  56	2.8000e-002	164.127350	-10.447930
  57	2.8500e-002	166.807175	-7.871929
  58	2.9000e-002	169.591904	-5.105654
  59	2.9500e-002	173.063278	-2.241804
  60	3.0000e-002	175.771713	0.802561
  61	3.0500e-002	178.403854	4.051836
  62	3.1000e-002	181.694031	7.432838
  63	3.1500e-002	184.774399	10.979718
  64	3.2000e-002	187.454224	14.702236
  65	3.2500e-002	190.420151	18.473541
  66	3.3000e-002	193.452835	22.259482
  67	3.3500e-002	195.989609	26.352788
  68	3.4000e-002	199.413300	30.255820
