»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.12.0
»»»  Vision Version:	5.12.5 (R)
»»»  Vision Compiled:	2/24/17
»»»  Driver Version:	5.12.4
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF0910-256
»»»  Tester S/N:	PMF0910-256
»»»  Internal Amp Type:	 RTI 100V      
»»»  Internal Amp S/N:	 iAB1-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2017 - 11:21:43
Configured:	06/19/17 10:57:34 AM
Executed:	06/19/17 11:21:14 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.96e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF0910-256
Tester Serial Number:	PMF0910-256
Return Signal Amp. Level:	2.0 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-2
Volts:	3.00
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	2.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	401

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
 107	5.3500e-002	-0.3547	4.149301
 108	5.4000e-002	-0.4153	0.200859
 109	5.4500e-002	-0.4777	-3.612244
 110	5.5000e-002	-0.5373	-7.195487
 111	5.5500e-002	-0.5979	-10.398493
 112	5.6000e-002	-0.6568	-13.197633
 113	5.6500e-002	-0.7162	-15.749727
 114	5.7000e-002	-0.7796	-18.005366
 115	5.7500e-002	-0.8392	-20.048330
 116	5.8000e-002	-0.8981	-21.902250
 117	5.8500e-002	-0.9582	-23.580015
 118	5.9000e-002	-1.0195	-25.158962
 119	5.9500e-002	-1.0805	-26.576792
 120	6.0000e-002	-1.1402	-27.850691
 121	6.0500e-002	-1.2012	-28.984954
 122	6.1000e-002	-1.2576	-29.990325
 123	6.1500e-002	-1.3194	-30.823837
 124	6.2000e-002	-1.3792	-31.601495
 125	6.2500e-002	-1.4379	-32.254556
 126	6.3000e-002	-1.5002	-32.841022
 127	6.3500e-002	-1.5589	-33.302891
 128	6.4000e-002	-1.6191	-33.756167
 129	6.4500e-002	-1.6799	-34.160034
 130	6.5000e-002	-1.7402	-34.561752
 131	6.5500e-002	-1.8010	-34.841022
 132	6.6000e-002	-1.8594	-35.150366
 133	6.6500e-002	-1.9202	-35.393116
 134	6.7000e-002	-1.9804	-35.655200
 135	6.7500e-002	-2.0413	-35.887208
 136	6.8000e-002	-2.1009	-36.142847
 137	6.8500e-002	-2.1616	-36.381300
 138	6.9000e-002	-2.2215	-36.533825
 139	6.9500e-002	-2.2796	-36.725017
 140	7.0000e-002	-2.3418	-36.926950
 141	7.0500e-002	-2.4018	-37.143921
 142	7.1000e-002	-2.4617	-37.315779
 143	7.1500e-002	-2.5210	-37.442525
 144	7.2000e-002	-2.5822	-37.625124
 145	7.2500e-002	-2.6406	-37.842095
 146	7.3000e-002	-2.6992	-37.981730
 147	7.3500e-002	-2.7589	-38.151440
 148	7.4000e-002	-2.8197	-38.314705
 149	7.4500e-002	-2.8816	-38.450043
 150	7.5000e-002	-2.9401	-38.566047
 151	7.5500e-002	-3.0038	-38.748647
 152	7.6000e-002	-2.9376	-38.701386
 153	7.6500e-002	-2.8791	-38.609012
 154	7.7000e-002	-2.8166	-38.523083
 155	7.7500e-002	-2.7592	-38.437154
 156	7.8000e-002	-2.6960	-38.310408
 157	7.8500e-002	-2.6385	-38.187959
 158	7.9000e-002	-2.5798	-38.177218
 159	7.9500e-002	-2.5204	-38.033287
 160	8.0000e-002	-2.4574	-37.915135
 161	8.0500e-002	-2.3979	-37.829206
 162	8.1000e-002	-2.3370	-37.702460
 163	8.1500e-002	-2.2779	-37.588604
 164	8.2000e-002	-2.2182	-37.459710
 165	8.2500e-002	-2.1575	-37.294297
 166	8.3000e-002	-2.0985	-37.169700
 167	8.3500e-002	-2.0408	-37.057992
 168	8.4000e-002	-1.9768	-36.939840
 169	8.4500e-002	-1.9167	-36.783019
 170	8.5000e-002	-1.8574	-36.636939
 171	8.5500e-002	-1.8001	-36.488712
 172	8.6000e-002	-1.7382	-36.271741
 173	8.6500e-002	-1.6759	-36.160033
 174	8.7000e-002	-1.6171	-35.992471
 175	8.7500e-002	-1.5577	-35.816317
 176	8.8000e-002	-1.4975	-35.610087
 177	8.8500e-002	-1.4381	-35.425339
 178	8.9000e-002	-1.3762	-35.229851
 179	8.9500e-002	-1.3160	-34.999990
 180	9.0000e-002	-1.2581	-34.770130
 181	9.0500e-002	-1.1971	-34.591827
 182	9.1000e-002	-1.1349	-34.254556
 183	9.1500e-002	-1.0776	-34.067660
 184	9.2000e-002	-1.0178	-33.850689
 185	9.2500e-002	-0.9577	-33.491935
 186	9.3000e-002	-0.8956	-33.156812
 187	9.3500e-002	-0.8394	-32.815243
 188	9.4000e-002	-0.7780	-32.398487
 189	9.4500e-002	-0.7153	-32.039733
 190	9.5000e-002	-0.6588	-31.622977
 191	9.5500e-002	-0.5994	-31.070883
 192	9.6000e-002	-0.5364	-30.535974
 193	9.6500e-002	-0.4785	-29.824911
 194	9.7000e-002	-0.4183	-29.146072
 195	9.7500e-002	-0.3564	-28.291077
 196	9.8000e-002	-0.2968	-27.348005
 197	9.8500e-002	-0.2390	-26.273892
 198	9.9000e-002	-0.1786	-24.967770
 199	9.9500e-002	-0.1189	-23.672389
 200	1.0000e-001	-0.0565	-22.194409
 201	1.0050e-001	-0.0017	-20.413528
 202	1.0100e-001	0.0603	-18.523088
 203	1.0150e-001	0.1212	-16.499458
 204	1.0200e-001	0.1804	-14.282488
 205	1.0250e-001	0.2415	-11.861436
 206	1.0300e-001	0.3002	-9.421050
 207	1.0350e-001	0.3610	-6.636948
 208	1.0400e-001	0.4204	-3.771213
 209	1.0450e-001	0.4790	-0.808808
 210	1.0500e-001	0.5396	2.297529
 211	1.0550e-001	0.5993	5.356604
 212	1.0600e-001	0.6609	8.327602
 213	1.0650e-001	0.7186	11.182596
 214	1.0700e-001	0.7804	13.865732
 215	1.0750e-001	0.8409	16.336193
 216	1.0800e-001	0.9008	18.639093
 217	1.0850e-001	0.9592	20.819543
 218	1.0900e-001	1.0210	22.800209
 219	1.0950e-001	1.0807	24.752947
 220	1.1000e-001	1.1411	26.581088
 221	1.1050e-001	1.2013	28.314708
 222	1.1100e-001	1.2596	29.962398
 223	1.1150e-001	1.3193	31.631570
 224	1.1200e-001	1.3825	33.109551
 225	1.1250e-001	1.4413	34.269593
 226	1.1300e-001	1.5028	34.935544
 227	1.1350e-001	1.5601	35.348003
 228	1.1400e-001	1.6219	35.674534
 229	1.1450e-001	1.6794	35.958100
 230	1.1500e-001	1.7426	36.194405
 231	1.1550e-001	1.8011	36.321150
 232	1.1600e-001	1.8607	36.508046
 233	1.1650e-001	1.9212	36.664866
 234	1.1700e-001	1.9845	36.808798
 235	1.1750e-001	2.0419	37.004286
 236	1.1800e-001	2.1015	37.090215
 237	1.1850e-001	2.1618	37.251332
