»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	8/2/2018 - 13:26:39
Configured:	08/02/18 01:13:44 PM
Executed:	08/02/18 01:25:48 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	6.20e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	2.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	50.00
Field:	5000.00 (kV/cm)
Hysteresis Period (ms):	4.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	801

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
   1	5.0000e-004	1514.213562	-1.163485
   2	1.0000e-003	1554.748535	-1.122041
   3	1.5000e-003	1606.819153	-1.081276
   4	2.0000e-003	1648.796082	-1.039153
   5	2.5000e-003	1702.629089	-0.986839
   6	3.0000e-003	1752.456665	-0.935204
   7	3.5000e-003	1800.682068	-0.896478
   8	4.0000e-003	1850.669861	-0.846201
   9	4.5000e-003	1903.701782	-0.778940
  10	5.0000e-003	1947.601318	-0.740214
  11	5.5000e-003	1998.870850	-0.687220
  12	6.0000e-003	2049.339294	-0.613165
  13	6.5000e-003	2098.686218	-0.580553
  14	7.0000e-003	2147.392273	-0.515330
  15	7.5000e-003	2198.181152	-0.473207
  16	8.0000e-003	2245.605469	-0.407305
  17	8.5000e-003	2297.195435	-0.352952
  18	9.0000e-003	2345.901489	-0.291805
  19	9.5000e-003	2399.093628	-0.255117
  20	1.0000e-002	2446.838379	-0.166115
  21	1.0500e-002	2497.947693	-0.113121
  22	1.1000e-002	2544.250488	-0.043822
  23	1.1500e-002	2597.923279	0.019363
  24	1.2000e-002	2646.629333	0.094777
  25	1.2500e-002	2698.699951	0.164756
  26	1.3000e-002	2746.604919	0.232018
  27	1.3500e-002	2797.233582	0.301996
  28	1.4000e-002	2846.740723	0.372655
  29	1.4500e-002	2896.728516	0.455542
  30	1.5000e-002	2946.876526	0.532995
  31	1.5500e-002	2992.698669	0.607730
  32	1.6000e-002	3046.691895	0.685861
  33	1.6500e-002	3095.558167	0.778261
  34	1.7000e-002	3145.545959	0.851637
  35	1.7500e-002	3195.854187	0.956265
  36	1.8000e-002	3242.958069	1.069726
  37	1.8500e-002	3296.150208	1.177752
  38	1.9000e-002	3349.822998	1.334016
  39	1.9500e-002	3396.766663	1.440003
  40	2.0000e-002	3446.434021	1.603061
  41	2.0500e-002	3502.189636	1.765439
  42	2.1000e-002	3542.404175	1.945482
  43	2.1500e-002	3596.717834	2.107860
  44	2.2000e-002	3643.020630	2.268200
  45	2.2500e-002	3693.489075	2.425143
  46	2.3000e-002	3743.316650	2.542681
  47	2.3500e-002	3790.420532	2.692830
  48	2.4000e-002	3839.927673	2.811047
  49	2.4500e-002	3892.478943	2.910919
  50	2.5000e-002	3939.262390	3.001960
  51	2.5500e-002	3991.012573	3.093680
  52	2.6000e-002	4038.757324	3.164338
  53	2.6500e-002	4091.308594	3.257417
  54	2.7000e-002	4137.931824	3.337587
  55	2.7500e-002	4187.919617	3.400772
  56	2.8000e-002	4240.470886	3.488415
  57	2.8500e-002	4295.425415	3.571303
  58	2.9000e-002	4341.407776	3.636526
  59	2.9500e-002	4384.986877	3.711940
  60	3.0000e-002	4440.261841	3.824042
  61	3.0500e-002	4488.807678	3.864807
  62	3.1000e-002	4540.718079	3.938862
  63	3.1500e-002	4589.744568	4.014956
  64	3.2000e-002	4639.411926	4.081538
  65	3.2500e-002	4692.604065	4.150158
  66	3.3000e-002	4738.105774	4.235763
  67	3.3500e-002	4793.060303	4.298269
  68	3.4000e-002	4841.606140	4.371645
  69	3.4500e-002	4892.395020	4.443662
  70	3.5000e-002	4942.863464	4.514999
  71	3.5500e-002	4990.287781	4.585658
  72	3.6000e-002	5038.192749	4.650201
  73	3.6500e-002	5089.782715	4.707272
  74	3.7000e-002	5135.124207	4.784045
  75	3.7500e-002	5185.752869	4.848588
  76	3.8000e-002	5237.823486	4.912453
  77	3.8500e-002	5285.408020	4.953896
  78	3.9000e-002	5333.312988	5.027952
  79	3.9500e-002	5386.825562	5.070075
  80	4.0000e-002	5436.813354	5.110839
  81	4.0500e-002	5485.839844	5.176062
  82	4.1000e-002	5534.545898	5.227697
  83	4.1500e-002	5588.058472	5.281371
  84	4.2000e-002	5635.803223	5.344555
  85	4.2500e-002	5686.271667	5.387358
  86	4.3000e-002	5735.618591	5.434917
  87	4.3500e-002	5784.164429	5.491307
  88	4.4000e-002	5836.555481	5.546339
  89	4.4500e-002	5887.825012	5.600692
  90	4.5000e-002	5932.044983	5.656403
  91	4.5500e-002	5987.480164	5.688335
  92	4.6000e-002	6034.584045	5.734535
  93	4.6500e-002	6085.693359	5.789567
  94	4.7000e-002	6135.200500	5.831690
  95	4.7500e-002	6188.873291	5.879928
  96	4.8000e-002	6231.651306	5.937678
  97	4.8500e-002	6285.484314	5.976404
  98	4.9000e-002	6334.190369	6.020565
  99	4.9500e-002	6381.614685	6.062009
 100	5.0000e-002	6433.204651	6.110927
 101	5.0500e-002	6481.590271	6.155088
 102	5.1000e-002	6444.900513	6.157806
 103	5.1500e-002	6395.874023	6.136744
 104	5.2000e-002	6347.167969	6.099377
 105	5.2500e-002	6298.942566	6.079674
 106	5.3000e-002	6250.236511	6.028039
 107	5.3500e-002	6200.248718	6.010374
 108	5.4000e-002	6148.178101	5.985916
 109	5.4500e-002	6103.157043	5.932922
 110	5.5000e-002	6050.926208	5.915257
 111	5.5500e-002	6000.297546	5.884684
 112	5.6000e-002	5952.873230	5.845958
 113	5.6500e-002	5904.487610	5.816064
 114	5.7000e-002	5852.577209	5.805193
 115	5.7500e-002	5807.556152	5.763750
 116	5.8000e-002	5753.402710	5.737932
 117	5.8500e-002	5706.298828	5.713473
 118	5.9000e-002	5652.465820	5.657762
 119	5.9500e-002	5607.765198	5.635342
 120	6.0000e-002	5557.777405	5.612242
 121	6.0500e-002	5508.270264	5.577592
 122	6.1000e-002	5457.481384	5.542263
 123	6.1500e-002	5405.731201	5.515087
 124	6.2000e-002	5355.583191	5.486551
 125	6.2500e-002	5304.954529	5.447146
 126	6.3000e-002	5253.524780	5.415893
 127	6.3500e-002	5205.299377	5.366976
 128	6.4000e-002	5153.709412	5.335723
 129	6.4500e-002	5105.003357	5.309906
 130	6.5000e-002	5055.175781	5.278653
 131	6.5500e-002	5006.469727	5.239927
 132	6.6000e-002	4956.001282	5.213430
 133	6.6500e-002	4909.538269	5.176062
 134	6.7000e-002	4851.860046	5.142092
 135	6.7500e-002	4806.999207	5.110839
 136	6.8000e-002	4758.293152	5.074831
 137	6.8500e-002	4709.587097	5.037463
 138	6.9000e-002	4658.798218	5.010287
 139	6.9500e-002	4602.722168	4.955255
 140	7.0000e-002	4558.502197	4.934873
 141	7.0500e-002	4508.995056	4.898185
 142	7.1000e-002	4462.211609	4.851985
 143	7.1500e-002	4410.942078	4.811900
 144	7.2000e-002	4358.711243	4.783365
 145	7.2500e-002	4312.568665	4.735127
 146	7.3000e-002	4262.100220	4.703875
 147	7.3500e-002	4209.548950	4.674660
 148	7.4000e-002	4159.080505	4.648163
 149	7.4500e-002	4109.733582	4.606040
 150	7.5000e-002	4055.419922	4.591093
 151	7.5500e-002	4010.398865	4.521114
 152	7.6000e-002	3957.687378	4.486464
 153	7.6500e-002	3909.301758	4.451815
 154	7.7000e-002	3863.639832	4.409012
 155	7.7500e-002	3810.768127	4.370965
 156	7.8000e-002	3757.255554	4.332918
 157	7.8500e-002	3701.660156	4.300986
 158	7.9000e-002	3663.848877	4.256145
 159	7.9500e-002	3610.816956	4.213343
 160	8.0000e-002	3562.431335	4.179372
 161	8.0500e-002	3512.603760	4.148799
 162	8.1000e-002	3460.853577	4.112111
 163	8.1500e-002	3415.351868	4.078141
 164	8.2000e-002	3365.844727	4.033300
 165	8.2500e-002	3314.575195	3.995932
 166	8.3000e-002	3265.388489	3.964680
 167	8.3500e-002	3214.279175	3.925954
 168	8.4000e-002	3163.490295	3.868883
 169	8.4500e-002	3117.828369	3.832875
 170	8.5000e-002	3064.476013	3.800943
 171	8.5500e-002	3012.405396	3.767652
 172	8.6000e-002	2965.621948	3.735040
 173	8.6500e-002	2913.070679	3.699711
 174	8.7000e-002	2860.839844	3.646038
 175	8.7500e-002	2810.852051	3.608670
 176	8.8000e-002	2763.427734	3.578097
 177	8.8500e-002	2713.920593	3.531218
 178	8.9000e-002	2667.297363	3.493851
 179	8.9500e-002	2614.746094	3.442216
 180	9.0000e-002	2564.277649	3.393298
 181	9.0500e-002	2517.654419	3.360007
 182	9.1000e-002	2467.346191	3.307693
 183	9.1500e-002	2416.557312	3.268288
 184	9.2000e-002	2367.851257	3.221408
 185	9.2500e-002	2319.145203	3.179285
 186	9.3000e-002	2266.113281	3.140559
 187	9.3500e-002	2221.893311	3.101153
 188	9.4000e-002	2168.861389	3.061748
 189	9.4500e-002	2114.868164	3.003319
 190	9.5000e-002	2067.443848	2.954401
 191	9.5500e-002	2019.538879	2.924508
 192	9.6000e-002	1964.904785	2.868796
 193	9.6500e-002	1919.082642	2.822597
 194	9.7000e-002	1869.735718	2.773000
 195	9.7500e-002	1814.941406	2.736991
 196	9.8000e-002	1767.517090	2.677883
 197	9.8500e-002	1719.291687	2.639157
 198	9.9000e-002	1663.696289	2.609263
 199	9.9500e-002	1618.034363	2.535207
 200	1.0000e-001	1568.847656	2.478137
 201	1.0050e-001	1520.942688	2.442808
 202	1.0100e-001	1473.838806	2.392532
 203	1.0150e-001	1421.127319	2.331385
 204	1.0200e-001	1368.415833	2.275674
 205	1.0250e-001	1321.632385	2.238986
 206	1.0300e-001	1272.926331	2.179877
 207	1.0350e-001	1219.734192	2.146587
 208	1.0400e-001	1178.878784	2.092234
 209	1.0450e-001	1124.885559	2.027690
 210	1.0500e-001	1072.814941	1.986246
 211	1.0550e-001	1024.269104	1.927817
 212	1.0600e-001	972.198486	1.863953
 213	1.0650e-001	923.492432	1.793974
 214	1.0700e-001	873.504639	1.736225
 215	1.0750e-001	822.395325	1.673040
 216	1.0800e-001	770.164490	1.629558
 217	1.0850e-001	723.541260	1.567732
 218	1.0900e-001	670.989990	1.484165
 219	1.0950e-001	618.278503	1.437965
 220	1.1000e-001	570.693970	1.370704
 221	1.1050e-001	521.026611	1.304801
 222	1.1100e-001	469.596863	1.254525
 223	1.1150e-001	422.813416	1.165523
 224	1.1200e-001	374.908447	1.098261
 225	1.1250e-001	325.401306	1.032359
 226	1.1300e-001	277.175903	0.946074
 227	1.1350e-001	224.784851	0.869301
 228	1.1400e-001	171.272278	0.788452
 229	1.1450e-001	125.450134	0.705564
 230	1.1500e-001	77.064514	0.616562
 231	1.1550e-001	24.513245	0.522804
 232	1.1600e-001	-24.192810	0.417496
 233	1.1650e-001	-73.860168	0.329173
 234	1.1700e-001	-126.411438	0.219109
 235	1.1750e-001	-172.393799	0.089342
 236	1.1800e-001	-222.381592	-0.026837
 237	1.1850e-001	-274.452209	-0.155924
 238	1.1900e-001	-321.876526	-0.306752
 239	1.1950e-001	-373.146057	-0.455542
 240	1.2000e-001	-425.697327	-0.624035
 241	1.2050e-001	-472.160339	-0.797964
 242	1.2100e-001	-522.789001	-0.957624
 243	1.2150e-001	-576.942444	-1.120682
 244	1.2200e-001	-623.405457	-1.281701
 245	1.2250e-001	-666.503906	-1.446797
 246	1.2300e-001	-723.381042	-1.626840
 247	1.2350e-001	-770.004272	-1.794654
 248	1.2400e-001	-821.273804	-2.004590
 249	1.2450e-001	-869.338989	-2.177839
 250	1.2500e-001	-916.122437	-2.383700
 251	1.2550e-001	-968.032837	-2.542681
 252	1.2600e-001	-1021.064758	-2.717968
 253	1.2650e-001	-1068.489075	-2.882384
 254	1.2700e-001	-1120.399475	-3.052236
 255	1.2750e-001	-1171.348572	-3.241791
 256	1.2800e-001	-1218.933105	-3.411642
 257	1.2850e-001	-1269.721985	-3.548203
 258	1.2900e-001	-1323.554993	-3.644679
 259	1.2950e-001	-1370.018005	-3.733002
 260	1.3000e-001	-1420.967102	-3.802301
 261	1.3050e-001	-1472.877502	-3.872960
 262	1.3100e-001	-1515.815735	-3.931389
 263	1.3150e-001	-1568.527222	-4.000009
 264	1.3200e-001	-1623.001099	-4.052323
 265	1.3250e-001	-1664.497375	-4.112790
 266	1.3300e-001	-1722.496033	-4.175975
 267	1.3350e-001	-1767.356873	-4.237122
 268	1.3400e-001	-1816.864014	-4.287398
 269	1.3450e-001	-1866.851807	-4.337674
 270	1.3500e-001	-1917.640686	-4.394065
 271	1.3550e-001	-1963.302612	-4.460647
 272	1.3600e-001	-2013.610840	-4.525870
 273	1.3650e-001	-2065.841675	-4.568673
 274	1.3700e-001	-2115.669250	-4.631178
 275	1.3750e-001	-2163.414001	-4.689607
 276	1.3800e-001	-2220.611572	-4.740563
 277	1.3850e-001	-2265.312195	-4.793556
 278	1.3900e-001	-2317.222595	-4.845191
 279	1.3950e-001	-2369.132996	-4.902261
 280	1.4000e-001	-2418.159485	-4.947782
 281	1.4050e-001	-2463.340759	-5.011646
 282	1.4100e-001	-2516.853333	-5.046975
 283	1.4150e-001	-2563.636780	-5.118313
 284	1.4200e-001	-2614.906311	-5.167230
 285	1.4250e-001	-2668.739319	-5.241286
 286	1.4300e-001	-2713.920593	-5.289523
 287	1.4350e-001	-2762.466431	-5.352029
 288	1.4400e-001	-2815.818787	-5.405702
 289	1.4450e-001	-2861.160278	-5.470925
 290	1.4500e-001	-2913.551331	-5.527316
 291	1.4550e-001	-2964.660645	-5.591860
 292	1.4600e-001	-3009.521484	-5.657762
 293	1.4650e-001	-3060.310364	-5.704641
 294	1.4700e-001	-3117.027283	-5.773941
 295	1.4750e-001	-3159.484863	-5.832370
 296	1.4800e-001	-3212.036133	-5.894196
 297	1.4850e-001	-3263.305664	-5.941075
 298	1.4900e-001	-3311.370850	-6.004260
 299	1.4950e-001	-3361.198425	-6.067445
 300	1.5000e-001	-3415.992737	-6.121118
 301	1.5050e-001	-3461.814880	-6.187020
 302	1.5100e-001	-3429.450989	-6.172753
 303	1.5150e-001	-3381.546021	-6.129950
 304	1.5200e-001	-3331.398010	-6.095980
 305	1.5250e-001	-3277.725220	-6.065406
 306	1.5300e-001	-3230.941772	-6.015810
