»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V «««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»	 Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp Serial:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««

Stored:	6/5/2018 - 6:25:18
Configured:	06/05/18 06:17:06 AM
Executed:	06/05/18 06:18:35 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	6.20e-005
Sample Thickness (µm):	1.00e-001
Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	190.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V Info ««««««««««««««««««««««««««««««««««
Task Name:	I/V-2
Max Volts:	3.00
Soak Time (ms):	100.00
Measure Time (ms):	100.00
Step Delay (ms):	0
Preset Pulse Volts:	3.00
Preset Pulse Width (ms):	0.40
Profile:	Unswitched Triangular
Plot:	ERROR - Unknown Plot Parameter

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««
Points:	98

Valid Data

Point	Field (kV/cm)	Current (Amps)	Resistance (Ohms)	Resistivity (Ohms·cm)
     1	0.000000	1.681606810672e-012	9.07393e+008	5.62584e+009
     2	12.500000	1.053961207918e-011	1.19802e+010	7.42771e+010
     3	25.000000	2.528930441071e-011	9.85905e+009	6.11261e+010
     4	37.500000	4.851143767271e-011	7.69994e+009	4.77396e+010
     5	50.000000	8.133921336410e-011	6.12027e+009	3.79457e+010
     6	62.500000	1.316004495077e-010	4.73357e+009	2.93481e+010
     7	75.000000	2.105772150613e-010	3.56331e+009	2.20925e+010
     8	87.500000	3.043424706486e-010	2.87761e+009	1.78412e+010
     9	100.000000	3.610065453873e-010	2.76872e+009	1.71661e+010
    10	112.500000	3.247619526563e-010	3.46112e+009	2.14589e+010
    11	125.000000	2.229271669303e-010	5.60516e+009	3.47520e+010
    12	137.500000	1.309715346109e-010	1.04907e+010	6.50421e+010
    13	150.000000	8.975950172289e-011	1.66877e+010	1.03464e+011
    14	162.500000	7.756791728883e-011	2.09433e+010	1.29848e+011
    15	175.000000	7.435135938287e-011	2.35455e+010	1.45982e+011
    16	187.500000	6.768553273788e-011	2.76859e+010	1.71652e+011
    17	200.000000	6.171052492783e-011	3.23792e+010	2.00751e+011
    18	212.500000	6.080644675324e-011	3.49221e+010	2.16517e+011
    19	225.000000	6.180568103556e-011	3.63758e+010	2.25530e+011
    20	237.500000	5.970148373375e-011	3.97882e+010	2.46687e+011
    21	250.000000	5.988456896415e-011	4.17419e+010	2.58800e+011
    22	262.500000	6.126975008405e-011	4.28042e+010	2.65386e+011
    23	275.000000	6.679333817308e-011	4.11651e+010	2.55224e+011
    24	287.500000	7.122124690374e-011	4.03412e+010	2.50116e+011
    25	300.000000	7.760607455646e-011	3.86473e+010	2.39613e+011
    26	287.500000	6.234594498675e-011	4.61195e+010	2.85941e+011
    27	275.000000	5.362238794121e-011	5.12976e+010	3.18045e+011
    28	262.500000	4.846817143502e-011	5.41492e+010	3.35725e+011
    29	250.000000	4.441772743383e-011	5.62512e+010	3.48757e+011
    30	237.500000	4.211792052869e-011	5.63647e+010	3.49461e+011
    31	225.000000	4.124165268984e-011	5.45413e+010	3.38156e+011
    32	212.500000	3.715718644936e-011	5.71427e+010	3.54284e+011
    33	200.000000	3.936055633413e-011	5.07863e+010	3.14875e+011
    34	187.500000	3.626864461703e-011	5.16807e+010	3.20420e+011
    35	175.000000	3.836499148901e-011	4.55795e+010	2.82593e+011
    36	162.500000	3.964523973773e-011	4.09901e+010	2.54138e+011
    37	150.000000	3.994736315693e-011	3.75192e+010	2.32619e+011
    38	137.500000	4.447760642437e-011	3.09069e+010	1.91623e+011
    39	125.000000	5.593248509815e-011	2.23225e+010	1.38399e+011
    40	112.500000	7.963984241708e-011	1.41313e+010	8.76139e+010
    41	100.000000	1.015870028270e-010	9.84663e+009	6.10491e+010
    42	87.500000	9.847519479908e-011	8.86860e+009	5.49853e+010
    43	75.000000	7.960770550330e-011	9.40836e+009	5.83318e+010
    44	62.500000	5.715441308261e-011	1.09366e+010	6.78071e+010
    45	50.000000	3.557509953400e-011	1.40556e+010	8.71449e+010
