»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V «««««««««««««««««««««««««««««««««««
»»»  Executed Version:		5.12.0
»»»  Vision Version:		5.12.5 (R)
»»»	 Vision Compiled:		2/24/17
»»»  Driver Version:		5.12.4
»»»  Windows Version:		Windows 7
»»»  Processor Information:		x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:		PMF0910-256
»»»  Tester S/N:		PMF0910-256
»»»  Internal Amp Type:		 RTI 100V      
»»»  Internal Amp Serial:		 iAB1-0000     
»»»  Execution Count:		1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««

Stored:		8/31/2017 - 20:29:39
Configured:		08/31/17 08:19:25 PM
Executed:		08/31/17 08:19:50 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««
Sample Name:		63
Lot Name:		
Wafer Name:		
Die Row/Column:		1/1
Capacitor Number:		1
Sample Area (cm2):		1.96e-005
Sample Thickness (µm):		1.00e-001
Mux Loop Adjustment:		Disabled

Amplifier:		Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:		PMF0910-256
Tester Serial Number:		PMF0910-256
Return Signal Amp. Level:		190.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V Info ««««««««««««««««««««««««««««««««««
Task Name:		IV
Max Volts:		1.00
Soak Time (ms):		1.00
Measure Time (ms):		100.00
Step Delay (ms):		0
Preset Monopolar Triangle Volts:		3.00
Preset Period (ms):		2.00
Profile:		Unswitched Triangular
Plot:		ERROR - Unknown Plot Parameter

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««
Points:		98

Valid Data

Point		Drive Voltage		Current (Amps)		Resistance (Ohms)		Resistivity (Ohms·cm)
    65		-0.625000		1.300737757582e-009		4.81024e+008		9.44443e+008
    66		-0.666667		1.315625072457e-009		5.06084e+008		9.93646e+008
    67		-0.708333		1.310436819543e-009		5.40691e+008		1.06159e+009
    68		-0.750000		1.362445521722e-009		5.50178e+008		1.08022e+009
    69		-0.791667		1.497640132321e-009		5.28124e+008		1.03692e+009
    70		-0.833333		1.515064856715e-009		5.50602e+008		1.08105e+009
    71		-0.875000		1.403467608115e-009		6.22651e+008		1.22251e+009
    72		-0.916667		1.373640117446e-009		6.67941e+008		1.31144e+009
    73		-0.958333		1.504606899023e-009		6.37183e+008		1.25104e+009
    74		-1.000000		1.600463436615e-009		6.24428e+008		1.22600e+009
    75		-0.958333		1.427915158798e-009		6.71138e+008		1.31771e+009
    76		-0.916667		1.444161329037e-009		6.34955e+008		1.24667e+009
    77		-0.875000		1.424627556583e-009		6.14474e+008		1.20646e+009
    78		-0.833333		1.397762607600e-009		5.96700e+008		1.17156e+009
    79		-0.791667		1.354481082039e-009		5.84562e+008		1.14773e+009
    80		-0.750000		1.252730046668e-009		5.98303e+008		1.17471e+009
    81		-0.708333		1.289980511307e-009		5.48615e+008		1.07715e+009
    82		-0.666667		1.126628777369e-009		5.91050e+008		1.16047e+009
    83		-0.625000		1.105567512912e-009		5.65597e+008		1.11049e+009
    84		-0.583333		1.104371586870e-009		5.27246e+008		1.03519e+009
    85		-0.541667		9.560678579876e-010		5.66738e+008		1.11273e+009
    86		-0.500000		8.993305468564e-010		5.54731e+008		1.08916e+009
    87		-0.458333		7.543192366126e-010		6.07868e+008		1.19349e+009
    88		-0.416667		6.445614305530e-010		6.46750e+008		1.26983e+009
    89		-0.375000		5.264812977313e-010		7.11378e+008		1.39672e+009
    90		-0.333333		4.661128824900e-010		7.15287e+008		1.40439e+009
    91		-0.291667		3.753867123443e-010		7.77600e+008		1.52674e+009
    92		-0.250000		3.075053963756e-010		8.12795e+008		1.59584e+009
    93		-0.208333		2.201520768252e-010		9.40193e+008		1.84598e+009
    94		-0.166667		1.551985035696e-010		1.08297e+009		2.12631e+009
    95		-0.125000		9.919963815878e-011		1.26362e+009		2.48100e+009
    96		-0.083333		5.744939331805e-011		1.44754e+009		2.84210e+009
    97		-0.041667		2.071816437018e-011		1.95171e+009		3.83198e+009
    98		0.000000		8.924719580536e-013		2.56458e+008		5.03530e+008



I/V Version: 5.12.0 - Radiant Technologies, Inc., 2001 - 11/30/16

