»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	8/1/2018 - 10:11:0
Configured:	08/01/18 09:14:22 AM
Executed:	08/01/18 10:10:38 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	6.20e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	2.0 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	3.00
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	2.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	401

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
   1	5.0000e-004	0.122070	-31.499009
   2	1.0000e-003	5.775452	-31.368562
   3	1.5000e-003	12.153625	-31.138923
   4	2.0000e-003	17.723083	-30.863084
   5	2.5000e-003	23.658752	-30.512510
   6	3.0000e-003	29.563904	-30.101468
   7	3.5000e-003	35.713196	-29.505628
   8	4.0000e-003	41.740417	-28.797686
   9	4.5000e-003	47.615051	-27.905625
  10	5.0000e-003	53.489685	-26.816535
  11	5.5000e-003	59.616089	-25.527021
  12	6.0000e-003	65.200806	-24.019417
  13	6.5000e-003	71.464539	-22.309349
  14	7.0000e-003	77.392578	-20.371680
  15	7.5000e-003	83.251953	-18.236983
  16	8.0000e-003	89.271545	-15.897785
  17	8.5000e-003	94.848633	-13.333023
  18	9.0000e-003	101.127625	-10.637136
  19	9.5000e-003	106.895447	-7.757809
  20	1.0000e-002	113.189697	-4.729013
  21	1.0500e-002	119.155884	-1.655375
  22	1.1000e-002	124.847412	1.450194
  23	1.1500e-002	131.019592	4.593131
  24	1.2000e-002	137.115479	7.667448
  25	1.2500e-002	142.845154	10.641213
  26	1.3000e-002	149.047852	13.565381
  27	1.3500e-002	155.204773	16.473922
  28	1.4000e-002	161.079407	19.376349
  29	1.4500e-002	167.243958	22.309349
  30	1.5000e-002	173.118591	25.297381
  31	1.5500e-002	179.168701	28.330934
  32	1.6000e-002	184.799194	31.380112
  33	1.6500e-002	190.917969	34.445597
  34	1.7000e-002	196.952820	37.465561
  35	1.7500e-002	203.132629	40.459029
  36	1.8000e-002	209.136963	43.334279
  37	1.8500e-002	215.194702	46.015899
  38	1.9000e-002	221.321106	48.417603
  39	1.9500e-002	227.539063	50.412342
  40	2.0000e-002	233.467102	51.888014
  41	2.0500e-002	239.799500	52.803854
  42	2.1000e-002	245.841980	53.393580
  43	2.1500e-002	252.220154	53.806659
  44	2.2000e-002	257.492065	54.130736
  45	2.2500e-002	263.885498	54.386193
  46	2.3000e-002	269.699097	54.644368
  47	2.3500e-002	275.718689	54.895749
  48	2.4000e-002	282.150269	55.116556
  49	2.4500e-002	287.956238	55.339401
  50	2.5000e-002	293.678284	55.575156
  51	2.5500e-002	299.964905	55.772863
  52	2.6000e-002	293.708801	55.734816
  53	2.6500e-002	287.696838	55.582629
  54	2.7000e-002	281.791687	55.464412
  55	2.7500e-002	275.642395	55.341440
  56	2.8000e-002	269.760132	55.172267
  57	2.8500e-002	264.068604	55.035027
  58	2.9000e-002	258.018494	54.882160
  59	2.9500e-002	251.930237	54.729973
  60	3.0000e-002	245.468140	54.552648
  61	3.0500e-002	239.677429	54.402499
  62	3.1000e-002	233.825684	54.222456
  63	3.1500e-002	227.958679	54.051925
  64	3.2000e-002	221.931458	53.873241
  65	3.2500e-002	216.033936	53.689801
  66	3.3000e-002	210.006714	53.509079
  67	3.3500e-002	203.926086	53.296424
  68	3.4000e-002	197.639465	53.119099
  69	3.4500e-002	191.925049	52.914598
  70	3.5000e-002	186.019897	52.701264
  71	3.5500e-002	179.718018	52.486571
  72	3.6000e-002	173.767090	52.293620
  73	3.6500e-002	167.602539	52.074171
