»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V «««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»	 Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp Serial:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««

Stored:	5/23/2018 - 7:4:57
Configured:	05/23/18 06:47:10 AM
Executed:	05/23/18 06:47:34 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	1.00e-001
Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	190.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V Info ««««««««««««««««««««««««««««««««««
Task Name:	I/V-2
Max Volts:	3.00
Soak Time (ms):	100.00
Measure Time (ms):	100.00
Step Delay (ms):	0
Preset Pulse Volts:	3.00
Preset Pulse Width (ms):	0.40
Profile:	Unswitched Triangular
Plot:	ERROR - Unknown Plot Parameter

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««
Points:	98

Valid Data

Point	Field (kV/cm)	Current (Amps)	Resistance (Ohms)	Resistivity (Ohms·cm)
     1	0.000000	6.096457253181e-012	1.62688e+008	1.27775e+009
     2	12.500000	5.818581395254e-010	2.14777e+008	1.68686e+009
     3	25.000000	1.172574255556e-009	2.12438e+008	1.66849e+009
     4	37.500000	1.753873744999e-009	2.14021e+008	1.68092e+009
     5	50.000000	2.336911235716e-009	2.14003e+008	1.68078e+009
     6	62.500000	2.910139979291e-009	2.14373e+008	1.68369e+009
     7	75.000000	3.484905325804e-009	2.15161e+008	1.68988e+009
     8	87.500000	4.158195077087e-009	2.10248e+008	1.65129e+009
     9	100.000000	4.838980702776e-009	2.06368e+008	1.62082e+009
    10	112.500000	5.798795821534e-009	1.94103e+008	1.52449e+009
    11	125.000000	6.863369451912e-009	1.82515e+008	1.43348e+009
    12	137.500000	7.517855283689e-009	1.83107e+008	1.43812e+009
    13	150.000000	8.449710009933e-009	1.77595e+008	1.39483e+009
    14	162.500000	9.322989825430e-009	1.74258e+008	1.36862e+009
    15	175.000000	1.054574496011e-008	1.65874e+008	1.30278e+009
    16	187.500000	1.157053274637e-008	1.61898e+008	1.27155e+009
    17	200.000000	1.266000557694e-008	1.57801e+008	1.23937e+009
    18	212.500000	1.413769249107e-008	1.50282e+008	1.18031e+009
    19	225.000000	1.528156210260e-008	1.46921e+008	1.15392e+009
    20	237.500000	1.683298706447e-008	1.41162e+008	1.10868e+009
    21	250.000000	1.857861765771e-008	1.34608e+008	1.05721e+009
    22	262.500000	1.978283238633e-008	1.32543e+008	1.04099e+009
    23	275.000000	2.176812503100e-008	1.26353e+008	9.92378e+008
    24	287.500000	2.386743502899e-008	1.20508e+008	9.46466e+008
    25	300.000000	2.574031664854e-008	1.16529e+008	9.15220e+008
    26	287.500000	2.376694238602e-008	1.20921e+008	9.49712e+008
    27	275.000000	2.161443735069e-008	1.27132e+008	9.98492e+008
    28	262.500000	1.948244706060e-008	1.34473e+008	1.05615e+009
    29	250.000000	1.724196225350e-008	1.44973e+008	1.13862e+009
    30	237.500000	1.596562855584e-008	1.48726e+008	1.16809e+009
    31	225.000000	1.445577197650e-008	1.55467e+008	1.22104e+009
    32	212.500000	1.295634836508e-008	1.64008e+008	1.28812e+009
    33	200.000000	1.173054007067e-008	1.70688e+008	1.34058e+009
    34	187.500000	1.062851714078e-008	1.76728e+008	1.38802e+009
    35	175.000000	9.572619197507e-009	1.82705e+008	1.43496e+009
    36	162.500000	8.403679554975e-009	1.93284e+008	1.51805e+009
    37	150.000000	7.711022321400e-009	1.94351e+008	1.52643e+009
    38	137.500000	6.757107646807e-009	2.03587e+008	1.59897e+009
    39	125.000000	5.983686535797e-009	2.08646e+008	1.63871e+009
