»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/5/2018 - 7:3:39
Configured:	06/05/18 05:57:41 AM
Executed:	06/05/18 07:02:29 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	6.20e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	3.00
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	8.00e+000
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
   1	4.0000e-003	-20.385742	-11.848586
   2	8.0000e-003	-19.004822	-11.780054
   3	1.2000e-002	-17.967224	-11.665604
   4	1.6000e-002	-16.853333	-11.538134
   5	2.0000e-002	-15.640259	-11.359949
   6	2.4000e-002	-14.320374	-11.144072
   7	2.8000e-002	-13.122559	-10.876110
   8	3.2000e-002	-11.947632	-10.538245
   9	3.6000e-002	-10.955811	-10.219568
  10	4.0000e-002	-9.666443	-9.843325
  11	4.4000e-002	-8.171082	-9.409514
  12	4.8000e-002	-7.072449	-8.955829
  13	5.2000e-002	-6.004333	-8.505570
  14	5.6000e-002	-4.646301	-7.955939
  15	6.0000e-002	-3.471375	-7.400141
  16	6.4000e-002	-2.067566	-6.816929
  17	6.8000e-002	-1.197815	-6.205619
  18	7.2000e-002	-0.022888	-5.584714
  19	7.6000e-002	1.182556	-4.925432
  20	8.0000e-002	2.319336	-4.247645
  21	8.4000e-002	3.959656	-3.534222
  22	8.8000e-002	4.859924	-2.739930
  23	9.2000e-002	5.996704	-2.000464
  24	9.6000e-002	7.591248	-1.195892
  25	1.0000e-001	8.331299	-0.396118
  26	1.0400e-001	9.826660	0.462594
  27	1.0800e-001	11.070251	1.333643
  28	1.1200e-001	12.039185	2.287615
  29	1.1600e-001	13.336182	3.154552
  30	1.2000e-001	14.396667	4.103727
  31	1.2400e-001	15.869141	5.096763
  32	1.2800e-001	16.921997	6.060330
  33	1.3200e-001	18.142700	7.083521
  34	1.3600e-001	19.187927	8.119732
  35	1.4000e-001	20.347595	9.216252
  36	1.4400e-001	21.369934	10.275080
  37	1.4800e-001	22.850037	11.332536
  38	1.5200e-001	23.986816	12.465379
  39	1.5600e-001	25.192261	13.585885
  40	1.6000e-001	26.435852	14.702965
  41	1.6400e-001	27.893066	15.826899
  42	1.6800e-001	28.854370	16.937811
  43	1.7200e-001	30.067444	18.109031
  44	1.7600e-001	31.303406	19.216517
  45	1.8000e-001	32.501221	20.328114
  46	1.8400e-001	33.531189	21.399277
  47	1.8800e-001	34.858704	22.485518
  48	1.9200e-001	35.911560	23.508023
  49	1.9600e-001	37.261963	24.521618
  50	2.0000e-001	38.421631	25.422821
  51	2.0400e-001	39.680481	26.240414
  52	2.0800e-001	40.985107	27.034706
  53	2.1200e-001	42.030334	27.708380
  54	2.1600e-001	43.067932	28.345733
  55	2.2000e-001	44.433594	28.909755
  56	2.2400e-001	45.333862	29.354531
  57	2.2800e-001	46.951294	29.812328
  58	2.3200e-001	48.065186	30.196111
  59	2.3600e-001	49.018860	30.555906
  60	2.4000e-001	50.498962	30.849225
  61	2.4400e-001	51.513672	31.164475
  62	2.4800e-001	52.894592	31.376240
  63	2.5200e-001	54.023743	31.574299
  64	2.5600e-001	55.305481	31.818275
  65	2.6000e-001	56.365967	32.021131
  66	2.6400e-001	57.815552	32.194519
  67	2.6800e-001	58.868408	32.347346
  68	2.7200e-001	60.035706	32.465222
  69	2.7600e-001	61.439514	32.674932
  70	2.8000e-001	62.484741	32.801717
  71	2.8400e-001	63.888550	32.925075
  72	2.8800e-001	64.964294	33.086812
  73	2.9200e-001	66.040039	33.171107
  74	2.9600e-001	67.459106	33.274591
  75	3.0000e-001	68.572998	33.405488
  76	3.0400e-001	69.938660	33.506231
  77	3.0800e-001	71.067810	33.590526
  78	3.1200e-001	72.097778	33.671394
  79	3.1600e-001	73.600769	33.747465
  80	3.2000e-001	74.630737	33.835187
  81	3.2400e-001	75.790405	33.920853
  82	3.2800e-001	77.056885	34.002406
  83	3.3200e-001	78.323364	34.069568
  84	3.3600e-001	79.223633	34.161402
  85	3.4000e-001	80.482483	34.257347
  86	3.4400e-001	81.542969	34.268312
  87	3.4800e-001	82.832336	34.348496
  88	3.5200e-001	84.190369	34.400580
  89	3.5600e-001	85.350037	34.462945
  90	3.6000e-001	86.357117	34.517771
  91	3.6400e-001	87.745667	34.594527
  92	3.6800e-001	88.935852	34.638388
  93	3.7200e-001	89.973450	34.687731
  94	3.7600e-001	91.377258	34.758320
  95	3.8000e-001	92.384338	34.801495
  96	3.8400e-001	93.536377	34.850839
  97	3.8800e-001	94.963074	34.908406
  98	3.9200e-001	95.870972	34.955694
  99	3.9600e-001	97.251892	35.017373
 100	4.0000e-001	98.609924	35.024911
 101	4.0400e-001	99.815369	35.103039
 102	4.0800e-001	100.906372	35.153753
 103	4.1200e-001	102.195740	35.172256
 104	4.1600e-001	103.553772	35.243530
 105	4.2000e-001	104.782104	35.276426
 106	4.2400e-001	105.880737	35.318231
 107	4.2800e-001	106.987000	35.344958
 108	4.3200e-001	107.955933	35.390190
 109	4.3600e-001	109.436035	35.438162
 110	4.4000e-001	110.816956	35.453240
 111	4.4400e-001	111.984253	35.538905
 112	4.4800e-001	113.059998	35.558780
 113	4.5200e-001	114.097595	35.596473
 114	4.5600e-001	115.409851	35.619774
 115	4.6000e-001	116.737366	35.671858
 116	4.6400e-001	117.332458	35.699271
 117	4.6800e-001	118.911743	35.735594
 118	4.7200e-001	120.262146	35.779454
 119	4.7600e-001	121.299744	35.816462
 120	4.8000e-001	122.344971	35.863749
 121	4.8400e-001	123.619080	35.882253
 122	4.8800e-001	124.923706	35.926799
 123	4.9200e-001	126.266479	35.967919
 124	4.9600e-001	127.151489	35.952842
 125	5.0000e-001	128.448486	36.046731
 126	5.0400e-001	129.508972	36.063179
 127	5.0800e-001	130.889893	36.096760
 128	5.1200e-001	132.331848	36.127600
 129	5.1600e-001	133.354187	36.155698
 130	5.2000e-001	134.567261	36.172146
 131	5.2400e-001	135.818481	36.235196
 132	5.2800e-001	136.528015	36.257811
 133	5.3200e-001	138.206482	36.292763
 134	5.3600e-001	139.396667	36.330456
 135	5.4000e-001	140.617371	36.346904
 136	5.4400e-001	141.700745	36.392135
 137	5.4800e-001	143.104553	36.424345
 138	5.5200e-001	144.203186	36.449702
 139	5.5600e-001	145.309448	36.507270
 140	5.6000e-001	146.553040	36.515494
 141	5.6400e-001	147.666931	36.522347
 142	5.6800e-001	149.009705	36.577173
 143	5.7200e-001	150.085449	36.603215
 144	5.7600e-001	151.390076	36.631999
 145	5.8000e-001	152.397156	36.679972
 146	5.8400e-001	153.579712	36.684084
 147	5.8800e-001	154.891968	36.721776
 148	5.9200e-001	156.082153	36.751931
 149	5.9600e-001	157.463074	36.771120
 150	6.0000e-001	158.584595	36.780029
 151	6.0400e-001	159.835815	36.838282
 152	6.0800e-001	160.942078	36.858156
 153	6.1200e-001	162.338257	36.882828
 154	6.1600e-001	163.124084	36.917094
 155	6.2000e-001	164.451599	36.948619
 156	6.2400e-001	165.893555	36.955472
 157	6.2800e-001	166.816711	36.995221
 158	6.3200e-001	168.075562	37.006872
 159	6.3600e-001	169.288635	37.056900
 160	6.4000e-001	170.631409	37.093908
 161	6.4400e-001	171.569824	37.111041
 162	6.4800e-001	173.210144	37.140510
 163	6.5200e-001	174.125671	37.161070
 164	6.5600e-001	175.369263	37.183686
 165	6.6000e-001	176.483154	37.206301
 166	6.6400e-001	177.696228	37.258386
 167	6.6800e-001	179.008484	37.268666
 168	6.7200e-001	180.503845	37.278260
 169	6.7600e-001	181.304932	37.343366
 170	6.8000e-001	182.357788	37.336513
 171	6.8400e-001	183.784485	37.374891
 172	6.8800e-001	184.867859	37.410528
 173	6.9200e-001	185.874939	37.430403
 174	6.9600e-001	187.461853	37.468781
 175	7.0000e-001	188.766479	37.498935
 176	7.0400e-001	189.628601	37.502362
 177	7.0800e-001	190.872192	37.528404
 178	7.1200e-001	192.428589	37.563356
 179	7.1600e-001	193.313599	37.579118
 180	7.2000e-001	194.541931	37.622979
 181	7.2400e-001	195.556641	37.634630
 182	7.2800e-001	196.914673	37.649707
 183	7.3200e-001	198.440552	37.651763
 184	7.3600e-001	199.501038	37.701106
 185	7.4000e-001	200.492859	37.732631
 186	7.4400e-001	201.835632	37.755247
 187	7.4800e-001	202.850342	37.775807
 188	7.5200e-001	204.162598	37.797052
 189	7.5600e-001	205.528259	37.841598
 190	7.6000e-001	206.420898	37.831318
 191	7.6400e-001	207.740784	37.861472
 192	7.6800e-001	209.075928	37.908074
 193	7.7200e-001	210.182190	37.921095
 194	7.7600e-001	211.395264	37.958103
 195	7.8000e-001	212.623596	37.978663
 196	7.8400e-001	213.508606	38.011558
 197	7.8800e-001	214.759827	38.023209
 198	7.9200e-001	216.148376	38.020468
 199	7.9600e-001	217.361450	38.130805
 200	8.0000e-001	218.696594	38.102021
 201	8.0400e-001	219.757080	38.134232
 202	8.0800e-001	221.054077	38.162330
 203	8.1200e-001	222.114563	38.189058
 204	8.1600e-001	223.472595	38.181519
 205	8.2000e-001	224.578857	38.197281
 206	8.2400e-001	225.837708	38.257590
 207	8.2800e-001	227.210999	38.277465
 208	8.3200e-001	228.034973	38.311045
 209	8.3600e-001	229.293823	38.308304
 210	8.4000e-001	230.735779	38.343941
 211	8.4400e-001	231.796265	38.359704
 212	8.4800e-001	232.772827	38.387117
 213	8.5200e-001	234.344482	38.391228
 214	8.5600e-001	235.282898	38.461817
 215	8.6000e-001	236.457825	38.468670
 216	8.6400e-001	237.815857	38.481006
 217	8.6800e-001	238.868713	38.521440
 218	8.7200e-001	239.952087	38.525552
 219	8.7600e-001	241.355896	38.552965
 220	8.8000e-001	242.729187	38.565301
 221	8.8400e-001	243.698120	38.605050
 222	8.8800e-001	245.201111	38.583120
 223	8.9200e-001	246.070862	38.647540
 224	8.9600e-001	247.245789	38.664673
 225	9.0000e-001	248.435974	38.679065
 226	9.0400e-001	250.068665	38.727723
 227	9.0800e-001	250.740051	38.728408
 228	9.1200e-001	252.311707	38.748968
 229	9.1600e-001	253.318787	38.790088
 230	9.2000e-001	254.356384	38.816815
 231	9.2400e-001	255.851746	38.829837
 232	9.2800e-001	256.881714	38.829151
 233	9.3200e-001	258.232117	38.875068
 234	9.3600e-001	259.391785	38.892201
 235	9.4000e-001	260.581970	38.949083
 236	9.4400e-001	261.756897	38.929209
 237	9.4800e-001	263.114929	38.966216
 238	9.5200e-001	264.091492	38.972384
 239	9.5600e-001	265.396118	38.990203
 240	9.6000e-001	266.510010	39.029266
 241	9.6400e-001	267.875671	39.058735
 242	9.6800e-001	269.096375	39.103281
 243	9.7200e-001	270.317078	39.091631
 244	9.7600e-001	271.507263	39.114246
 245	9.8000e-001	272.750854	39.121100
 246	9.8400e-001	273.773193	39.157422
 247	9.8800e-001	274.658203	39.186206
 248	9.9200e-001	276.100159	39.205395
 249	9.9600e-001	277.145386	39.235549
 250	1.0000e+000	278.465271	39.240346
 251	1.0040e+000	279.663086	39.269130
 252	1.0080e+000	278.350830	39.262962
 253	1.0120e+000	277.244568	39.215675
 254	1.0160e+000	276.008606	39.219787
 255	1.0200e+000	274.673462	39.183464
 256	1.0240e+000	273.933411	39.191688
 257	1.0280e+000	272.483826	39.151254
 258	1.0320e+000	271.347046	39.126582
 259	1.0360e+000	270.095825	39.123841
 260	1.0400e+000	269.012451	39.097113
 261	1.0440e+000	267.654419	39.074498
 262	1.0480e+000	266.426086	39.053253
 263	1.0520e+000	265.312195	39.045714
 264	1.0560e+000	263.908386	39.008021
 265	1.0600e+000	262.695313	38.997741
 266	1.0640e+000	261.802673	38.978552
 267	1.0680e+000	260.437012	38.965531
 268	1.0720e+000	259.300232	38.954566
 269	1.0760e+000	258.354187	38.951824
 270	1.0800e+000	256.889343	38.912076
 271	1.0840e+000	255.882263	38.884663
 272	1.0880e+000	254.524231	38.833949
 273	1.0920e+000	253.166199	38.866159
 274	1.0960e+000	252.174377	38.825039
 275	1.1000e+000	250.900269	38.804480
 276	1.1040e+000	249.748230	38.765416
 277	1.1080e+000	248.573303	38.746227
 278	1.1120e+000	247.192383	38.724982
 279	1.1160e+000	246.162415	38.716758
 280	1.1200e+000	245.040894	38.677694
 281	1.1240e+000	243.888855	38.660561
 282	1.1280e+000	242.607117	38.656449
 283	1.1320e+000	241.165161	38.620127
 284	1.1360e+000	239.959717	38.602994
 285	1.1400e+000	238.693237	38.592029
 286	1.1440e+000	237.922668	38.574896
 287	1.1480e+000	236.938477	38.543371
 288	1.1520e+000	235.298157	38.513216
 289	1.1560e+000	234.169006	38.492657
 290	1.1600e+000	233.154297	38.487174
 291	1.1640e+000	231.513977	38.460446
 292	1.1680e+000	230.400085	38.430977
 293	1.1720e+000	229.293823	38.415215
 294	1.1760e+000	228.019714	38.349424
 295	1.1800e+000	227.203369	38.322011
 296	1.1840e+000	226.158142	38.375466
 297	1.1880e+000	224.548340	38.324067
 298	1.1920e+000	223.434448	38.307619
 299	1.1960e+000	222.129822	38.300080
 300	1.2000e+000	220.726013	38.270611
 301	1.2040e+000	220.100403	38.264443
 302	1.2080e+000	218.734741	38.226065
 303	1.2120e+000	217.185974	38.202764
 304	1.2160e+000	216.400146	38.173295
 305	1.2200e+000	215.011597	38.160959
