»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V «««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.12.0
»»»  Vision Version:	5.12.5 (R)
»»»	 Vision Compiled:	2/24/17
»»»  Driver Version:	5.12.4
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF0910-256
»»»  Tester S/N:	PMF0910-256
»»»  Internal Amp Type:	 RTI 100V      
»»»  Internal Amp Serial:	 iAB1-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««

Stored:	8/4/2017 - 8:30:54
Configured:	08/04/17 08:24:15 AM
Executed:	08/04/17 08:24:54 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««
Sample Name:	63
Lot Name:	
Wafer Name:	
Die Row/Column:	1/1
Capacitor Number:	1
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	1.00e-001
Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF0910-256
Tester Serial Number:	PMF0910-256
Return Signal Amp. Level:	100.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V Info ««««««««««««««««««««««««««««««««««
Task Name:	IV
Max Volts:	4.00
Soak Time (ms):	1.00
Measure Time (ms):	1.00
Step Delay (ms):	0
Preset Monopolar Triangle Volts:	5.00
Preset Period (ms):	2.00
Profile:	Unswitched Triangular
Plot:	ERROR - Unknown Plot Parameter

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««
Points:	98

Valid Data

Point	Drive Voltage	Current (Amps)	Resistance (Ohms)	Resistivity (Ohms·cm)
     1	0.000000	7.683463196627e-010	1.98593e+005	1.55975e+006
     2	0.166667	2.411904553551e-009	6.93379e+007	5.44580e+008
     3	0.333333	5.411081807944e-009	6.21368e+007	4.88023e+008
     4	0.500000	8.160731861828e-009	6.12821e+007	4.81310e+008
     5	0.666667	1.255211340297e-008	5.30321e+007	4.16514e+008
     6	0.833333	1.962302853950e-008	4.24451e+007	3.33364e+008
     7	1.000000	4.560705800175e-008	2.19278e+007	1.72221e+008
     8	1.166667	7.476508680513e-008	1.55925e+007	1.22463e+008
     9	1.333333	3.881220059411e-008	3.44021e+007	2.70194e+008
    10	1.500000	1.486325960006e-008	1.00849e+008	7.92069e+008
    11	1.666667	8.549827916122e-009	1.94924e+008	1.53093e+009
    12	1.833333	6.834924943871e-009	2.68120e+008	2.10582e+009
    13	2.000000	5.838374725949e-009	3.42504e+008	2.69002e+009
    14	2.166667	5.241861711149e-009	4.13457e+008	3.24729e+009
    15	2.333333	5.060365509604e-009	4.61138e+008	3.62178e+009
    16	2.500000	4.890901344126e-009	5.11262e+008	4.01546e+009
    17	2.666667	4.889074847093e-009	5.45425e+008	4.28377e+009
    18	2.833333	4.808304935957e-009	5.89368e+008	4.62890e+009
    19	3.000000	4.929993069180e-009	6.08372e+008	4.77815e+009
    20	3.166667	4.993437607459e-009	6.34347e+008	4.98216e+009
    21	3.333333	4.860081228427e-009	6.85629e+008	5.38493e+009
    22	3.500000	4.924851341049e-009	7.10508e+008	5.58033e+009
    23	3.666667	4.930085533487e-009	7.44031e+008	5.84362e+009
    24	3.833333	4.925849278999e-009	7.78327e+008	6.11298e+009
    25	4.000000	5.317638875503e-009	7.51958e+008	5.90588e+009
    26	3.833333	4.609716226707e-009	8.31705e+008	6.53221e+009
    27	3.666667	4.624096897110e-009	7.93282e+008	6.23044e+009
    28	3.500000	4.272402207941e-009	8.19404e+008	6.43560e+009
    29	3.333333	4.012098945964e-009	8.30884e+008	6.52576e+009
    30	3.166667	4.326944582666e-009	7.32075e+008	5.74972e+009
    31	3.000000	4.224881650337e-009	7.10375e+008	5.57929e+009
    32	2.833333	4.277220827704e-009	6.62708e+008	5.20491e+009
    33	2.666667	4.643354895169e-009	5.74420e+008	4.51150e+009
    34	2.500000	4.538372200869e-009	5.50892e+008	4.32671e+009
    35	2.333333	4.877238395279e-009	4.78171e+008	3.75555e+009
    36	2.166667	5.266825765596e-009	4.11453e+008	3.23155e+009
    37	2.000000	5.360519988637e-009	3.73021e+008	2.92971e+009
    38	1.833333	5.628496289601e-009	3.25725e+008	2.55825e+009
    39	1.666667	6.140196281556e-009	2.71357e+008	2.13124e+009
    40	1.500000	7.363794488689e-009	2.03940e+008	1.60174e+009
    41	1.333333	1.076592431722e-008	1.23831e+008	9.72572e+008
    42	1.166667	1.956964805611e-008	5.96211e+007	4.68264e+008
    43	1.000000	1.968464140236e-008	5.07809e+007	3.98833e+008
    44	0.833333	1.343388581572e-008	6.20909e+007	4.87662e+008
    45	0.666667	9.378341821887e-009	7.10521e+007	5.58044e+008
    46	0.500000	6.833163947263e-009	7.29649e+007	5.73066e+008
    47	0.333333	4.408784571602e-009	7.54843e+007	5.92854e+008
    48	0.166667	2.225115250348e-009	7.50556e+007	5.89487e+008
    49	-0.000000	2.734445581809e-011	3.90615e+007	3.06789e+008
    50	0.000000	7.131450506295e-010	1.28379e+006	1.00829e+007
    51	-0.166667	1.836273332853e-009	9.03674e+007	7.09746e+008
    52	-0.333333	3.641317919423e-009	9.17501e+007	7.20605e+008
    53	-0.500000	5.610243450162e-009	8.88969e+007	6.98197e+008
    54	-0.666667	7.077369196948e-009	9.43141e+007	7.40743e+008
    55	-0.833333	8.479478964282e-009	9.82615e+007	7.71746e+008
    56	-1.000000	9.339008326057e-009	1.07092e+008	8.41104e+008
    57	-1.166667	9.554332428613e-009	1.22087e+008	9.58870e+008
    58	-1.333333	8.688716172119e-009	1.53453e+008	1.20522e+009
    59	-1.500000	7.293374255596e-009	2.05700e+008	1.61556e+009
    60	-1.666667	6.385436312389e-009	2.60756e+008	2.04798e+009
    61	-1.833333	5.833934363989e-009	3.14294e+008	2.46847e+009
    62	-2.000000	4.542183989231e-009	4.40142e+008	3.45688e+009
    63	-2.166667	3.632121145161e-009	5.96678e+008	4.68631e+009
    64	-2.333333	2.964936228242e-009	7.86758e+008	6.17920e+009
    65	-2.500000	2.429404015331e-009	1.02874e+009	8.07976e+009
    66	-2.666667	2.542165623438e-009	1.04917e+009	8.24017e+009
    67	-2.833333	2.229307159885e-009	1.27101e+009	9.98254e+009
    68	-3.000000	2.177176912450e-009	1.37749e+009	1.08188e+010
    69	-3.166667	2.259866564699e-009	1.40166e+009	1.10087e+010
    70	-3.333333	2.101219639311e-009	1.58610e+009	1.24572e+010
    71	-3.500000	2.313923876385e-009	1.51317e+009	1.18844e+010
    72	-3.666667	2.283831649247e-009	1.60593e+009	1.26130e+010
    73	-3.833333	2.190051315000e-009	1.75012e+009	1.37455e+010
    74	-4.000000	2.255028345131e-009	1.77419e+009	1.39345e+010
    75	-3.833333	2.034333739169e-009	1.88281e+009	1.47876e+010
    76	-3.666667	1.948723658557e-009	1.88260e+009	1.47860e+010
    77	-3.500000	2.001040350314e-009	1.74859e+009	1.37334e+010
    78	-3.333333	1.920487534088e-009	1.73564e+009	1.36317e+010
    79	-3.166667	2.002535362892e-009	1.58151e+009	1.24212e+010
    80	-3.000000	2.054547670281e-009	1.45911e+009	1.14599e+010
    81	-2.833333	2.262363382692e-009	1.25258e+009	9.83775e+009
    82	-2.666667	1.912373604340e-009	1.39576e+009	1.09623e+010
    83	-2.500000	1.874526513731e-009	1.33359e+009	1.04740e+010
    84	-2.333333	2.183516758527e-009	1.06877e+009	8.39413e+009
    85	-2.166667	2.285513667410e-009	9.48603e+008	7.45033e+009
    86	-2.000000	2.799063795567e-009	7.14405e+008	5.61093e+009
    87	-1.833333	3.225011377270e-009	5.68973e+008	4.46872e+009
    88	-1.666667	4.059318311001e-009	4.10515e+008	3.22419e+009
    89	-1.500000	5.153130819381e-009	2.90807e+008	2.28400e+009
    90	-1.333333	5.801494207898e-009	2.29559e+008	1.80296e+009
    91	-1.166667	6.658695122505e-009	1.75533e+008	1.37864e+009
    92	-1.000000	7.062510560859e-009	1.41526e+008	1.11154e+009
    93	-0.833333	7.029624425626e-009	1.18376e+008	9.29724e+008
    94	-0.666667	6.138785823749e-009	1.08771e+008	8.54291e+008
    95	-0.500000	4.526229715044e-009	1.10272e+008	8.66074e+008
    96	-0.333333	3.043323058485e-009	1.09427e+008	8.59443e+008
    97	-0.166667	1.388103010057e-009	1.19049e+008	9.35013e+008
    98	0.000000	1.023600797031e-010	8.19883e+006	6.43936e+007



I/V Version: 5.12.0 - Radiant Technologies, Inc., 2001 - 11/30/16

