»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V «««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»	 Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp Serial:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««

Stored:	5/23/2018 - 12:6:32
Configured:	05/23/18 06:47:10 AM
Executed:	05/23/18 11:50:56 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	1.00e-001
Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	190.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V Info ««««««««««««««««««««««««««««««««««
Task Name:	I/V-2
Max Volts:	3.00
Soak Time (ms):	100.00
Measure Time (ms):	100.00
Step Delay (ms):	0
Preset Pulse Volts:	3.00
Preset Pulse Width (ms):	0.40
Profile:	Unswitched Triangular
Plot:	ERROR - Unknown Plot Parameter

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««
Points:	98

Valid Data

Point	Field (kV/cm)	Current (Amps)	Resistance (Ohms)	Resistivity (Ohms·cm)
     1	0.000000	6.172963875218e-012	7.41562e+007	5.82423e+008
     2	12.500000	1.076807045543e-010	1.14497e+009	8.99258e+009
     3	25.000000	2.356134355414e-010	1.05886e+009	8.31627e+009
     4	37.500000	3.906693359275e-010	9.62000e+008	7.55555e+009
     5	50.000000	5.563372008861e-010	8.95911e+008	7.03648e+009
     6	62.500000	5.995793256530e-010	1.04431e+009	8.20198e+009
     7	75.000000	6.031630149565e-010	1.24567e+009	9.78350e+009
     8	87.500000	6.370017939908e-010	1.37161e+009	1.07726e+010
     9	100.000000	1.018625987131e-009	9.80127e+008	7.69792e+009
    10	112.500000	2.988267345393e-009	3.76483e+008	2.95689e+009
    11	125.000000	7.036827470377e-009	1.77496e+008	1.39405e+009
    12	137.500000	1.027802919459e-008	1.33711e+008	1.05016e+009
    13	150.000000	1.381815794662e-008	1.08416e+008	8.51498e+008
    14	162.500000	1.841139707563e-008	8.80857e+007	6.91825e+008
    15	175.000000	2.252120264390e-008	7.76822e+007	6.10116e+008
    16	187.500000	2.766396621798e-008	6.77336e+007	5.31979e+008
    17	200.000000	3.420165368280e-008	5.84847e+007	4.59339e+008
    18	212.500000	4.052243656831e-008	5.23990e+007	4.11542e+008
    19	225.000000	4.833436144367e-008	4.65520e+007	3.65619e+008
    20	237.500000	5.818647324639e-008	4.08267e+007	3.20653e+008
    21	250.000000	6.475569836662e-008	3.86137e+007	3.03272e+008
    22	262.500000	7.357875381202e-008	3.56912e+007	2.80319e+008
    23	275.000000	8.328734519709e-008	3.30056e+007	2.59226e+008
    24	287.500000	9.442404521379e-008	3.04137e+007	2.38869e+008
    25	300.000000	1.046476402249e-007	2.86512e+007	2.25026e+008
    26	287.500000	8.597225148284e-008	3.34524e+007	2.62735e+008
    27	275.000000	7.082729263796e-008	3.88109e+007	3.04821e+008
    28	262.500000	6.033234336610e-008	4.34857e+007	3.41537e+008
    29	250.000000	5.061905054935e-008	4.93840e+007	3.87862e+008
    30	237.500000	4.165866389329e-008	5.69897e+007	4.47597e+008
    31	225.000000	3.414773247549e-008	6.59098e+007	5.17656e+008
    32	212.500000	2.797673335991e-008	7.59129e+007	5.96220e+008
    33	200.000000	2.229896394816e-008	8.95999e+007	7.03718e+008
    34	187.500000	1.778269620958e-008	1.05615e+008	8.29504e+008
    35	175.000000	1.353953505562e-008	1.29051e+008	1.01356e+009
    36	162.500000	1.014997091154e-008	1.59932e+008	1.25611e+009
    37	150.000000	7.586800143757e-009	1.97814e+008	1.55363e+009
    38	137.500000	5.321918595963e-009	2.58704e+008	2.03186e+009
    39	125.000000	3.539607906105e-009	3.53491e+008	2.77632e+009
    40	112.500000	2.127705909135e-009	5.28538e+008	4.15113e+009
    41	100.000000	1.005893510341e-009	9.90789e+008	7.78165e+009
    42	87.500000	5.748867534910e-010	1.51822e+009	1.19241e+010
    43	75.000000	5.244588031613e-010	1.43348e+009	1.12585e+010
    44	62.500000	4.963077367786e-010	1.25792e+009	9.87967e+009
    45	50.000000	4.258331775385e-010	1.17334e+009	9.21545e+009
    46	37.500000	3.061458857004e-010	1.22436e+009	9.61611e+009
    47	25.000000	1.783503835389e-010	1.39369e+009	1.09461e+010
    48	12.500000	7.558434724364e-011	1.67760e+009	1.31759e+010
    49	0.000000	1.215906364463e-012	1.19218e+009	9.36342e+009
    50	0.000000	2.945378547951e-012	2.33126e+008	1.83097e+009
    51	-12.500000	5.203619301588e-011	2.39279e+009	1.87930e+010
    52	-25.000000	1.150422708343e-010	2.16065e+009	1.69697e+010
    53	-37.500000	2.014942759462e-010	1.86140e+009	1.46194e+010
    54	-50.000000	3.379670939878e-010	1.48291e+009	1.16468e+010
    55	-62.500000	5.131637085766e-010	1.21898e+009	9.57383e+009
    56	-75.000000	7.783984033140e-010	9.65144e+008	7.58024e+009
    57	-87.500000	9.984734885600e-010	8.74825e+008	6.87087e+009
    58	-100.000000	1.373685235294e-009	7.26458e+008	5.70560e+009
    59	-112.500000	1.714588136751e-009	6.57131e+008	5.16111e+009
    60	-125.000000	2.218253499957e-009	5.64125e+008	4.43064e+009
    61	-137.500000	2.564085845884e-009	5.36033e+008	4.21001e+009
    62	-150.000000	3.023058258323e-009	4.95586e+008	3.89233e+009
    63	-162.500000	3.309678891814e-009	4.91187e+008	3.85778e+009
    64	-175.000000	3.983425806729e-009	4.38907e+008	3.44717e+009
    65	-187.500000	4.580732528589e-009	4.09423e+008	3.21561e+009
    66	-200.000000	5.400190206397e-009	3.70267e+008	2.90808e+009
    67	-212.500000	6.490652647251e-009	3.27149e+008	2.56943e+009
    68	-225.000000	7.397955638556e-009	3.03858e+008	2.38650e+009
    69	-237.500000	8.789588945802e-009	2.70279e+008	2.12277e+009
    70	-250.000000	9.379269022446e-009	2.66684e+008	2.09453e+009
