»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V «««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»	 Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp Serial:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««

Stored:	8/30/2018 - 12:13:17
Configured:	08/30/18 11:52:12 AM
Executed:	08/30/18 11:53:35 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	6.20e-005
Sample Thickness (µm):	1.00e-001
Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	190.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V Info ««««««««««««««««««««««««««««««««««
Task Name:	I/V-2
Max Volts:	2.50
Soak Time (ms):	100.00
Measure Time (ms):	100.00
Step Delay (ms):	0
Preset Pulse Volts:	5.00
Preset Pulse Width (ms):	0.40
Profile:	Unswitched Triangular
Plot:	ERROR - Unknown Plot Parameter

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««
Points:	98

Valid Data

Point	Field (kV/cm)	Current (Amps)	Resistance (Ohms)	Resistivity (Ohms·cm)
     1	0.000000	1.365448620224e-011	1.39687e+008	8.66057e+008
     2	10.416667	6.727877979099e-009	1.54791e+007	9.59702e+007
     3	20.833333	1.367556412632e-008	1.51243e+007	9.37705e+007
     4	31.250000	2.122269123516e-008	1.46026e+007	9.05360e+007
     5	41.666667	3.058083306304e-008	1.35369e+007	8.39290e+007
     6	52.083333	3.981758461615e-008	1.30409e+007	8.08535e+007
     7	62.500000	5.319789941805e-008	1.17170e+007	7.26456e+007
     8	72.916667	6.271825782323e-008	1.15782e+007	7.17850e+007
     9	83.333333	7.713965424304e-008	1.07756e+007	6.68084e+007
    10	93.750000	8.931417721301e-008	1.04873e+007	6.50210e+007
    11	104.166667	1.074832411818e-007	9.70752e+006	6.01866e+007
    12	114.583333	1.220933455804e-007	9.37886e+006	5.81489e+007
    13	125.000000	1.409327812691e-007	8.87922e+006	5.50512e+007
    14	135.416667	1.692612797527e-007	7.99850e+006	4.95907e+007
    15	145.833333	1.886469884328e-007	7.67562e+006	4.75889e+007
    16	156.250000	2.298340906411e-007	6.80037e+006	4.21623e+007
    17	166.666667	2.603050752767e-007	6.40382e+006	3.97037e+007
    18	177.083333	2.984770403890e-007	5.93298e+006	3.67845e+007
    19	187.500000	3.291645371163e-007	5.68627e+006	3.52549e+007
    20	197.916667	3.989516155222e-007	4.95168e+006	3.07004e+007
    21	208.333333	4.794970173635e-007	4.33756e+006	2.68929e+007
    22	218.750000	6.093225349612e-007	3.58817e+006	2.22467e+007
    23	229.166667	8.199092817349e-007	2.79425e+006	1.73243e+007
    24	239.583333	1.138227868050e-006	2.10356e+006	1.30421e+007
    25	250.000000	1.649762151257e-006	1.51375e+006	9.38526e+006
    26	239.583333	1.205556952082e-006	1.98671e+006	1.23176e+007
    27	229.166667	8.668543486227e-007	2.64389e+006	1.63921e+007
    28	218.750000	6.636314767774e-007	3.29787e+006	2.04468e+007
    29	208.333333	5.630161600721e-007	3.70171e+006	2.29506e+007
