»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V «««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»	 Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp Serial:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««

Stored:	9/13/2018 - 12:15:40
Configured:	09/13/18 11:54:11 AM
Executed:	09/13/18 11:56:08 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	1.00e-001
Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	190.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V Info ««««««««««««««««««««««««««««««««««
Task Name:	I/V-2
Max Volts:	2.50
Soak Time (ms):	100.00
Measure Time (ms):	100.00
Step Delay (ms):	0
Preset Pulse Volts:	5.00
Preset Pulse Width (ms):	0.40
Profile:	Unswitched Triangular
Plot:	ERROR - Unknown Plot Parameter

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««
Points:	98

Valid Data

Point	Field (kV/cm)	Current (Amps)	Resistance (Ohms)	Resistivity (Ohms·cm)
     1	0.000000	5.067500661220e-012	2.71000e+008	2.12843e+009
     2	10.416667	1.878087429229e-008	5.47601e+006	4.30086e+007
     3	20.833333	3.798017465494e-008	5.45786e+006	4.28661e+007
     4	31.250000	5.895857546514e-008	5.30033e+006	4.16288e+007
     5	41.666667	7.980150599052e-008	5.20854e+006	4.09079e+007
     6	52.083333	1.008878180919e-007	5.17410e+006	4.06373e+007
     7	62.500000	1.257582151293e-007	4.95226e+006	3.88951e+007
     8	72.916667	1.509986748104e-007	4.81717e+006	3.78341e+007
     9	83.333333	1.752036603480e-007	4.76174e+006	3.73987e+007
    10	93.750000	2.024792773342e-007	4.62634e+006	3.63352e+007
    11	104.166667	2.370945782757e-007	4.38531e+006	3.44422e+007
    12	114.583333	2.745960635105e-007	4.17622e+006	3.28001e+007
    13	125.000000	3.204532334429e-007	3.89834e+006	3.06176e+007
    14	135.416667	3.727498427754e-007	3.62732e+006	2.84889e+007
    15	145.833333	4.265288532622e-007	3.42199e+006	2.68763e+007
    16	156.250000	4.879803181592e-007	3.19337e+006	2.50808e+007
    17	166.666667	5.334560184737e-007	3.12423e+006	2.45377e+007
    18	177.083333	5.987166958834e-007	2.95559e+006	2.32132e+007
    19	187.500000	6.622616717751e-007	2.82959e+006	2.22236e+007
    20	197.916667	7.173624864644e-007	2.76253e+006	2.16969e+007
    21	208.333333	8.070432980948e-007	2.57967e+006	2.02608e+007
    22	218.750000	9.162281593366e-007	2.38726e+006	1.87495e+007
    23	229.166667	1.026904916897e-006	2.22997e+006	1.75142e+007
    24	239.583333	1.144903336026e-006	2.09203e+006	1.64308e+007
    25	250.000000	1.317042791686e-006	1.89831e+006	1.49093e+007
    26	239.583333	1.132083048096e-006	2.11532e+006	1.66137e+007
    27	229.166667	9.881185239930e-007	2.31719e+006	1.81992e+007
    28	218.750000	8.820620470849e-007	2.47921e+006	1.94717e+007
    29	208.333333	7.826626091745e-007	2.66120e+006	2.09011e+007
    30	197.916667	6.798296474193e-007	2.91594e+006	2.29018e+007
    31	187.500000	6.169603542586e-007	3.03971e+006	2.38739e+007
    32	177.083333	5.459465022018e-007	3.24267e+006	2.54679e+007
    33	166.666667	4.858633249126e-007	3.43042e+006	2.69426e+007
    34	156.250000	4.300642279635e-007	3.63744e+006	2.85684e+007
    35	145.833333	3.833023401446e-007	3.79915e+006	2.98385e+007
    36	135.416667	3.358338526973e-007	4.02877e+006	3.16419e+007
    37	125.000000	2.928399436275e-007	4.26333e+006	3.34842e+007
    38	114.583333	2.606069633878e-007	4.38078e+006	3.44067e+007
    39	104.166667	2.312259928157e-007	4.49661e+006	3.53164e+007
    40	93.750000	2.028238914913e-007	4.65346e+006	3.65483e+007
    41	83.333333	1.749857356874e-007	4.75808e+006	3.73699e+007
    42	72.916667	1.525598353722e-007	4.78288e+006	3.75647e+007
    43	62.500000	1.284485061644e-007	4.86992e+006	3.82484e+007
    44	52.083333	1.054835134873e-007	4.94216e+006	3.88157e+007
    45	41.666667	8.094857388339e-008	5.11588e+006	4.01802e+007
    46	31.250000	5.779684167784e-008	5.36727e+006	4.21545e+007
    47	20.833333	3.865202201182e-008	5.40247e+006	4.24310e+007
    48	10.416667	1.909362647009e-008	5.39031e+006	4.23355e+007
    49	-0.000000	6.202532236480e-012	3.07511e+008	2.41519e+009
    50	0.000000	6.359576441289e-012	2.39934e+007	1.88444e+008
    51	-10.416667	1.895804677838e-008	5.34032e+006	4.19429e+007
    52	-20.833333	3.864475728812e-008	5.37388e+006	4.22064e+007
    53	-31.250000	5.978009754029e-008	5.24153e+006	4.11670e+007
    54	-41.666667	8.106469674070e-008	5.09820e+006	4.00413e+007
    55	-52.083333	1.071599185878e-007	4.85701e+006	3.81470e+007
    56	-62.500000	1.315102207589e-007	4.75828e+006	3.73716e+007
    57	-72.916667	1.579045216383e-007	4.63887e+006	3.64337e+007
    58	-83.333333	1.841461683987e-007	4.53257e+006	3.55988e+007
    59	-93.750000	2.115197851176e-007	4.43401e+006	3.48247e+007
    60	-104.166667	2.430351012343e-007	4.28001e+006	3.36152e+007
    61	-114.583333	2.682524004614e-007	4.28238e+006	3.36338e+007
    62	-125.000000	3.070911154602e-007	4.07567e+006	3.20103e+007
    63	-135.416667	3.340353002370e-007	4.05160e+006	3.18213e+007
    64	-145.833333	3.775894422399e-007	3.85885e+006	3.03074e+007
    65	-156.250000	4.043900685187e-007	3.84649e+006	3.02103e+007
    66	-166.666667	4.425986117496e-007	3.75472e+006	2.94896e+007
    67	-177.083333	4.735492980514e-007	3.73890e+006	2.93653e+007
    68	-187.500000	5.145277809322e-007	3.64516e+006	2.86291e+007
    69	-197.916667	5.620836615316e-007	3.51809e+006	2.76311e+007
    70	-208.333333	6.047841964365e-007	3.44518e+006	2.70584e+007
    71	-218.750000	6.540030552614e-007	3.34222e+006	2.62498e+007
    72	-229.166667	7.012843459028e-007	3.27441e+006	2.57172e+007
    73	-239.583333	7.850190778865e-007	3.05547e+006	2.39977e+007
    74	-250.000000	9.019391410114e-007	2.77341e+006	2.17824e+007
    75	-239.583333	7.895972374288e-007	3.03670e+006	2.38502e+007
    76	-229.166667	7.234672027254e-007	3.16600e+006	2.48658e+007
    77	-218.750000	6.671112296468e-007	3.27792e+006	2.57448e+007
    78	-208.333333	6.196030916000e-007	3.35822e+006	2.63755e+007
    79	-197.916667	5.566884550474e-007	3.55699e+006	2.79366e+007
    80	-187.500000	5.152785206499e-007	3.63762e+006	2.85699e+007
    81	-177.083333	4.915119087313e-007	3.60086e+006	2.82812e+007
    82	-166.666667	4.531757286598e-007	3.67702e+006	2.88793e+007
    83	-156.250000	4.222494913624e-007	3.70349e+006	2.90872e+007
    84	-145.833333	3.806744281429e-007	3.83159e+006	3.00933e+007
    85	-135.416667	3.532529067402e-007	3.83140e+006	3.00918e+007
    86	-125.000000	3.222059837226e-007	3.87856e+006	3.04622e+007
    87	-114.583333	2.869473523814e-007	3.98928e+006	3.13318e+007
    88	-104.166667	2.552212586631e-007	4.08312e+006	3.20688e+007
    89	-93.750000	2.246316379094e-007	4.16908e+006	3.27440e+007
    90	-83.333333	1.940205163180e-007	4.29442e+006	3.37284e+007
    91	-72.916667	1.667588358851e-007	4.36877e+006	3.43123e+007
    92	-62.500000	1.429239733282e-007	4.36335e+006	3.42697e+007
    93	-52.083333	1.140636684333e-007	4.55568e+006	3.57803e+007
    94	-41.666667	8.780734271993e-008	4.71888e+006	3.70621e+007
    95	-31.250000	6.427354625740e-008	4.85135e+006	3.81025e+007
    96	-20.833333	4.232065686828e-008	4.88908e+006	3.83989e+007
    97	-10.416667	2.049603601517e-008	4.99171e+006	3.92049e+007
    98	0.000000	1.505336614167e-012	0.00000e+000	0.00000e+000



I/V Version: 5.16.2 - Radiant Technologies, Inc., 2001 - 3/16/18

