»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.12.0
»»»  Vision Version:	5.12.5 (R)
»»»  Vision Compiled:	2/24/17
»»»  Driver Version:	5.12.4
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF0910-256
»»»  Tester S/N:	PMF0910-256
»»»  Internal Amp Type:	 RTI 100V      
»»»  Internal Amp S/N:	 iAB1-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	8/3/2017 - 10:50:57
Configured:	08/03/17 10:04:09 AM
Executed:	08/03/17 10:50:39 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	4.91e-006
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF0910-256
Tester Serial Number:	PMF0910-256
Return Signal Amp. Level:	16.67 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	3.00
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	1.60e+001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
 106	8.4800e-001	1.2598	31.941714
 107	8.5600e-001	1.2688	32.247602
 108	8.6400e-001	1.2807	32.335661
 109	8.7200e-001	1.2950	32.585006
 110	8.8000e-001	1.3078	32.710143
 111	8.8800e-001	1.3197	32.763905
 112	8.9600e-001	1.3326	33.014177
 113	9.0400e-001	1.3425	32.927045
 114	9.1200e-001	1.3528	32.982662
 115	9.2000e-001	1.3656	32.954853
 116	9.2800e-001	1.3771	33.122629
 117	9.3600e-001	1.3900	33.104090
 118	9.4400e-001	1.4017	33.349728
 119	9.5200e-001	1.4155	33.286696
 120	9.6000e-001	1.4294	33.425736
 121	9.6800e-001	1.4411	33.426663
 122	9.7600e-001	1.4478	33.352509
 123	9.8400e-001	1.4656	33.388659
 124	9.9200e-001	1.4742	33.384951
 125	1.0000e+000	1.4851	33.650982
 126	1.0080e+000	1.4983	33.588877
 127	1.0160e+000	1.5087	33.831734
 128	1.0240e+000	1.5212	33.568484
 129	1.0320e+000	1.5352	33.734406
 130	1.0400e+000	1.5476	33.648201
 131	1.0480e+000	1.5589	33.758506
 132	1.0560e+000	1.5702	33.757579
 133	1.0640e+000	1.5815	33.856761
 134	1.0720e+000	1.5953	33.961505
 135	1.0800e+000	1.6068	33.994874
 136	1.0880e+000	1.6205	34.117230
 137	1.0960e+000	1.6298	33.999509
 138	1.1040e+000	1.6418	34.015267
 139	1.1120e+000	1.6530	34.053271
 140	1.1200e+000	1.6652	34.085714
 141	1.1280e+000	1.6787	34.134842
 142	1.1360e+000	1.6893	34.059760
 143	1.1440e+000	1.7036	34.235878
 144	1.1520e+000	1.7142	34.247928
 145	1.1600e+000	1.7266	34.424972
 146	1.1680e+000	1.7366	34.321156
 147	1.1760e+000	1.7510	34.356379
 148	1.1840e+000	1.7623	34.183042
 149	1.1920e+000	1.7746	34.310032
 150	1.2000e+000	1.7855	34.386041
 151	1.2080e+000	1.7966	34.492639
 152	1.2160e+000	1.8121	34.532497
 153	1.2240e+000	1.8215	34.540839
 154	1.2320e+000	1.8346	34.603871
 155	1.2400e+000	1.8475	34.507469
 156	1.2480e+000	1.8585	34.584405
 157	1.2560e+000	1.8697	34.545474
 158	1.2640e+000	1.8826	34.619629
 159	1.2720e+000	1.8931	34.688222
 160	1.2800e+000	1.9070	34.799454
 161	1.2880e+000	1.9170	34.759596
 162	1.2960e+000	1.9296	34.771646
 163	1.3040e+000	1.9431	34.868047
 164	1.3120e+000	1.9546	34.684514
 165	1.3200e+000	1.9662	34.878243
 166	1.3280e+000	1.9802	34.855070
 167	1.3360e+000	1.9900	34.871755
 168	1.3440e+000	2.0026	34.870828
 169	1.3520e+000	2.0141	34.907905
 170	1.3600e+000	2.0264	35.012649
 171	1.3680e+000	2.0399	34.953325
 172	1.3760e+000	2.0522	35.235113
 173	1.3840e+000	2.0640	34.930152
 174	1.3920e+000	2.0741	35.060850
 175	1.4000e+000	2.0873	35.022845
 176	1.4080e+000	2.0987	35.160032
 177	1.4160e+000	2.1096	35.070119
 178	1.4240e+000	2.1220	35.185059
 179	1.4320e+000	2.1359	35.167447
 180	1.4400e+000	2.1450	35.195255
 181	1.4480e+000	2.1597	35.248090
 182	1.4560e+000	2.1720	35.215648
 183	1.4640e+000	2.1841	35.133151
 184	1.4720e+000	2.1923	35.331515
 185	1.4800e+000	2.2097	35.402889
 186	1.4880e+000	2.2187	35.307414
 187	1.4960e+000	2.2311	35.295364
 188	1.5040e+000	2.2419	35.317611
 189	1.5120e+000	2.2538	35.325953
 190	1.5200e+000	2.2651	35.445528
 191	1.5280e+000	2.2794	35.449235
 192	1.5360e+000	2.2911	35.320391
 193	1.5440e+000	2.3019	35.493728
 194	1.5520e+000	2.3144	35.564175
 195	1.5600e+000	2.3244	35.476116
 196	1.5680e+000	2.3389	35.386204
 197	1.5760e+000	2.3502	35.402889
 198	1.5840e+000	2.3612	35.432551
 199	1.5920e+000	2.3736	35.736585
 200	1.6000e+000	2.3889	35.597545
 201	1.6080e+000	2.3988	35.610522
 202	1.6160e+000	2.4114	35.695800
 203	1.6240e+000	2.4236	35.721754
 204	1.6320e+000	2.4343	35.667065
 205	1.6400e+000	2.4453	35.676334
 206	1.6480e+000	2.4599	35.640184
 207	1.6560e+000	2.4720	35.629988
 208	1.6640e+000	2.4819	35.811667
 209	1.6720e+000	2.4955	35.745855
 210	1.6800e+000	2.5073	35.801471
 211	1.6880e+000	2.5193	35.924753
 212	1.6960e+000	2.5312	35.860794
 213	1.7040e+000	2.5449	35.875625
 214	1.7120e+000	2.5559	35.808886
 215	1.7200e+000	2.5661	35.919191
 216	1.7280e+000	2.5808	35.835767
 217	1.7360e+000	2.5880	35.988711
 218	1.7440e+000	2.6006	35.953488
 219	1.7520e+000	2.6142	36.096236
 220	1.7600e+000	2.6290	36.007250
 221	1.7680e+000	2.6403	35.923826
 222	1.7760e+000	2.6519	35.925680
 223	1.7840e+000	2.6624	35.971100
 224	1.7920e+000	2.6760	35.999835
 225	1.8000e+000	2.6858	36.078624
 226	1.8080e+000	2.6986	36.093455
 227	1.8160e+000	2.7120	36.125898
 228	1.8240e+000	2.7225	36.161121
