»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V «««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»	 Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp Serial:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««

Stored:	5/23/2018 - 9:34:22
Configured:	05/23/18 06:47:10 AM
Executed:	05/23/18 09:16:34 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	1.00e-001
Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	190.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V Info ««««««««««««««««««««««««««««««««««
Task Name:	I/V-2
Max Volts:	3.00
Soak Time (ms):	100.00
Measure Time (ms):	100.00
Step Delay (ms):	0
Preset Pulse Volts:	3.00
Preset Pulse Width (ms):	0.40
Profile:	Unswitched Triangular
Plot:	ERROR - Unknown Plot Parameter

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««
Points:	98

Valid Data

Point	Field (kV/cm)	Current (Amps)	Resistance (Ohms)	Resistivity (Ohms·cm)
     1	0.000000	5.506078138868e-012	5.54253e+007	4.35310e+008
     2	12.500000	1.624345169317e-009	7.72641e+007	6.06832e+008
     3	25.000000	4.127244837109e-009	6.03550e+007	4.74028e+008
     4	37.500000	9.077577227725e-009	4.13005e+007	3.24374e+008
     5	50.000000	1.282674847090e-008	3.88704e+007	3.05288e+008
     6	62.500000	1.696649320360e-008	3.68463e+007	2.89391e+008
     7	75.000000	2.065590270804e-008	3.61969e+007	2.84291e+008
     8	87.500000	2.616687286876e-008	3.34602e+007	2.62797e+008
     9	100.000000	3.339615760737e-008	2.99271e+007	2.35048e+008
    10	112.500000	3.656082091657e-008	3.07840e+007	2.41778e+008
    11	125.000000	4.570057602548e-008	2.73603e+007	2.14888e+008
    12	137.500000	5.690506581744e-008	2.41344e+007	1.89551e+008
    13	150.000000	6.810946897998e-008	2.20202e+007	1.72947e+008
    14	162.500000	8.011653750891e-008	2.03447e+007	1.59787e+008
    15	175.000000	8.904131834307e-008	1.96301e+007	1.54175e+008
    16	187.500000	1.044012044418e-007	1.79501e+007	1.40980e+008
    17	200.000000	1.322413436398e-007	1.51277e+007	1.18813e+008
    18	212.500000	1.447648678609e-007	1.46786e+007	1.15285e+008
    19	225.000000	1.637373476994e-007	1.37466e+007	1.07965e+008
    20	237.500000	1.828261716196e-007	1.29957e+007	1.02068e+008
    21	250.000000	2.014199432309e-007	1.24123e+007	9.74859e+007
    22	262.500000	2.430905076137e-007	1.07858e+007	8.47114e+007
    23	275.000000	2.643723592562e-007	1.03997e+007	8.16796e+007
    24	287.500000	2.911517913624e-007	9.87243e+006	7.75380e+007
    25	300.000000	3.428029584967e-007	8.74813e+006	6.87078e+007
    26	287.500000	2.942173926115e-007	9.75659e+006	7.66283e+007
    27	275.000000	2.564807975136e-007	1.07072e+007	8.40946e+007
    28	262.500000	2.231872797274e-007	1.17572e+007	9.23409e+007
    29	250.000000	2.072720752666e-007	1.20346e+007	9.45195e+007
