»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V «««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»	 Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp Serial:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««

Stored:	6/5/2018 - 6:7:9
Configured:	06/05/18 05:58:23 AM
Executed:	06/05/18 06:00:30 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	6.20e-005
Sample Thickness (µm):	1.00e-001
Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	190.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V Info ««««««««««««««««««««««««««««««««««
Task Name:	I/V-2
Max Volts:	3.00
Soak Time (ms):	100.00
Measure Time (ms):	100.00
Step Delay (ms):	0
Preset Pulse Volts:	3.00
Preset Pulse Width (ms):	0.40
Profile:	Unswitched Triangular
Plot:	ERROR - Unknown Plot Parameter

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««
Points:	98

Valid Data

Point	Field (kV/cm)	Current (Amps)	Resistance (Ohms)	Resistivity (Ohms·cm)
     1	0.000000	1.190599016840e-012	1.79425e+009	1.11243e+010
     2	12.500000	1.137122193886e-011	1.07149e+010	6.64323e+010
     3	25.000000	2.532513014670e-011	9.86017e+009	6.11331e+010
     4	37.500000	4.961171573994e-011	7.57223e+009	4.69478e+010
     5	50.000000	8.737627582571e-011	5.70963e+009	3.53997e+010
     6	62.500000	1.395559552614e-010	4.46373e+009	2.76751e+010
     7	75.000000	2.124332031885e-010	3.53828e+009	2.19373e+010
     8	87.500000	3.286063397656e-010	2.66095e+009	1.64979e+010
     9	100.000000	4.582162091461e-010	2.18201e+009	1.35285e+010
    10	112.500000	4.865298903009e-010	2.31157e+009	1.43317e+010
    11	125.000000	3.857821647934e-010	3.23582e+009	2.00621e+010
    12	137.500000	2.432882321028e-010	5.64690e+009	3.50108e+010
    13	150.000000	1.500566763330e-010	9.98870e+009	6.19299e+010
    14	162.500000	1.071524968433e-010	1.51623e+010	9.40063e+010
    15	175.000000	9.363640291024e-011	1.86799e+010	1.15815e+011
    16	187.500000	8.541239634004e-011	2.19604e+010	1.36154e+011
    17	200.000000	8.087883079053e-011	2.47242e+010	1.53290e+011
    18	212.500000	8.029158075584e-011	2.64577e+010	1.64038e+011
    19	225.000000	7.585271829587e-011	2.96666e+010	1.83933e+011
    20	237.500000	7.640186465236e-011	3.10770e+010	1.92678e+011
    21	250.000000	7.642941754870e-011	3.26920e+010	2.02690e+011
    22	262.500000	7.916663780710e-011	3.31440e+010	2.05493e+011
    23	275.000000	8.093345629667e-011	3.39787e+010	2.10668e+011
    24	287.500000	8.564234274420e-011	3.35750e+010	2.08165e+011
    25	300.000000	8.872190525322e-011	3.38182e+010	2.09673e+011
    26	287.500000	6.928128617146e-011	4.14653e+010	2.57085e+011
    27	275.000000	5.954401748857e-011	4.61769e+010	2.86297e+011
    28	262.500000	5.237214543578e-011	5.01113e+010	3.10690e+011
    29	250.000000	4.824746576875e-011	5.18067e+010	3.21202e+011
    30	237.500000	4.504964743057e-011	5.26695e+010	3.26551e+011
    31	225.000000	4.156400194875e-011	5.40467e+010	3.35090e+011
    32	212.500000	4.244012176591e-011	5.00619e+010	3.10384e+011
    33	200.000000	3.927719584492e-011	5.09174e+010	3.15688e+011
    34	187.500000	4.141069132950e-011	4.52597e+010	2.80610e+011
    35	175.000000	4.114932084973e-011	4.25158e+010	2.63598e+011
    36	162.500000	4.516858784685e-011	3.59692e+010	2.23009e+011
    37	150.000000	5.126481236117e-011	2.91798e+010	1.80915e+011
    38	137.500000	5.466176776285e-011	2.51862e+010	1.56155e+011
    39	125.000000	6.894703434551e-011	1.80978e+010	1.12206e+011
