»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	8/2/2018 - 13:23:49
Configured:	08/02/18 01:13:44 PM
Executed:	08/02/18 01:22:41 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	6.20e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	2.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	50.00
Field:	5000.00 (kV/cm)
Hysteresis Period (ms):	4.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	801

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
   1	5.0000e-004	505.966187	-5.901329
   2	1.0000e-003	546.661377	-5.863962
   3	1.5000e-003	597.290039	-5.832030
   4	2.0000e-003	645.675659	-5.782433
   5	2.5000e-003	698.066711	-5.729440
   6	3.0000e-003	746.452332	-5.683919
   7	3.5000e-003	796.920776	-5.641117
   8	4.0000e-003	844.505310	-5.606467
   9	4.5000e-003	895.935059	-5.532411
  10	5.0000e-003	943.679810	-5.483494
  11	5.5000e-003	997.352600	-5.436615
  12	6.0000e-003	1044.456482	-5.382942
  13	6.5000e-003	1095.405579	-5.321116
  14	7.0000e-003	1143.791199	-5.257931
  15	7.5000e-003	1196.983337	-5.194746
  16	8.0000e-003	1243.125916	-5.123408
  17	8.5000e-003	1291.992188	-5.037124
  18	9.0000e-003	1341.018677	-4.961710
  19	9.5000e-003	1392.929077	-4.880181
  20	1.0000e-002	1442.756653	-4.760605
  21	1.0500e-002	1491.943359	-4.667526
  22	1.1000e-002	1543.373108	-4.574448
  23	1.1500e-002	1591.117859	-4.460987
  24	1.2000e-002	1643.348694	-4.354320
  25	1.2500e-002	1697.021484	-4.230668
  26	1.3000e-002	1743.804932	-4.107695
  27	1.3500e-002	1794.433594	-3.976569
  28	1.4000e-002	1845.062256	-3.839329
  29	1.4500e-002	1895.050049	-3.687821
  30	1.5000e-002	1941.993713	-3.524764
  31	1.5500e-002	1992.782593	-3.375974
  32	1.6000e-002	2040.687561	-3.216313
  33	1.6500e-002	2092.918396	-3.042385
  34	1.7000e-002	2138.740540	-2.841280
  35	1.7500e-002	2190.490723	-2.609602
  36	1.8000e-002	2239.517212	-2.316778
  37	1.8500e-002	2286.300659	-1.962807
  38	1.9000e-002	2336.769104	-1.485863
  39	1.9500e-002	2386.917114	-0.922635
  40	2.0000e-002	2435.943604	-0.257495
  41	2.0500e-002	2490.577698	0.489173
  42	2.1000e-002	2537.681580	1.226330
  43	2.1500e-002	2589.111328	1.872446
