»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V «««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»	 Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp Serial:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««

Stored:	5/16/2018 - 9:17:57
Configured:	05/16/18 08:59:02 AM
Executed:	05/16/18 09:00:02 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	1.00e-001
Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	190.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V Info ««««««««««««««««««««««««««««««««««
Task Name:	I/V-2
Max Volts:	3.00
Soak Time (ms):	100.00
Measure Time (ms):	100.00
Step Delay (ms):	0
Preset Pulse Volts:	3.00
Preset Pulse Width (ms):	0.40
Profile:	Unswitched Triangular
Plot:	ERROR - Unknown Plot Parameter

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««
Points:	98

Valid Data

Point	Field (kV/cm)	Current (Amps)	Resistance (Ohms)	Resistivity (Ohms·cm)
    65	-187.500000	1.937638699716e-007	9.67830e+006	7.60134e+007
    66	-200.000000	2.539525519194e-007	7.88648e+006	6.19404e+007
    67	-212.500000	2.753202132076e-007	7.71474e+006	6.05916e+007
    68	-225.000000	3.304183298380e-007	6.80950e+006	5.34818e+007
    69	-237.500000	3.674218588195e-007	6.46446e+006	5.07719e+007
    70	-250.000000	4.149628794251e-007	6.02280e+006	4.73030e+007
    71	-262.500000	4.560064655317e-007	5.75877e+006	4.52294e+007
    72	-275.000000	5.152516465489e-007	5.33560e+006	4.19058e+007
    73	-287.500000	6.003205999037e-007	4.78921e+006	3.76145e+007
    74	-300.000000	6.738978053032e-007	4.44983e+006	3.49490e+007
    75	-287.500000	5.550667638941e-007	5.18132e+006	4.06941e+007
    76	-275.000000	5.303312499377e-007	5.18590e+006	4.07300e+007
    77	-262.500000	4.783331649555e-007	5.49412e+006	4.31508e+007
    78	-250.000000	4.345636330638e-007	5.75079e+006	4.51667e+007
    79	-237.500000	3.834921401458e-007	6.18640e+006	4.85880e+007
    80	-225.000000	3.444915304661e-007	6.53575e+006	5.13318e+007
    81	-212.500000	2.884689076618e-007	7.36124e+006	5.78152e+007
    82	-200.000000	2.738737337458e-007	7.29667e+006	5.73081e+007
    83	-187.500000	2.346190071614e-007	8.01249e+006	6.29301e+007
    84	-175.000000	1.911471390541e-007	9.14823e+006	7.18502e+007
    85	-162.500000	1.546371486506e-007	1.05148e+007	8.25831e+007
    86	-150.000000	1.287622208714e-007	1.16495e+007	9.14952e+007
    87	-137.500000	1.083520533233e-007	1.26807e+007	9.95941e+007
    88	-125.000000	8.693897018565e-008	1.44051e+007	1.13138e+008
    89	-112.500000	6.628717478662e-008	1.69698e+007	1.33281e+008
    90	-100.000000	5.064701481868e-008	1.97442e+007	1.55071e+008
    91	-87.500000	3.802588918245e-008	2.30271e+007	1.80855e+008
    92	-75.000000	2.937478453293e-008	2.55233e+007	2.00460e+008
    93	-62.500000	1.800938081318e-008	3.46830e+007	2.72400e+008
    94	-50.000000	1.393156484249e-008	3.58700e+007	2.81723e+008
    95	-37.500000	8.370438792183e-009	4.47349e+007	3.51348e+008
    96	-25.000000	3.981484943751e-009	6.29478e+007	4.94392e+008
    97	-12.500000	1.634617046527e-009	7.54717e+007	5.92755e+008
    98	0.000000	6.812906659435e-012	3.35953e+007	2.63858e+008



I/V Version: 5.16.2 - Radiant Technologies, Inc., 2001 - 3/16/18

