»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.9.3
»»»  Vision Version:	5.9.8 (R)
»»»  Vision Compiled:	3/30/16
»»»  Driver Version:	5.9.8
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF0910-256
»»»  Tester S/N:	PMF0910-256
»»»  Internal Amp Type:	 RTI 100V      
»»»  Internal Amp S/N:	 iAB1-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	11/14/2016 - 15:6:35
Configured:	11/14/16 02:58:19 PM
Executed:	11/14/16 03:05:20 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	4.91e-006
Sample Thickness (µm):	1.75e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF0910-256
Tester Serial Number:	PMF0910-256
Return Signal Amp. Level:	16.67 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	2.50
Field:	142.86 (kV/cm)
Hysteresis Period (ms):	2.00e+000
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
 102	1.0200e-001	1.0067	-3.948681
 103	1.0300e-001	1.0160	-3.265461
 104	1.0400e-001	1.0255	-2.613759
 105	1.0500e-001	1.0381	-1.970401
 106	1.0600e-001	1.0475	-1.305721
 107	1.0700e-001	1.0572	-0.648457
 108	1.0800e-001	1.0669	0.001391
 109	1.0900e-001	1.0780	0.660508
 110	1.1000e-001	1.0858	1.289961
 111	1.1100e-001	1.0986	1.956495
 112	1.1200e-001	1.1062	2.604489
 113	1.1300e-001	1.1166	3.260826
 114	1.1400e-001	1.1272	3.891206
 115	1.1500e-001	1.1373	4.516950
 116	1.1600e-001	1.1453	5.151038
 117	1.1700e-001	1.1562	5.806448
 118	1.1800e-001	1.1694	6.447026
 119	1.1900e-001	1.1756	7.102435
 120	1.2000e-001	1.1869	7.739304
 121	1.2100e-001	1.1967	8.396568
 122	1.2200e-001	1.2083	9.061248
 123	1.2300e-001	1.2155	9.714804
 124	1.2400e-001	1.2292	10.349819
 125	1.2500e-001	1.2341	11.004302
 126	1.2600e-001	1.2475	11.653222
 127	1.2700e-001	1.2583	12.316975
 128	1.2800e-001	1.2664	12.980728
 129	1.2900e-001	1.2737	13.628722
 130	1.3000e-001	1.2878	14.294329
 131	1.3100e-001	1.2964	14.974768
 132	1.3200e-001	1.3066	15.606075
 133	1.3300e-001	1.3156	16.277245
 134	1.3400e-001	1.3261	16.953976
 135	1.3500e-001	1.3335	17.644613
 136	1.3600e-001	1.3467	18.354717
 137	1.3700e-001	1.3554	19.050916
 138	1.3800e-001	1.3680	19.764729
 139	1.3900e-001	1.3773	20.486885
 140	1.4000e-001	1.3872	21.210895
 141	1.4100e-001	1.3983	21.933978
 142	1.4200e-001	1.4081	22.692288
 143	1.4300e-001	1.4159	23.456160
 144	1.4400e-001	1.4281	24.235791
 145	1.4500e-001	1.4361	25.008007
 146	1.4600e-001	1.4426	25.820085
