»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.12.0
»»»  Vision Version:	5.12.5 (R)
»»»  Vision Compiled:	2/24/17
»»»  Driver Version:	5.12.4
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF0910-256
»»»  Tester S/N:	PMF0910-256
»»»  Internal Amp Type:	 RTI 100V      
»»»  Internal Amp S/N:	 iAB1-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	8/3/2017 - 10:45:2
Configured:	08/03/17 10:04:09 AM
Executed:	08/03/17 10:44:32 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	4.91e-006
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF0910-256
Tester Serial Number:	PMF0910-256
Return Signal Amp. Level:	20.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	3.00
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	2.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	401

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	5.0000e-004	-0.0018	-9.048759
   2	1.0000e-003	0.0591	-8.779432
   3	1.5000e-003	0.1219	-8.216013
   4	2.0000e-003	0.1805	-7.750109
   5	2.5000e-003	0.2413	-6.723107
   6	3.0000e-003	0.3004	-5.457736
   7	3.5000e-003	0.3615	-3.595667
   8	4.0000e-003	0.4198	-1.800155
   9	4.5000e-003	0.4812	0.195804
  10	5.0000e-003	0.5425	2.421619
  11	5.5000e-003	0.6024	4.912117
  12	6.0000e-003	0.6632	6.951416
  13	6.5000e-003	0.7208	9.353687
  14	7.0000e-003	0.7801	11.727322
  15	7.5000e-003	0.8405	13.884258
  16	8.0000e-003	0.9023	15.617081
  17	8.5000e-003	0.9628	17.926480
  18	9.0000e-003	1.0231	19.540893
  19	9.5000e-003	1.0827	21.481129
  20	1.0000e-002	1.1409	23.306824
  21	1.0500e-002	1.2019	24.874800
  22	1.1000e-002	1.2612	26.351454
  23	1.1500e-002	1.3210	27.959675
  24	1.2000e-002	1.3818	29.323335
  25	1.2500e-002	1.4396	30.782962
  26	1.3000e-002	1.5005	32.131144
  27	1.3500e-002	1.5607	32.905071
  28	1.4000e-002	1.6213	33.233990
  29	1.4500e-002	1.6801	33.647268
  30	1.5000e-002	1.7439	33.846941
  31	1.5500e-002	1.8012	33.921238
  32	1.6000e-002	1.8591	34.143355
  33	1.6500e-002	1.9212	34.304332
  34	1.7000e-002	1.9830	34.524901
  35	1.7500e-002	2.0449	34.572885
  36	1.8000e-002	2.1005	34.740827
  37	1.8500e-002	2.1610	34.857690
  38	1.9000e-002	2.2228	34.974553
  39	1.9500e-002	2.2824	35.069746
  40	2.0000e-002	2.3420	35.274837
  41	2.0500e-002	2.4046	35.332881
  42	2.1000e-002	2.4618	35.496180
  43	2.1500e-002	2.5207	35.534103
  44	2.2000e-002	2.5837	35.608400
  45	2.2500e-002	2.6428	35.691210
  46	2.3000e-002	2.7038	35.882370
  47	2.3500e-002	2.7622	35.817360
  48	2.4000e-002	2.8242	35.950475
  49	2.4500e-002	2.8849	36.174140
  50	2.5000e-002	2.9424	36.557235
  51	2.5500e-002	3.0019	36.442693
  52	2.6000e-002	2.9403	36.530147
  53	2.6500e-002	2.8782	36.373814
  54	2.7000e-002	2.8214	36.250759
  55	2.7500e-002	2.7613	36.084365
  56	2.8000e-002	2.7013	35.918744
  57	2.8500e-002	2.6416	35.921066
  58	2.9000e-002	2.5820	35.834386
  59	2.9500e-002	2.5194	35.840578
  60	3.0000e-002	2.4616	35.508563
  61	3.0500e-002	2.4018	35.369256
  62	3.1000e-002	2.3392	35.471414
  63	3.1500e-002	2.2787	35.349134
  64	3.2000e-002	2.2212	35.321272
  65	3.2500e-002	2.1609	35.229175
  66	3.3000e-002	2.0994	35.421109
  67	3.3500e-002	2.0417	35.105347
  68	3.4000e-002	1.9790	35.077485
  69	3.4500e-002	1.9187	35.000093
  70	3.5000e-002	1.8613	34.948239
  71	3.5500e-002	1.7992	34.695165
  72	3.6000e-002	1.7413	34.708322
  73	3.6500e-002	1.6795	34.596876
  74	3.7000e-002	1.6195	34.536510
  75	3.7500e-002	1.5585	34.489301
  76	3.8000e-002	1.4981	34.475370
  77	3.8500e-002	1.4369	34.159607
  78	3.9000e-002	1.3768	34.226165
