»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	5/8/2018 - 15:28:19
Configured:	05/08/18 02:20:49 PM
Executed:	05/08/18 03:27:13 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	8.00e-002

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	0.21 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-2
Volts:	2.40
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	4.00e-001
Preset:	DisabledProfile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	801

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
 104	5.2000e-002	291.261673	50.122255
 105	5.2500e-002	287.904739	50.112498
 106	5.3000e-002	285.053253	50.039316
 107	5.3500e-002	282.344818	50.092983
 108	5.4000e-002	279.102325	50.024680
 109	5.4500e-002	275.869370	49.849043
 110	5.5000e-002	273.284912	49.990528
 111	5.5500e-002	269.861221	49.995407
 112	5.6000e-002	267.066956	49.946619
 113	5.6500e-002	264.272690	49.844164
 114	5.7000e-002	261.163712	49.956377
 115	5.7500e-002	258.092880	49.888073
 116	5.8000e-002	255.775452	49.819770
 117	5.8500e-002	252.218246	49.761225
 118	5.9000e-002	248.937607	49.756346
 119	5.9500e-002	245.990753	49.775861
 120	6.0000e-002	242.986679	49.609982
 121	6.0500e-002	239.715576	49.663649
 122	6.1000e-002	237.092972	49.668528
 123	6.1500e-002	234.003067	49.663649
 124	6.2000e-002	230.979919	49.488013
 125	6.2500e-002	227.651596	49.595346
 126	6.3000e-002	225.152969	49.556316
 127	6.3500e-002	222.215652	49.424588
 128	6.4000e-002	219.211578	49.395316
 129	6.4500e-002	216.178894	49.351406
 130	6.5000e-002	213.012695	49.327013
 131	6.5500e-002	209.960938	49.331891
 132	6.6000e-002	206.966400	49.361164
 133	6.6500e-002	204.324722	49.122103
 134	6.7000e-002	201.368332	49.253831
 135	6.7500e-002	198.059082	49.180649
 136	6.8000e-002	195.064545	49.048921
 137	6.8500e-002	192.241669	49.024527
 138	6.9000e-002	188.980103	49.034285
 139	6.9500e-002	186.052322	48.961103
 140	7.0000e-002	182.981491	48.980618
 141	7.0500e-002	180.063248	48.858649
 142	7.1000e-002	177.087784	48.858649
 143	7.1500e-002	174.150467	48.804982
 144	7.2000e-002	170.927048	48.658618
 145	7.2500e-002	168.180466	48.634224
 146	7.3000e-002	164.794922	48.643982
 147	7.3500e-002	162.019730	48.507376
 148	7.4000e-002	159.063339	48.487861
 149	7.4500e-002	156.173706	48.482982
 150	7.5000e-002	153.284073	48.531770
 151	7.5500e-002	150.184631	48.409800
 152	7.6000e-002	147.056580	48.443951
 153	7.6500e-002	143.918991	48.390285
 154	7.7000e-002	140.361786	48.073163
 155	7.7500e-002	137.567520	48.078042
