»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.12.0
»»»  Vision Version:	5.12.5 (R)
»»»  Vision Compiled:	2/24/17
»»»  Driver Version:	5.12.4
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF0910-256
»»»  Tester S/N:	PMF0910-256
»»»  Internal Amp Type:	 RTI 100V      
»»»  Internal Amp S/N:	 iAB1-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/19/2017 - 11:1:13
Configured:	06/19/17 10:57:34 AM
Executed:	06/19/17 11:00:53 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF0910-256
Tester Serial Number:	PMF0910-256
Return Signal Amp. Level:	2.0 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-2
Volts:	3.00
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	2.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	401

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	5.0000e-004	-0.0019	-15.038435
   2	1.0000e-003	0.0548	-14.931029
   3	1.5000e-003	0.1203	-14.702792
   4	2.0000e-003	0.1792	-14.399370
   5	2.5000e-003	0.2406	-13.947191
   6	3.0000e-003	0.2979	-13.319404
   7	3.5000e-003	0.3571	-12.531582
   8	4.0000e-003	0.4176	-11.574595
   9	4.5000e-003	0.4771	-10.423741
  10	5.0000e-003	0.5373	-9.128963
  11	5.5000e-003	0.5940	-7.626355
  12	6.0000e-003	0.6569	-5.981971
  13	6.5000e-003	0.7151	-4.150163
  14	7.0000e-003	0.7756	-2.160469
  15	7.5000e-003	0.8350	-0.034370
  16	8.0000e-003	0.8926	2.246931
  17	8.5000e-003	0.9534	4.642619
  18	9.0000e-003	1.0107	7.119936
  19	9.5000e-003	1.0706	9.683715
  20	1.0000e-002	1.1317	12.330196
  21	1.0500e-002	1.1914	14.969695
  22	1.1000e-002	1.2514	17.576973
  23	1.1500e-002	1.3142	20.125178
  24	1.2000e-002	1.3722	22.634179
  25	1.2500e-002	1.4308	25.023960
  26	1.3000e-002	1.4951	27.321372
  27	1.3500e-002	1.5545	29.497415
  28	1.4000e-002	1.6142	31.604182
  29	1.4500e-002	1.6741	33.576154
  30	1.5000e-002	1.7367	35.330092
  31	1.5500e-002	1.7996	36.652259
  32	1.6000e-002	1.8594	37.389600
  33	1.6500e-002	1.9243	37.776798
  34	1.7000e-002	1.9805	38.036183
  35	1.7500e-002	2.0432	38.234884
  36	1.8000e-002	2.1027	38.404049
  37	1.8500e-002	2.1606	38.553343
  38	1.9000e-002	2.2202	38.721970
  39	1.9500e-002	2.2810	38.871264
  40	2.0000e-002	2.3412	39.009818
  41	2.0500e-002	2.4012	39.111316
  42	2.1000e-002	2.4641	39.246648
  43	2.1500e-002	2.5224	39.359424
  44	2.2000e-002	2.5811	39.502811
  45	2.2500e-002	2.6411	39.600013
  46	2.3000e-002	2.7021	39.696141
  47	2.3500e-002	2.7650	39.813214
  48	2.4000e-002	2.8206	39.921157
  49	2.4500e-002	2.8817	40.039840
  50	2.5000e-002	2.9450	40.141339
  51	2.5500e-002	3.0019	40.221356
  52	2.6000e-002	2.9414	40.183764
  53	2.6500e-002	2.8798	40.127913
  54	2.7000e-002	2.8192	40.039303
  55	2.7500e-002	2.7600	39.983989
  56	2.8000e-002	2.7011	39.894305
  57	2.8500e-002	2.6392	39.818584
  58	2.9000e-002	2.5793	39.753066
  59	2.9500e-002	2.5195	39.683790
  60	3.0000e-002	2.4619	39.596791
  61	3.0500e-002	2.3965	39.492070
  62	3.1000e-002	2.3410	39.419034
  63	3.1500e-002	2.2815	39.332035
  64	3.2000e-002	2.2208	39.249333
  65	3.2500e-002	2.1587	39.163408
  66	3.3000e-002	2.1009	39.062447
  67	3.3500e-002	2.0393	38.987262
  68	3.4000e-002	1.9804	38.885764
  69	3.4500e-002	1.9185	38.790173
  70	3.5000e-002	1.8610	38.691896
  71	3.5500e-002	1.7992	38.575361
  72	3.6000e-002	1.7384	38.486214
  73	3.6500e-002	1.6796	38.401900
  74	3.7000e-002	1.6199	38.288050
  75	3.7500e-002	1.5591	38.173663
  76	3.8000e-002	1.4993	38.068405
  77	3.8500e-002	1.4382	37.954018
  78	3.9000e-002	1.3800	37.847149
  79	3.9500e-002	1.3195	37.730614
  80	4.0000e-002	1.2595	37.603338
  81	4.0500e-002	1.1987	37.473914
  82	4.1000e-002	1.1417	37.335360
  83	4.1500e-002	1.0773	37.218825
  84	4.2000e-002	1.0209	37.073827
  85	4.2500e-002	0.9598	36.937958
  86	4.3000e-002	0.9014	36.769331
  87	4.3500e-002	0.8411	36.603926
  88	4.4000e-002	0.7790	36.426169
  89	4.4500e-002	0.7218	36.244116
  90	4.5000e-002	0.6590	36.031990
  91	4.5500e-002	0.6001	35.805363
  92	4.6000e-002	0.5408	35.544367
  93	4.6500e-002	0.4795	35.250075
  94	4.7000e-002	0.4214	34.925172
  95	4.7500e-002	0.3603	34.569121
  96	4.8000e-002	0.2998	34.102980
  97	4.8500e-002	0.2390	33.571858
  98	4.9000e-002	0.1798	32.970385
  99	4.9500e-002	0.1193	32.230895
 100	5.0000e-002	0.0623	31.366815
 101	5.0500e-002	0.0039	30.375459
 102	5.1000e-002	-0.0551	29.221919
 103	5.1500e-002	-0.1157	27.952382
 104	5.2000e-002	-0.1751	26.500254
 105	5.2500e-002	-0.2354	24.902055
 106	5.3000e-002	-0.2935	23.114821
 107	5.3500e-002	-0.3536	21.132108
 108	5.4000e-002	-0.4148	19.024268
 109	5.4500e-002	-0.4736	16.739207
 110	5.5000e-002	-0.5328	14.283909
 111	5.5500e-002	-0.5908	11.695964
 112	5.6000e-002	-0.6507	8.947447
 113	5.6500e-002	-0.7099	6.031915
 114	5.7000e-002	-0.7702	3.005217
 115	5.7500e-002	-0.8270	-0.141776
 116	5.8000e-002	-0.8889	-3.378989
 117	5.8500e-002	-0.9489	-6.646276
 118	5.9000e-002	-1.0078	-9.942026
 119	5.9500e-002	-1.0679	-13.180850
 120	6.0000e-002	-1.1297	-16.328917
 121	6.0500e-002	-1.1894	-19.347022
 122	6.1000e-002	-1.2493	-22.209926
 123	6.1500e-002	-1.3118	-24.865000
 124	6.2000e-002	-1.3702	-27.316539
 125	6.2500e-002	-1.4339	-29.494193
 126	6.3000e-002	-1.4935	-31.415685
 127	6.3500e-002	-1.5541	-33.012810
 128	6.4000e-002	-1.6163	-34.286644
 129	6.4500e-002	-1.6772	-35.247927
 130	6.5000e-002	-1.7400	-35.945528
 131	6.5500e-002	-1.7988	-36.451410
 132	6.6000e-002	-1.8564	-36.857404
 133	6.6500e-002	-1.9201	-37.188751
 134	6.7000e-002	-1.9787	-37.478747
 135	6.7500e-002	-2.0415	-37.743502
 136	6.8000e-002	-2.0978	-37.973351
 137	6.8500e-002	-2.1614	-38.199440
 138	6.9000e-002	-2.2206	-38.423382
 139	6.9500e-002	-2.2815	-38.610805
 140	7.0000e-002	-2.3381	-38.801450
 141	7.0500e-002	-2.4010	-38.992096
 142	7.1000e-002	-2.4608	-39.175223
 143	7.1500e-002	-2.5220	-39.348683
 144	7.2000e-002	-2.5787	-39.499589
 145	7.2500e-002	-2.6406	-39.669290
 146	7.3000e-002	-2.7013	-39.834158
 147	7.3500e-002	-2.7602	-39.986674
 148	7.4000e-002	-2.8194	-40.124154
 149	7.4500e-002	-2.8809	-40.279892
 150	7.5000e-002	-2.9398	-40.409853
 151	7.5500e-002	-2.9991	-40.548944
 152	7.6000e-002	-2.9395	-40.521019
 153	7.6500e-002	-2.8825	-40.435631
