»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	5/23/2018 - 9:4:29
Configured:	05/23/18 06:37:56 AM
Executed:	05/23/18 09:04:08 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Field (kV/cm):	0.03
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	2.00e+000
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
 103	1.0300e-001	122.222900	39.323302
 104	1.0400e-001	123.344421	39.420384
 105	1.0500e-001	124.565125	39.655425
 106	1.0600e-001	125.892639	40.064191
 107	1.0700e-001	127.265930	40.099958
 108	1.0800e-001	128.608704	40.105067
 109	1.0900e-001	129.440308	40.488286
 110	1.1000e-001	130.661011	40.575148
 111	1.1100e-001	131.820679	40.191930
 112	1.1200e-001	131.706238	40.278793
 113	1.1300e-001	134.468079	41.295599
 114	1.1400e-001	135.383606	41.162750
 115	1.1500e-001	136.688232	41.525530
 116	1.1600e-001	137.718201	41.576625
 117	1.1700e-001	139.038086	41.699255
 118	1.1800e-001	140.296936	42.041597
 119	1.1900e-001	141.418457	41.944515
 120	1.2000e-001	142.677307	42.266418
 121	1.2100e-001	143.859863	42.353281
 122	1.2200e-001	145.149231	42.470801
 123	1.2300e-001	146.575928	42.940882
 124	1.2400e-001	147.758484	42.731390
 125	1.2500e-001	148.765564	42.802924
 126	1.2600e-001	149.925232	43.048184
 127	1.2700e-001	150.558472	42.874458
 128	1.2800e-001	152.412415	43.170813
 129	1.2900e-001	153.526306	43.472278
 130	1.3000e-001	154.670715	43.528484
 131	1.3100e-001	155.845642	43.579579
 132	1.3200e-001	157.218933	43.625566
 133	1.3300e-001	158.355713	43.717538
 134	1.3400e-001	159.545898	43.773743
 135	1.3500e-001	160.736084	44.136523
 136	1.3600e-001	161.949158	43.916812
 137	1.3700e-001	163.154602	44.151852
 138	1.3800e-001	164.657593	44.555509
 139	1.3900e-001	165.557861	44.504413
 140	1.4000e-001	166.923523	44.432879
 141	1.4100e-001	167.778015	44.780330
 142	1.4200e-001	168.655396	43.993455
 143	1.4300e-001	170.249939	44.862083
 144	1.4400e-001	171.806335	44.785440
 145	1.4500e-001	172.737122	44.770111
 146	1.4600e-001	174.102783	45.056247
 147	1.4700e-001	175.170898	45.143110
 148	1.4800e-001	176.338196	45.138000
 149	1.4900e-001	177.749634	45.265740
 150	1.5000e-001	178.672791	45.311726
 151	1.5100e-001	180.015564	45.189096
 152	1.5200e-001	181.037903	45.347493
 153	1.5300e-001	182.067871	45.403698
 154	1.5400e-001	183.601379	45.510999
 155	1.5500e-001	184.669495	45.643848
 156	1.5600e-001	185.989380	45.868670
 157	1.5700e-001	187.767029	46.742407
 158	1.5800e-001	188.217163	45.792026
 159	1.5900e-001	189.476013	45.975971
 160	1.6000e-001	190.910339	45.975971
 161	1.6100e-001	192.024231	46.098601
 162	1.6200e-001	193.275452	46.124149
 163	1.6300e-001	194.328308	45.899327
 164	1.6400e-001	195.327759	46.256998
 165	1.6500e-001	196.685791	46.364299
 166	1.6600e-001	198.013306	46.614668
 167	1.6700e-001	199.134827	46.502257
 168	1.6800e-001	200.325012	46.594230
 169	1.6900e-001	201.553345	46.522696
 170	1.7000e-001	202.667236	46.936571
 171	1.7100e-001	203.865051	46.798613
 172	1.7200e-001	204.895020	46.492038
 173	1.7300e-001	205.810547	46.364299
 174	1.7400e-001	207.542419	46.992777
 175	1.7500e-001	208.724976	47.120516
 176	1.7600e-001	209.877014	47.100078
 177	1.7700e-001	211.021423	47.186941
 178	1.7800e-001	212.326050	47.248256
 179	1.7900e-001	213.554382	47.248256
 180	1.8000e-001	214.530945	47.289132
 181	1.8100e-001	216.049194	47.335118
 182	1.8200e-001	217.094421	47.534392
 183	1.8300e-001	218.238831	47.559940
 184	1.8400e-001	218.673706	47.176721
 185	1.8500e-001	220.596313	48.597184
 186	1.8600e-001	221.839905	47.513954
 187	1.8700e-001	223.075867	47.631474
 188	1.8800e-001	224.319458	47.851186
 189	1.8900e-001	225.547791	47.575268
 190	1.9000e-001	226.707458	47.927829
 191	1.9100e-001	227.790833	47.830747
 192	1.9200e-001	229.034424	47.968706
 193	1.9300e-001	230.216980	48.213966
 194	1.9400e-001	231.407166	48.045350
 195	1.9500e-001	232.627869	48.305938
 196	1.9600e-001	233.886719	48.254842
 197	1.9700e-001	235.137939	48.428568
 198	1.9800e-001	236.244202	48.515431
 199	1.9900e-001	237.541199	48.525650
 200	2.0000e-001	239.097595	49.031498
 201	2.0100e-001	239.768982	48.561417
 202	2.0200e-001	241.035461	48.612513
 203	2.0300e-001	242.378235	48.816896
 204	2.0400e-001	244.812012	49.511798
 205	2.0500e-001	244.682312	48.612513
