»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	5/16/2018 - 13:6:29
Configured:	05/16/18 12:56:13 PM
Executed:	05/16/18 01:06:12 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Field (kV/cm):	0.03
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	2.00e+000
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
   1	1.0000e-003	-0.274658	-24.238974
   2	2.0000e-003	0.366211	-24.198399
   3	3.0000e-003	2.326965	-24.134020
   4	4.0000e-003	3.463745	-24.054493
   5	5.0000e-003	5.004883	-23.985245
   6	6.0000e-003	5.943298	-23.859192
   7	7.0000e-003	7.041931	-23.743418
   8	8.0000e-003	8.361816	-23.543789
   9	9.0000e-003	9.422302	-23.358226
  10	1.0000e-002	10.833740	-23.113153
  11	1.1000e-002	11.947632	-22.773946
  12	1.2000e-002	13.359070	-22.456379
  13	1.3000e-002	14.328003	-22.052251
  14	1.4000e-002	15.373230	-21.572384
  15	1.5000e-002	16.738892	-21.047614
  16	1.6000e-002	17.913818	-20.454678
  17	1.7000e-002	19.721985	-19.702687
  18	1.8000e-002	20.332336	-19.026437
  19	1.9000e-002	21.293640	-18.248479
  20	2.0000e-002	22.697449	-17.301728
  21	2.1000e-002	23.735046	-16.416111
  22	2.2000e-002	25.032043	-15.404441
  23	2.3000e-002	26.290894	-14.241290
  24	2.4000e-002	27.450562	-13.038647
  25	2.5000e-002	28.625488	-11.764591
  26	2.6000e-002	29.708862	-10.382876
  27	2.7000e-002	30.883789	-8.942193
  28	2.8000e-002	32.752991	-7.400342
  29	2.9000e-002	33.309937	-5.869311
  30	3.0000e-002	34.339905	-4.302034
  31	3.1000e-002	35.858154	-2.769921
  32	3.2000e-002	35.278320	-1.284876
  33	3.3000e-002	38.276672	0.446866
  34	3.4000e-002	39.344788	1.934617
  35	3.5000e-002	40.374756	3.373136
  36	3.6000e-002	41.755676	4.801918
  37	3.7000e-002	43.045044	6.078679
  38	3.8000e-002	44.189453	7.344619
  39	3.9000e-002	45.219421	8.533197
  40	4.0000e-002	46.653748	9.627099
  41	4.1000e-002	47.729492	10.652295
  42	4.2000e-002	49.079895	11.665588
  43	4.3000e-002	50.811768	12.577173
  44	4.4000e-002	51.612854	13.448184
  45	4.5000e-002	52.543640	14.233716
  46	4.6000e-002	53.955078	14.999231
  47	4.7000e-002	54.809570	15.739320
  48	4.8000e-002	55.313110	16.413406
  49	4.9000e-002	57.586670	17.097230
  50	5.0000e-002	58.738708	17.699364
  51	5.1000e-002	59.799194	18.317727
  52	5.2000e-002	61.447144	18.893351
  53	5.3000e-002	62.461853	19.433810
  54	5.4000e-002	63.591003	19.961285
  55	5.5000e-002	64.804077	20.484974
  56	5.6000e-002	66.009521	20.974038
  57	5.7000e-002	67.016602	21.473922
  58	5.8000e-002	68.496704	21.911591
  59	5.9000e-002	69.595337	22.389836
  60	6.0000e-002	70.808411	22.805865
  61	6.1000e-002	71.960449	23.219189
  62	6.2000e-002	73.043823	23.653071
  63	6.3000e-002	73.471069	24.030148
  64	6.4000e-002	75.614929	24.454292
  65	6.5000e-002	76.713562	24.846518
  66	6.6000e-002	77.629089	25.199250
  67	6.7000e-002	79.010010	25.561179
  68	6.8000e-002	80.108643	25.933928
  69	6.9000e-002	81.344604	26.320202
  70	7.0000e-002	82.702637	26.688623
  71	7.1000e-002	83.908081	27.018633
  72	7.2000e-002	85.105896	27.407613
  73	7.3000e-002	86.448669	27.730590
  74	7.4000e-002	87.043762	28.035714
  75	7.5000e-002	88.653564	28.413332
  76	7.6000e-002	90.522766	28.724407
  77	7.7000e-002	91.186523	29.070647
  78	7.8000e-002	92.193604	29.287047
  79	7.9000e-002	93.627930	29.642485
  80	8.0000e-002	94.894409	29.948150
  81	8.1000e-002	95.825195	30.193223
  82	8.2000e-002	97.496033	30.484281
  83	8.3000e-002	98.342896	30.772093
