»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««			
»»»  Executed Version:	5.16.2		
»»»  Vision Version:	5.16.10 (R)		
»»»  Vision Compiled:	4/26/2018		
»»»  Driver Version:	5.16.6		
»»»  Windows Version:	Windows 8		
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors		
»»»  Tester Name:	PPM21016-863		
»»»  Tester S/N:	PPM21016-863		
»»»  Internal Amp Type:	 RTI ML200V    		
»»»  Internal Amp S/N:	 iAB2-0000     		
»»»  Execution Count:	1		
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««			
			
Stored:	8/5/2018 - 16:39:49		
Configured:	8/5/2018 16:37		
Executed:	8/5/2018 16:39		
			
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««			
Sample Name:	Internal Reference Cap.		
Lot Name:	N/A		
Wafer Name:	N/A		
Die Row/Column:	0/0		
109	5.45E-02	5598.79303	9.313651
110	5.50E-02	5546.081543	9.298704
111	5.55E-02	5498.977661	9.287834
112	5.60E-02	5450.431824	9.220573
113	5.65E-02	5399.162292	9.18864
114	5.70E-02	5351.577759	9.158067
115	5.75E-02	5301.589966	9.122738
116	5.80E-02	5252.082825	9.099638
117	5.85E-02	5202.896118	9.060912
118	5.90E-02	5152.427673	9.020827
119	5.95E-02	5096.191406	8.992971
120	6.00E-02	5052.772522	8.963757
121	6.05E-02	5002.944946	8.939977
122	6.10E-02	4949.272156	8.892419
123	6.15E-02	4904.251099	8.855731
124	6.20E-02	4850.898743	8.82244
125	6.25E-02	4801.872253	8.795264
126	6.30E-02	4752.845764	8.749743
127	6.35E-02	4704.139709	8.711697
128	6.40E-02	4651.107788	8.683162
129	6.45E-02	4605.125427	8.641038
130	6.50E-02	4555.618286	8.594159
131	6.55E-02	4503.067017	8.566983
132	6.60E-02	4455.322266	8.533013
133	6.65E-02	4407.096863	8.511951
134	6.70E-02	4352.94342	8.45624
135	6.75E-02	4307.762146	8.43246
136	6.80E-02	4254.570007	8.397131
137	6.85E-02	4203.140259	8.370634
138	6.90E-02	4154.11377	8.322396
139	6.95E-02	4105.888367	8.292503
140	7.00E-02	4050.613403	8.259891
141	7.05E-02	4005.271912	8.221165
142	7.10E-02	3955.924988	8.170889
143	7.15E-02	3903.213501	8.132842
144	7.20E-02	3855.308533	8.108383
145	7.25E-02	3807.243347	8.048595
146	7.30E-02	3756.774902	8.03229
147	7.35E-02	3707.107544	7.992205
148	7.40E-02	3661.125183	7.965028
149	7.45E-02	3606.010437	7.918149
150	7.50E-02	3559.867859	7.888255
151	7.55E-02	3507.316589	7.842056
152	7.60E-02	3456.52771	7.777512
153	7.65E-02	3411.506653	7.768
154	7.70E-02	3352.226257	7.727915
155	7.75E-02	3294.2276	7.670166
156	7.80E-02	3257.377625	7.650463
157	7.85E-02	3208.190918	7.603584
158	7.90E-02	3155.799866	7.565537
159	7.95E-02	3109.176636	7.530887
160	8.00E-02	3058.387756	7.479252
161	8.05E-02	3008.720398	7.440526
162	8.10E-02	2962.57782	7.410632
163	8.15E-02	2909.545898	7.361715
164	8.20E-02	2858.757019	7.327745
165	8.25E-02	2811.813354	7.28698
166	8.30E-02	2763.267517	7.238063
167	8.35E-02	2708.953857	7.217681
168	8.40E-02	2660.888672	7.156534
169	8.45E-02	2615.226746	7.112373
170	8.50E-02	2559.310913	7.066852
171	8.55E-02	2510.444641	7.039676
172	8.60E-02	2458.534241	6.977171
173	8.65E-02	2412.712097	6.935727
174	8.70E-02	2361.442566	6.876618
175	8.75E-02	2310.173035	6.82906
176	8.80E-02	2260.986328	6.78354
177	8.85E-02	2212.760925	6.730546
178	8.90E-02	2161.331177	6.701331
179	8.95E-02	2111.343384	6.64494
180	9.00E-02	2061.836243	6.602817
181	9.05E-02	2014.091492	6.548465
182	9.10E-02	1961.380005	6.494792
183	9.15E-02	1913.314819	6.45063
184	9.20E-02	1865.570068	6.405789
185	9.25E-02	1815.422058	6.353475
186	9.30E-02	1766.555786	6.327657
187	9.35E-02	1713.844299	6.269228
188	9.40E-02	1662.895203	6.193135
189	9.45E-02	1612.90741	6.143538
190	9.50E-02	1562.278748	6.106171
191	9.55E-02	1513.893127	6.042986
192	9.60E-02	1461.662292	6.00358
193	9.65E-02	1413.917542	5.944472
194	9.70E-02	1362.808228	5.882646
195	9.75E-02	1316.345215	5.842561
196	9.80E-02	1265.075684	5.795002
197	9.85E-02	1218.132019	5.738612
198	9.90E-02	1166.542053	5.669991
199	9.95E-02	1116.55426	5.620395
200	1.00E-01	1065.284729	5.544301
201	1.01E-01	1021.064758	5.494025
202	1.01E-01	967.552185	5.425405
203	1.02E-01	918.045044	5.364938
204	1.02E-01	867.416382	5.302432
205	1.03E-01	818.229675	5.244003
206	1.03E-01	767.921448	5.163833
207	1.04E-01	719.055176	5.116954
208	1.04E-01	667.144775	5.06464
209	1.05E-01	619.07959	4.978355
210	1.05E-01	565.887451	4.902941
211	1.06E-01	518.302917	4.841115
212	1.06E-01	466.873169	4.762983
213	1.07E-01	419.448853	4.672622
214	1.07E-01	372.505188	4.608078
215	1.08E-01	310.501099	4.524511
216	1.08E-01	269.165039	4.421921
217	1.09E-01	224.464417	4.305742
218	1.09E-01	167.427063	4.224213
219	1.10E-01	120.162964	4.107355
220	1.10E-01	70.014954	3.990497
221	1.11E-01	19.706726	3.879074
222	1.11E-01	-27.71759	3.773087
