»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.12.0
»»»  Vision Version:	5.12.5 (R)
»»»  Vision Compiled:	2/24/17
»»»  Driver Version:	5.12.4
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF0910-256
»»»  Tester S/N:	PMF0910-256
»»»  Internal Amp Type:	 RTI 100V      
»»»  Internal Amp S/N:	 iAB1-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	8/3/2017 - 10:48:43
Configured:	08/03/17 10:04:09 AM
Executed:	08/03/17 10:48:26 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	4.91e-006
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF0910-256
Tester Serial Number:	PMF0910-256
Return Signal Amp. Level:	16.67 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	3.00
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	4.00e+000
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	2.0000e-003	-0.0026	-9.812996
   2	4.0000e-003	0.0107	-9.642440
   3	6.0000e-003	0.0235	-9.647075
   4	8.0000e-003	0.0316	-9.609071
   5	1.0000e-002	0.0481	-9.600728
   6	1.2000e-002	0.0567	-9.436661
   7	1.4000e-002	0.0700	-9.437588
   8	1.6000e-002	0.0848	-9.282790
   9	1.8000e-002	0.0961	-9.068668
  10	2.0000e-002	0.1073	-8.815614
  11	2.2000e-002	0.1177	-8.621885
  12	2.4000e-002	0.1321	-8.307654
  13	2.6000e-002	0.1402	-8.017524
  14	2.8000e-002	0.1563	-7.764470
  15	3.0000e-002	0.1678	-7.474340
  16	3.2000e-002	0.1757	-7.110054
  17	3.4000e-002	0.1894	-6.654002
  18	3.6000e-002	0.2020	-6.269324
  19	3.8000e-002	0.2142	-5.892989
  20	4.0000e-002	0.2267	-5.470306
  21	4.2000e-002	0.2384	-5.072651
  22	4.4000e-002	0.2512	-4.687973
  23	4.6000e-002	0.2597	-4.224506
  24	4.8000e-002	0.2740	-3.752696
  25	5.0000e-002	0.2850	-3.309621
  26	5.2000e-002	0.2968	-2.867473
  27	5.4000e-002	0.3135	-2.369709
  28	5.6000e-002	0.3233	-1.814475
  29	5.8000e-002	0.3326	-1.330615
  30	6.0000e-002	0.3460	-0.894956
  31	6.2000e-002	0.3571	-0.379580
  32	6.4000e-002	0.3700	0.090376
  33	6.6000e-002	0.3817	0.587213
  34	6.8000e-002	0.3952	1.122055
  35	7.0000e-002	0.4066	1.649481
  36	7.2000e-002	0.4194	2.158368
  37	7.4000e-002	0.4310	2.670963
  38	7.6000e-002	0.4433	3.179850
  39	7.8000e-002	0.4544	3.669272
  40	8.0000e-002	0.4664	4.167036
  41	8.2000e-002	0.4781	4.708366
  42	8.4000e-002	0.4890	5.258038
  43	8.6000e-002	0.5031	5.665890
  44	8.8000e-002	0.5166	6.217416
  45	9.0000e-002	0.5260	6.731865
  46	9.2000e-002	0.5370	7.204602
  47	9.4000e-002	0.5485	7.710708
  48	9.6000e-002	0.5625	8.218668
  49	9.8000e-002	0.5723	8.778537
  50	1.0000e-001	0.5853	9.217904
  51	1.0200e-001	0.6001	9.700837
  52	1.0400e-001	0.6102	10.142985
  53	1.0600e-001	0.6229	10.615722
  54	1.0800e-001	0.6352	11.080116
  55	1.1000e-001	0.6443	11.618666
  56	1.1200e-001	0.6577	12.131261
  57	1.1400e-001	0.6706	12.548381
  58	1.1600e-001	0.6820	13.056342
  59	1.1800e-001	0.6963	13.442874
  60	1.2000e-001	0.7062	13.847017
  61	1.2200e-001	0.7190	14.172371
  62	1.2400e-001	0.7312	14.718336
  63	1.2600e-001	0.7410	15.196634
  64	1.2800e-001	0.7561	15.576678
  65	1.3000e-001	0.7677	16.015118
  66	1.3200e-001	0.7781	16.400723
  67	1.3400e-001	0.7923	16.932784
  68	1.3600e-001	0.8032	17.205302
  69	1.3800e-001	0.8161	17.683601
  70	1.4000e-001	0.8260	17.968170
  71	1.4200e-001	0.8382	18.580874
  72	1.4400e-001	0.8511	18.835781
  73	1.4600e-001	0.8640	19.288125
  74	1.4800e-001	0.8752	19.512443
  75	1.5000e-001	0.8897	19.987961
  76	1.5200e-001	0.8994	20.337415
  77	1.5400e-001	0.9109	20.824983
  78	1.5600e-001	0.9227	21.068767
  79	1.5800e-001	0.9339	21.511842
  80	1.6000e-001	0.9486	21.966967
  81	1.6200e-001	0.9579	22.347937
  82	1.6400e-001	0.9716	22.568548
  83	1.6600e-001	0.9805	23.009769
  84	1.6800e-001	0.9934	23.370346
  85	1.7000e-001	1.0076	23.722582
  86	1.7200e-001	1.0181	24.031251
  87	1.7400e-001	1.0310	24.443737
  88	1.7600e-001	1.0421	24.842319
  89	1.7800e-001	1.0544	25.269636
  90	1.8000e-001	1.0670	25.569963
  91	1.8200e-001	1.0795	25.979668
  92	1.8400e-001	1.0905	26.332830
  93	1.8600e-001	1.1021	26.611838
  94	1.8800e-001	1.1181	26.957585
  95	1.9000e-001	1.1256	27.300551
  96	1.9200e-001	1.1395	27.689863
  97	1.9400e-001	1.1499	28.085664
  98	1.9600e-001	1.1588	28.560255
  99	1.9800e-001	1.1740	28.811454
 100	2.0000e-001	1.1877	29.071923
 101	2.0200e-001	1.1992	29.451966
 102	2.0400e-001	1.2106	29.767124
 103	2.0600e-001	1.2225	30.136971
 104	2.0800e-001	1.2347	30.435444
 105	2.1000e-001	1.2477	30.744114
 106	2.1200e-001	1.2589	31.164015
 107	2.1400e-001	1.2705	31.323448
 108	2.1600e-001	1.2854	31.466196
 109	2.1800e-001	1.2920	31.722957
 110	2.2000e-001	1.3047	31.930590
 111	2.2200e-001	1.3227	32.061288
 112	2.2400e-001	1.3322	32.293022
 113	2.2600e-001	1.3427	32.432062
 114	2.2800e-001	1.3543	32.487678
 115	2.3000e-001	1.3673	32.603545
 116	2.3200e-001	1.3786	32.654527
 117	2.3400e-001	1.3902	32.888114
 118	2.3600e-001	1.4025	32.967831
 119	2.3800e-001	1.4141	32.946511
 120	2.4000e-001	1.4273	33.071647
 121	2.4200e-001	1.4404	33.111505
 122	2.4400e-001	1.4494	33.163414
 123	2.4600e-001	1.4625	33.206053
 124	2.4800e-001	1.4733	33.257034
 125	2.5000e-001	1.4878	33.284842
 126	2.5200e-001	1.4983	33.320066
 127	2.5400e-001	1.5088	33.454471
 128	2.5600e-001	1.5211	33.474864
 129	2.5800e-001	1.5352	33.474864
 130	2.6000e-001	1.5485	33.528626
 131	2.6200e-001	1.5597	33.624100
 132	2.6400e-001	1.5724	33.611123
 133	2.6600e-001	1.5829	33.680644
 134	2.6800e-001	1.5950	33.673228
 135	2.7000e-001	1.6048	33.800218
 136	2.7200e-001	1.6181	33.828953
 137	2.7400e-001	1.6294	33.815976
 138	2.7600e-001	1.6438	33.782606
 139	2.7800e-001	1.6542	33.848419
 140	2.8000e-001	1.6680	33.897546
 141	2.8200e-001	1.6798	33.992094
 142	2.8400e-001	1.6924	34.022683
 143	2.8600e-001	1.7007	33.993948
 144	2.8800e-001	1.7138	34.086641
 145	2.9000e-001	1.7267	34.138549
 146	2.9200e-001	1.7390	34.108887
 147	2.9400e-001	1.7548	34.119084
 148	2.9600e-001	1.7654	34.126499
 149	2.9800e-001	1.7753	34.160796
 150	3.0000e-001	1.7848	34.190458
 151	3.0200e-001	1.7975	34.335060
 152	3.0400e-001	1.8106	34.323009
 153	3.0600e-001	1.8221	34.436095
 154	3.0800e-001	1.8365	34.404580
 155	3.1000e-001	1.8486	34.335987
 156	3.1200e-001	1.8607	34.370283
 157	3.1400e-001	1.8707	34.424045
 158	3.1600e-001	1.8832	34.474100
 159	3.1800e-001	1.8964	34.566793
 160	3.2000e-001	1.9079	34.635386
 161	3.2200e-001	1.9183	34.460196
 162	3.2400e-001	1.9300	34.617775
 163	3.2600e-001	1.9423	34.609432
 164	3.2800e-001	1.9580	34.577917
 165	3.3000e-001	1.9677	34.607578
 166	3.3200e-001	1.9790	34.726226
 167	3.3400e-001	1.9923	34.799454
 168	3.3600e-001	2.0032	34.779061
 169	3.3800e-001	2.0150	34.747546
 170	3.4000e-001	2.0256	34.711395
 171	3.4200e-001	2.0396	34.825408
 172	3.4400e-001	2.0510	34.822627
 173	3.4600e-001	2.0625	34.887513
 174	3.4800e-001	2.0737	34.890294
 175	3.5000e-001	2.0863	34.895855
 176	3.5200e-001	2.1008	34.953325
 177	3.5400e-001	2.1105	34.982987
 178	3.5600e-001	2.1230	34.916248
 179	3.5800e-001	2.1326	34.925517
 180	3.6000e-001	2.1476	35.081242
 181	3.6200e-001	2.1561	35.191547
 182	3.6400e-001	2.1716	35.113685
 183	3.6600e-001	2.1841	35.019138
 184	3.6800e-001	2.1950	35.063630
 185	3.7000e-001	2.2079	35.141493
 186	3.7200e-001	2.2199	35.254579
 187	3.7400e-001	2.2323	35.043238
 188	3.7600e-001	2.2420	35.260141
 189	3.7800e-001	2.2559	35.238821
 190	3.8000e-001	2.2665	35.281460
 191	3.8200e-001	2.2799	35.189694
 192	3.8400e-001	2.2902	35.265702
 193	3.8600e-001	2.3038	35.260141
 194	3.8800e-001	2.3150	35.278679
 195	3.9000e-001	2.3263	35.401962
 196	3.9200e-001	2.3387	35.292583
 197	3.9400e-001	2.3502	35.444601
 198	3.9600e-001	2.3618	35.395473
 199	3.9800e-001	2.3759	35.476116
 200	4.0000e-001	2.3892	35.434404
 201	4.0200e-001	2.3994	35.388985
 202	4.0400e-001	2.4125	35.487240
 203	4.0600e-001	2.4236	35.528952
 204	4.0800e-001	2.4354	35.557687
 205	4.1000e-001	2.4442	35.402889
 206	4.1200e-001	2.4584	35.718973
 207	4.1400e-001	2.4718	35.630915
 208	4.1600e-001	2.4819	35.645746
 209	4.1800e-001	2.4964	35.661503
 210	4.2000e-001	2.5075	35.665211
 211	4.2200e-001	2.5204	35.620718
 212	4.2400e-001	2.5314	35.678188
 213	4.2600e-001	2.5419	35.748635
 214	4.2800e-001	2.5545	35.675407
 215	4.3000e-001	2.5661	35.878406
 216	4.3200e-001	2.5785	35.747708
 217	4.3400e-001	2.5871	35.816302
 218	4.3600e-001	2.6046	35.799617
 219	4.3800e-001	2.6144	35.757905
 220	4.4000e-001	2.6295	35.810740
 221	4.4200e-001	2.6384	35.815375
 222	4.4400e-001	2.6505	35.909922
 223	4.4600e-001	2.6649	35.877479
 224	4.4800e-001	2.6752	36.056378
 225	4.5000e-001	2.6881	35.877479
 226	4.5200e-001	2.6989	35.867283
 227	4.5400e-001	2.7124	35.938657
 228	4.5600e-001	2.7242	35.975734
 229	4.5800e-001	2.7353	35.986858
 230	4.6000e-001	2.7471	36.010958
 231	4.6200e-001	2.7603	36.073063
 232	4.6400e-001	2.7705	35.970173
 233	4.6600e-001	2.7843	36.180587
 234	4.6800e-001	2.7952	36.066574
 235	4.7000e-001	2.8086	36.093455
 236	4.7200e-001	2.8195	36.150925
