»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V «««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»	 Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp Serial:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««

Stored:	5/15/2018 - 21:29:51
Configured:	05/15/18 09:11:13 PM
Executed:	05/15/18 09:11:23 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	1.00e-001
Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	190.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» I/V Info ««««««««««««««««««««««««««««««««««
Task Name:	I/V-2
Max Volts:	3.00
Soak Time (ms):	100.00
Measure Time (ms):	100.00
Step Delay (ms):	0
Preset Pulse Volts:	3.00
Preset Pulse Width (ms):	0.40
Profile:	Unswitched Triangular
Plot:	ERROR - Unknown Plot Parameter

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««
Points:	98

Valid Data

Point	Field (kV/cm)	Current (Amps)	Resistance (Ohms)	Resistivity (Ohms·cm)
     1	0.000000	7.327686116921e-012	4.37293e+008	3.43450e+009
     2	12.500000	1.148191101034e-008	1.07046e+007	8.40741e+007
     3	25.000000	2.142834579464e-008	1.17102e+007	9.19721e+007
     4	37.500000	2.841002405333e-008	1.31802e+007	1.03518e+008
     5	50.000000	4.766986703441e-008	1.04702e+007	8.22333e+007
     6	62.500000	6.348298130920e-008	9.84275e+006	7.73050e+007
     7	75.000000	6.990286534983e-008	1.07495e+007	8.44264e+007
     8	87.500000	9.044212175755e-008	9.65631e+006	7.58406e+007
     9	100.000000	1.315858434159e-007	7.58905e+006	5.96044e+007
    10	112.500000	1.392338752108e-007	8.08125e+006	6.34701e+007
    11	125.000000	1.605807165278e-007	7.78567e+006	6.11487e+007
    12	137.500000	1.929276544288e-007	7.12370e+006	5.59496e+007
    13	150.000000	2.090417206546e-007	7.17385e+006	5.63434e+007
    14	162.500000	2.756682189847e-007	5.89610e+006	4.63079e+007
    15	175.000000	3.536433257633e-007	4.94685e+006	3.88526e+007
    16	187.500000	4.305457300245e-007	4.34998e+006	3.41647e+007
    17	200.000000	3.161373458040e-007	6.32747e+006	4.96960e+007
    18	212.500000	3.082041083819e-007	6.90201e+006	5.42084e+007
    19	225.000000	4.059684064167e-007	5.54151e+006	4.35231e+007
    20	237.500000	4.659113938513e-007	5.09531e+006	4.00186e+007
    21	250.000000	5.364156293572e-007	4.66185e+006	3.66141e+007
    22	262.500000	5.988232814907e-007	4.38240e+006	3.44194e+007
    23	275.000000	6.990292946146e-007	3.93263e+006	3.08869e+007
    24	287.500000	9.651548891212e-007	2.97530e+006	2.33680e+007
    25	300.000000	7.764537848807e-007	3.86268e+006	3.03375e+007
    26	287.500000	7.143526255416e-007	4.01948e+006	3.15690e+007
    27	275.000000	6.627721817283e-007	4.14869e+006	3.25838e+007
    28	262.500000	5.893347920996e-007	4.45736e+006	3.50081e+007
    29	250.000000	5.206518185578e-007	4.80123e+006	3.77089e+007
    30	237.500000	5.664631220772e-007	4.19556e+006	3.29520e+007
    31	225.000000	4.778205204681e-007	4.70518e+006	3.69545e+007
    32	212.500000	3.646120191502e-007	5.82857e+006	4.57776e+007
    33	200.000000	2.864388389888e-007	6.97659e+006	5.47942e+007
    34	187.500000	2.434063788772e-007	7.71947e+006	6.06287e+007
    35	175.000000	2.082368059198e-007	8.39195e+006	6.59104e+007
    36	162.500000	2.027216771258e-007	8.01998e+006	6.29889e+007
    37	150.000000	1.803574456394e-007	8.32705e+006	6.54007e+007
    38	137.500000	1.364142549981e-007	1.00727e+007	7.91106e+007
    39	125.000000	1.125381369898e-007	1.11087e+007	8.72477e+007
    40	112.500000	9.317702136207e-008	1.20905e+007	9.49588e+007
    41	100.000000	8.854650283711e-008	1.12907e+007	8.86775e+007
    42	87.500000	6.080707653223e-008	1.44013e+007	1.13108e+008
    43	75.000000	4.563661424984e-008	1.64218e+007	1.28977e+008
    44	62.500000	4.757038947041e-008	1.31096e+007	1.02962e+008
    45	50.000000	3.472653632087e-008	1.43508e+007	1.12711e+008
    46	37.500000	2.729856527295e-008	1.36694e+007	1.07359e+008
    47	25.000000	1.795859658600e-008	1.40874e+007	1.10643e+008
    48	12.500000	7.544547869660e-009	1.66047e+007	1.30413e+008
    49	0.000000	1.733688226921e-011	7.92121e+007	6.22132e+008
    50	0.000000	2.129314201840e-011	1.79151e+007	1.40706e+008
    51	-12.500000	6.631619457053e-009	1.86489e+007	1.46469e+008
    52	-25.000000	2.195433858178e-008	1.13463e+007	8.91136e+007
    53	-37.500000	2.921392768987e-008	1.28358e+007	1.00813e+008
    54	-50.000000	5.004036822316e-008	1.00215e+007	7.87089e+007
    55	-62.500000	6.509562425407e-008	9.57430e+006	7.51966e+007
    56	-75.000000	7.391549531673e-008	1.01484e+007	7.97053e+007
    57	-87.500000	1.019509923303e-007	8.57971e+006	6.73851e+007
    58	-100.000000	1.011531316585e-007	9.86398e+006	7.74717e+007
    59	-112.500000	1.404623906297e-007	8.00187e+006	6.28467e+007
    60	-125.000000	1.458271019135e-007	8.55715e+006	6.72078e+007
    61	-137.500000	2.343473289332e-007	5.87016e+006	4.61042e+007
    62	-150.000000	2.245669773161e-007	6.68706e+006	5.25202e+007
    63	-162.500000	2.171622004071e-007	7.47965e+006	5.87452e+007
    64	-175.000000	2.621382088358e-007	6.67424e+006	5.24195e+007
    65	-187.500000	2.468387031081e-007	7.59945e+006	5.96861e+007
    66	-200.000000	2.709949659106e-007	7.37559e+006	5.79279e+007
    67	-212.500000	2.627588790229e-007	8.10765e+006	6.36774e+007
    68	-225.000000	3.847256598486e-007	5.84888e+006	4.59371e+007
    69	-237.500000	2.920899808868e-007	8.12881e+006	6.38437e+007
    70	-250.000000	4.000840798330e-007	6.25479e+006	4.91251e+007
    71	-262.500000	4.056681253262e-007	6.47092e+006	5.08226e+007
    72	-275.000000	4.860906191058e-007	5.65914e+006	4.44469e+007
    73	-287.500000	8.194996719881e-007	3.50813e+006	2.75528e+007
    74	-300.000000	1.695132316808e-006	1.76921e+006	1.38953e+007
    75	-287.500000	2.759482174538e-006	1.04147e+006	8.17970e+006
    76	-275.000000	4.189819971390e-006	6.56047e+005	5.15259e+006
    77	-262.500000	2.313800878011e-006	1.13323e+006	8.90039e+006
    78	-250.000000	2.327516635058e-006	1.07378e+006	8.43346e+006
    79	-237.500000	2.408392726957e-006	9.86179e+005	7.74545e+006
    80	-225.000000	1.684203534595e-006	1.33516e+006	1.04864e+007
    81	-212.500000	2.306281842369e-006	9.20543e+005	7.22994e+006
    82	-200.000000	2.630561243780e-006	7.60195e+005	5.97057e+006
    83	-187.500000	1.617600908504e-006	1.15941e+006	9.10598e+006
    84	-175.000000	1.490626068185e-006	1.17315e+006	9.21395e+006
    85	-162.500000	1.535756269545e-006	1.05790e+006	8.30876e+006
    86	-150.000000	8.598627327547e-007	1.74413e+006	1.36984e+007
    87	-137.500000	8.311153339768e-007	1.65528e+006	1.30006e+007
    88	-125.000000	4.338205502636e-007	2.87258e+006	2.25613e+007
    89	-112.500000	3.763912664841e-007	2.99528e+006	2.35249e+007
    90	-100.000000	2.570708925493e-007	3.88487e+006	3.05118e+007
    91	-87.500000	2.510198262770e-007	3.47794e+006	2.73157e+007
    92	-75.000000	1.987396064733e-007	3.77017e+006	2.96109e+007
    93	-62.500000	1.321662676664e-007	4.71850e+006	3.70591e+007
    94	-50.000000	8.736227061958e-008	5.73238e+006	4.50221e+007
    95	-37.500000	5.152608605511e-008	7.26128e+006	5.70301e+007
    96	-25.000000	2.365851999935e-008	1.06547e+007	8.36823e+007
    97	-12.500000	8.366387815002e-009	1.48550e+007	1.16671e+008
    98	0.000000	4.764039992216e-012	4.80436e+008	3.77335e+009



