»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/5/2018 - 7:44:19
Configured:	06/05/18 07:27:31 AM
Executed:	06/05/18 07:43:20 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	6.20e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	2.0 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	3.00
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	2.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	401

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
   1	5.0000e-004	0.053406	5.865321
   2	1.0000e-003	5.805969	6.048081
   3	1.5000e-003	12.222290	6.383708
   4	2.0000e-003	18.104553	6.813773
   5	2.5000e-003	23.979187	7.394666
   6	3.0000e-003	30.059814	8.101929
   7	3.5000e-003	35.888672	8.942355
   8	4.0000e-003	41.961670	9.920701
   9	4.5000e-003	47.698975	11.026097
  10	5.0000e-003	53.695679	12.261259
  11	5.5000e-003	59.608459	13.529712
  12	6.0000e-003	65.696716	14.957146
  13	6.5000e-003	71.754456	16.449803
  14	7.0000e-003	77.880859	17.910528
  15	7.5000e-003	83.724976	19.454141
  16	8.0000e-003	89.530945	20.950875
  17	8.5000e-003	95.634460	22.539328
  18	9.0000e-003	101.852417	24.174661
  19	9.5000e-003	108.093262	25.788253
  20	1.0000e-002	113.723755	27.371951
  21	1.0500e-002	119.918823	28.939343
  22	1.1000e-002	125.526428	30.521682
  23	1.1500e-002	131.698608	32.017056
  24	1.2000e-002	137.657166	33.456041
  25	1.2500e-002	143.882751	34.774090
  26	1.3000e-002	149.971008	35.939273
  27	1.3500e-002	156.036377	36.988278
  28	1.4000e-002	161.796570	37.830742
  29	1.4500e-002	167.884827	38.526455
  30	1.5000e-002	174.179077	39.090363
  31	1.5500e-002	180.091858	39.542169
  32	1.6000e-002	186.073303	39.914484
  33	1.6500e-002	192.062378	40.286119
  34	1.7000e-002	198.089600	40.572150
  35	1.7500e-002	204.162598	40.852066
  36	1.8000e-002	210.128784	41.127225
  37	1.8500e-002	216.178894	41.409859
  38	1.9000e-002	222.114563	41.642895
  39	1.9500e-002	228.202820	41.879329
  40	2.0000e-002	234.321594	42.117801
  41	2.0500e-002	240.257263	42.346761
  42	2.1000e-002	246.276855	42.558057
  43	2.1500e-002	252.403259	42.751008
  44	2.2000e-002	258.178711	42.944639
  45	2.2500e-002	264.213562	43.161370
  46	2.3000e-002	269.981384	43.314916
