»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.16.2
»»»  Vision Version:	5.16.10 (R)
»»»  Vision Compiled:	4/26/18
»»»  Driver Version:	5.16.6
»»»  Windows Version:	Windows 8
»»»  Processor Information:	x86 (AMD or Intel) - 8 Processors
»»»  Tester Name:	PPM21016-863
»»»  Tester S/N:	PPM21016-863
»»»  Internal Amp Type:	 RTI ML200V    
»»»  Internal Amp S/N:	 iAB2-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	5/16/2018 - 10:4:40
Configured:	05/15/18 08:22:15 PM
Executed:	05/16/18 10:04:20 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap.
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	7.85e-005
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PPM21016-863
Tester Serial Number:	PPM21016-863
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Field (kV/cm):	0.03
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	2.00e+000
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Field (kV/cm)	Measured Polarization
 103	1.0300e-001	122.489929	44.652591
 104	1.0400e-001	123.748779	44.765001
 105	1.0500e-001	124.092102	45.541657
 106	1.0600e-001	126.022339	45.112452
 107	1.0700e-001	127.182007	45.040918
 108	1.0800e-001	128.501892	45.281069
 109	1.0900e-001	129.745483	45.321945
 110	1.1000e-001	130.912781	45.572314
 111	1.1100e-001	132.125854	45.720492
 112	1.1200e-001	133.483887	46.251888
 113	1.1300e-001	134.437561	45.945313
 114	1.1400e-001	135.612488	46.021957
 115	1.1500e-001	136.718750	45.986190
 116	1.1600e-001	138.160706	46.195683
 117	1.1700e-001	139.236450	46.078162
 118	1.1800e-001	140.518188	46.394956
 119	1.1900e-001	141.700745	46.384737
 120	1.2000e-001	142.456055	46.062834
 121	1.2100e-001	144.241333	46.655545
 122	1.2200e-001	145.240784	46.762846
 123	1.2300e-001	146.575928	46.885476
 124	1.2400e-001	147.781372	46.946791
 125	1.2500e-001	148.918152	47.094968
 126	1.2600e-001	150.123596	47.054092
 127	1.2700e-001	151.313782	47.181831
 128	1.2800e-001	152.503967	46.880366
 129	1.2900e-001	153.671265	47.784761
 130	1.3000e-001	154.869080	47.565049
 131	1.3100e-001	156.074524	47.626364
 132	1.3200e-001	157.379150	46.701531
 133	1.3300e-001	159.164429	47.948268
 134	1.3400e-001	159.744263	47.800090
 135	1.3500e-001	160.316467	48.101555
 136	1.3600e-001	162.330627	48.121993
 137	1.3700e-001	163.490295	48.065788
 138	1.3800e-001	164.581299	48.249733
 139	1.3900e-001	165.779114	48.438787
 140	1.4000e-001	166.725159	48.239513
 141	1.4100e-001	168.182373	48.443896
 142	1.4200e-001	169.296265	48.500102
 143	1.4300e-001	170.349121	48.602293
 144	1.4400e-001	171.722412	48.607403
 145	1.4500e-001	172.355652	48.740252
 146	1.4600e-001	174.041748	48.888430
 147	1.4700e-001	175.468445	49.016169
 148	1.4800e-001	176.567078	49.486250
 149	1.4900e-001	177.658081	49.051936
 150	1.5000e-001	179.023743	48.811786
 151	1.5100e-001	180.061340	49.200114
 152	1.5200e-001	180.969238	49.215443
 153	1.5300e-001	182.479858	49.338072
 154	1.5400e-001	183.860779	49.455593
 155	1.5500e-001	184.844971	49.465812
 156	1.5600e-001	186.279297	49.659976
 157	1.5700e-001	187.484741	49.654866
 158	1.5800e-001	188.583374	49.690633
 159	1.5900e-001	189.842224	49.828592
 160	1.6000e-001	190.452576	49.644647
 161	1.6100e-001	192.642212	50.329330
 162	1.6200e-001	193.389893	49.849030
 163	1.6300e-001	194.465637	50.043194
 164	1.6400e-001	196.067810	49.573113
 165	1.6500e-001	196.807861	50.222029
 166	1.6600e-001	198.066711	50.380426
 167	1.6700e-001	199.363708	50.390645
 168	1.6800e-001	200.347900	50.288454
 169	1.6900e-001	201.713562	50.416193
 170	1.7000e-001	202.598572	50.176043
 171	1.7100e-001	204.040527	50.661453
 172	1.7200e-001	205.429077	50.533713
 173	1.7300e-001	206.497192	50.799411
 174	1.7400e-001	207.580566	50.778973
 175	1.7500e-001	208.824158	50.518385
 176	1.7600e-001	210.075378	50.988466
 177	1.7700e-001	211.296082	50.942479
 178	1.7800e-001	212.562561	51.065109
 179	1.7900e-001	213.935852	50.211810
 180	1.8000e-001	214.653015	51.121315
 181	1.8100e-001	216.102600	51.310369
 182	1.8200e-001	217.308044	51.346136
 183	1.8300e-001	218.536377	51.325698
 184	1.8400e-001	219.726563	51.509642
 185	1.8500e-001	220.901489	51.570957
 186	1.8600e-001	222.091675	51.642491
 187	1.8700e-001	223.297119	51.494314
 188	1.8800e-001	224.533081	51.734464
 189	1.8900e-001	226.158142	51.857094
 190	1.9000e-001	226.921082	51.683368
 191	1.9100e-001	228.225708	51.908189
 192	1.9200e-001	229.385376	51.841765
 193	1.9300e-001	230.400085	52.138120
 194	1.9400e-001	231.361389	52.189216
 195	1.9500e-001	233.016968	52.107463
 196	1.9600e-001	234.031677	52.163668
 197	1.9700e-001	235.336304	52.276079
 198	1.9800e-001	236.167908	51.857094
 199	1.9900e-001	237.602234	52.408928
 200	2.0000e-001	239.006042	52.424257
 201	2.0100e-001	240.226746	52.495791
 202	2.0200e-001	241.241455	52.511120
 203	2.0300e-001	242.599487	52.444695
 204	2.0400e-001	243.881226	52.776818
 205	2.0500e-001	244.720459	52.465133
 206	2.0600e-001	246.025085	52.730831
 207	2.0700e-001	247.306824	52.623530
 208	2.0800e-001	248.481750	52.955653
 209	2.0900e-001	250.419617	53.609679
 210	2.1000e-001	250.907898	53.011858
 211	2.1100e-001	252.044678	53.206022
 212	2.1200e-001	253.379822	52.730831
 213	2.1300e-001	254.531860	53.154926
 214	2.1400e-001	255.767822	53.134488
 215	2.1500e-001	256.736755	53.272446
 216	2.1600e-001	258.049011	53.379748
 217	2.1700e-001	259.613037	53.558583
 218	2.1800e-001	260.566711	53.379748
 219	2.1900e-001	261.772156	53.594350
 220	2.2000e-001	262.870789	53.507487
 221	2.2100e-001	264.122009	53.676103
 222	2.2200e-001	265.251160	53.609679
 223	2.2300e-001	266.571045	53.599459
 224	2.2400e-001	268.112183	53.773185
 225	2.2500e-001	268.798828	54.018445
 226	2.2600e-001	270.942688	54.084869
 227	2.2700e-001	271.270752	53.977568
 228	2.2800e-001	272.560120	53.962239
 229	2.2900e-001	273.712158	54.105307
 230	2.3000e-001	275.016785	54.125746
 231	2.3100e-001	276.054382	54.049102
 232	2.3200e-001	277.290344	54.161513
 233	2.3300e-001	278.518677	54.365896
 234	2.3400e-001	279.823303	54.238156
 235	2.3500e-001	280.998230	54.089979
 236	2.3600e-001	282.012939	54.304581
 237	2.3700e-001	283.134460	54.376115
 238	2.3800e-001	284.416199	54.391444
 239	2.3900e-001	286.186218	54.933059
 240	2.4000e-001	286.827087	54.795100
 241	2.4100e-001	288.078308	54.800210
 242	2.4200e-001	289.253235	54.749114
 243	2.4300e-001	290.428162	54.682690
 244	2.4400e-001	291.656494	54.902401
 245	2.4500e-001	292.503357	54.682690
 246	2.4600e-001	294.090271	54.917730
 247	2.4700e-001	295.326233	55.071017
 248	2.4800e-001	296.524048	55.045470
 249	2.4900e-001	297.706604	55.004593
 250	2.5000e-001	298.744202	55.311168
 251	2.5100e-001	300.178528	55.178319
 252	2.5200e-001	299.278259	55.147661
 253	2.5300e-001	298.027039	55.132332
 254	2.5400e-001	296.958923	54.841086
 255	2.5500e-001	295.364380	55.168099
 256	2.5600e-001	294.456482	55.117004
 257	2.5700e-001	293.113708	55.214086
 258	2.5800e-001	291.923523	55.239633
 259	2.5900e-001	290.809631	55.137442
 260	2.6000e-001	289.512634	55.086346
 261	2.6100e-001	288.551331	55.203866
 262	2.6200e-001	287.223816	55.055689
 263	2.6300e-001	285.919189	55.101675
 264	2.6400e-001	285.476685	55.260072
 265	2.6500e-001	283.638000	55.025031
 266	2.6600e-001	282.379150	55.091456
 267	2.6700e-001	281.166077	55.086346
 268	2.6800e-001	281.593323	55.888550
 269	2.6900e-001	278.617859	55.147661
 270	2.7000e-001	277.648926	55.244743
 271	2.7100e-001	276.405334	54.958607
 272	2.7200e-001	275.123596	55.081237
 273	2.7300e-001	273.612976	54.943278
 274	2.7400e-001	272.865295	54.907511
 275	2.7500e-001	271.545410	54.789991
 276	2.7600e-001	270.385742	54.835977
 277	2.7700e-001	269.233704	55.050579
 278	2.7800e-001	267.883301	54.810429
 279	2.7900e-001	267.005920	55.464455
 280	2.8000e-001	265.495300	54.728676
 281	2.8100e-001	264.175415	54.861525
 282	2.8200e-001	262.924194	54.968826
 283	2.8300e-001	260.498047	54.181951
 284	2.8400e-001	260.955811	54.784881
 285	2.8500e-001	259.567261	55.106784
 286	2.8600e-001	258.232117	54.825758
 287	2.8700e-001	257.171631	54.580498
 288	2.8800e-001	255.981445	54.754224
 289	2.8900e-001	254.692078	54.703128
 290	2.9000e-001	253.677368	54.554950
 291	2.9100e-001	252.464294	54.631594
 292	2.9200e-001	250.892639	54.570279
 293	2.9300e-001	250.030518	54.575389
 294	2.9400e-001	248.146057	54.079760
 295	2.9500e-001	247.428894	54.902401
 296	2.9600e-001	246.459961	54.371005
 297	2.9700e-001	245.346069	54.611156
 298	2.9800e-001	244.071960	54.626484
 299	2.9900e-001	242.614746	54.508964
 300	3.0000e-001	241.661072	54.728676
 301	3.0100e-001	240.394592	54.340348
 302	3.0200e-001	239.265442	54.411882
 303	3.0300e-001	238.113403	54.473197
