»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.12.0
»»»  Vision Version:	5.12.5 (R)
»»»  Vision Compiled:	2/24/17
»»»  Driver Version:	5.12.4
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF0910-256
»»»  Tester S/N:	PMF0910-256
»»»  Internal Amp Type:	 RTI 100V      
»»»  Internal Amp S/N:	 iAB1-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	8/3/2017 - 10:44:14
Configured:	08/03/17 10:04:09 AM
Executed:	08/03/17 10:42:45 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	4.91e-006
Sample Thickness (µm):	1.00e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF0910-256
Tester Serial Number:	PMF0910-256
Return Signal Amp. Level:	16.67 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	3.00
Field:	300.00 (kV/cm)
Hysteresis Period (ms):	2.00e+000
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	1.0000e-003	-0.0002	-9.998383
   2	2.0000e-003	0.0117	-9.718449
   3	3.0000e-003	0.0239	-9.803727
   4	4.0000e-003	0.0357	-9.705472
   5	5.0000e-003	0.0456	-9.555309
   6	6.0000e-003	0.0602	-9.477446
   7	7.0000e-003	0.0709	-9.472811
   8	8.0000e-003	0.0843	-9.254982
   9	9.0000e-003	0.0964	-9.242931
  10	1.0000e-002	0.1075	-9.074229
  11	1.1000e-002	0.1202	-8.892550
  12	1.2000e-002	0.1314	-8.719213
  13	1.3000e-002	0.1429	-8.446694
  14	1.4000e-002	0.1540	-8.195495
  15	1.5000e-002	0.1674	-7.915561
  16	1.6000e-002	0.1777	-7.468778
  17	1.7000e-002	0.1908	-7.123958
  18	1.8000e-002	0.2042	-6.785627
  19	1.9000e-002	0.2156	-6.472323
  20	2.0000e-002	0.2271	-5.871669
  21	2.1000e-002	0.2396	-5.523142
  22	2.2000e-002	0.2510	-5.197788
  23	2.3000e-002	0.2637	-4.754713
  24	2.4000e-002	0.2747	-4.442336
  25	2.5000e-002	0.2863	-3.941791
  26	2.6000e-002	0.2990	-3.539501
  27	2.7000e-002	0.3128	-3.184485
  28	2.8000e-002	0.3228	-2.560658
  29	2.9000e-002	0.3365	-2.157441
  30	3.0000e-002	0.3477	-1.705097
  31	3.1000e-002	0.3569	-1.233287
  32	3.2000e-002	0.3695	-0.672491
  33	3.3000e-002	0.3817	-0.017148
  34	3.4000e-002	0.3959	0.429634
  35	3.5000e-002	0.4076	0.886613
  36	3.6000e-002	0.4205	1.443701
  37	3.7000e-002	0.4305	1.803352
  38	3.8000e-002	0.4458	2.509676
  39	3.9000e-002	0.4559	2.833177
  40	4.0000e-002	0.4663	3.348552
  41	4.1000e-002	0.4787	3.873198
  42	4.2000e-002	0.4890	4.259729
  43	4.3000e-002	0.5034	4.871506
  44	4.4000e-002	0.5141	5.355366
  45	4.5000e-002	0.5260	5.803076
  46	4.6000e-002	0.5388	6.403730
  47	4.7000e-002	0.5499	6.788408
  48	4.8000e-002	0.5624	7.423358
  49	4.9000e-002	0.5767	7.984154
  50	5.0000e-002	0.5858	8.292823
  51	5.1000e-002	0.5996	8.907381
  52	5.2000e-002	0.6124	9.244785
  53	5.3000e-002	0.6227	9.729572
  54	5.4000e-002	0.6335	10.114250
  55	5.5000e-002	0.6474	10.464632
  56	5.6000e-002	0.6589	11.189495
  57	5.7000e-002	0.6735	11.457379
  58	5.8000e-002	0.6842	11.977389
  59	5.9000e-002	0.6950	12.495546
  60	6.0000e-002	0.7073	12.798654
  61	6.1000e-002	0.7196	13.337203
